Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits
DC20639,MOTHER'S CARE DAY CARE,"MOTHER'S CARE DAY CARE,INC.",955 NOSTRAND AVENUE,BROOKLYN,11225,347-260-6518,8167,2014-05-26,Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private,70,17,31,22,20
DC25020,MOVING UP CHILDREN CENTER,MOVING UP CHILDREN CENTER INC.,40-69 94 STREET,QUEENS,11373,718-803-9788,36518,2015-04-04,Permitted,2 YEARS - 5 YEARS,101,No,Private,5,0,5,0,3
DC24546,MOZARTS AND EINSTEINS,"NYC MUSIC AND DANCE, LLC",910 UNION STREET,BROOKLYN,11215,347-227-8500,51298,2015-08-29,Permitted,2 YEARS - 5 YEARS,60,No,Private,2,0,1,1,1
DC1614,MS. ELENA'S SUNSHINE EARLY LEARNING CENTER,MS. ELENA'S SUNSHINE EARLY LEARNING CENTER INC.,3075 BAISLEY AVENUE,BRONX,10461,718-863-6470,4806,2014-09-30,Permitted,2 YEARS - 5 YEARS,20,No,Private,2,1,1,0,8
DC26005,MSGR. ANDREW LANDI EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",21-20 35 AVENUE,QUEENS,11106,718-806-1598,52537,2015-09-27,Permitted,2 YEARS - 5 YEARS,52,No,Private,2,0,2,0,3
DC12267,MSKCC CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",475 MAIN STREET,MANHATTAN,10044,212-224-0129,7636,2015-09-26,Permitted,0 YEARS - 2 YEARS,18,No,Private,4,0,1,3,6
DC2377,MT.OLIVET CHRISTIAN SCHOOL.,MT. OLIVET CHRISTIAN SCHOOL,33-25 97 STREET,QUEENS,11368,718-478-0780,4859,2015-08-26,Permitted,2 YEARS - 5 YEARS,44,No,Private,10,0,8,2,9
DC2083,MUNCHKIN LAND LTD,MUNCHKIN LAND LTD.,4712 AVENUE N,BROOKLYN,11234,718-338-3820,5939,2014-11-15,Permitted,2 YEARS - 5 YEARS,19,No,Private,19,4,8,7,9
DC15162,MUSHROOM  HOUSE,MUSHROOM  HOUSE LLC,38-00 DITMARS BLVD.,QUEENS,11105,718-606-6161,7934,2014-09-10,Permitted,2 YEARS - 5 YEARS,40,No,Private,7,0,4,3,7
DC23045,MY LITTLE FOOTPRINTS DAY CARE,MY LITTLE FOOTPRINTS DAY CARE CORP.,28-34 38 STREET,QUEENS,11103,718-626-2201,26097,2014-10-23,Permitted,2 YEARS - 5 YEARS,26,No,Private,4,1,3,0,3
DC21561,MY LITTLE LANGUAGE SCHOOL,"MY LITTLE LANGUAGE SCHOOL, MI PEQUENA ESCUELITA, INC.",225  WEST 99TH STREET,MANHATTAN,10025,646-389-7552,8374,2015-08-30,Permitted,2 YEARS - 5 YEARS,42,No,Private,28,0,19,9,8
DC23082,MY LITTLE SCHOOL,"CHABAD OF TRIBECA, INC.",291 BROADWAY (ENTRANCE 54 READE STREET),MANHATTAN,10007,212-566-6764,27317,2014-11-15,Permitted,2 YEARS - 5 YEARS,24,No,Private,6,0,3,3,2
DC11961,MY LITTLE VILLAGE,"JEFF, KARL AND AMY, INC.",33 AVENUE A,MANHATTAN,10009,212-253-2430,7494,2015-08-29,Permitted,2 YEARS - 5 YEARS,28,No,Private,17,3,6,8,7
DC24704,MYRTLE P. JARMON ECEC,"CLIFFORD GLOVER DAY CARE CENTER, INC",116-55 GUY R. BREWER BLVD.,QUEENS,11434,718-528-0922,32098,2015-02-05,Permitted,2 YEARS - 5 YEARS,55,No,ACS Head Start,2,0,1,1,5
DC14297,"NASRY MICHELEN DAY CARE CENTER, INC.","NASRY MICHELEN DAY CARE CENTER, INC.",510 WEST 145 STREET,MANHATTAN,10031,212-690-3290,4907,2015-08-11,Permitted,2 YEARS - 5 YEARS,85,No,ACS Contracted Preschools,8,1,4,3,6
DC347,NAT AZAROW CHILDREN'S CENTER,BROOKLYN KINDERGARTEN SOCIETY,232 POWELL STREET,BROOKLYN,11212,718-346-0924,2252,2014-12-01,Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,14,1,6,7,7
DC24803,NATIONAL ASSOCIATION OF FAMILY SERVICE,"NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS, INC.",2960 WEST 27 STREET,BROOKLYN,11224,917-821-5714,25158,2014-10-16,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,2,0,1,1,2
DC398,NAYEMA UNIVERSAL CHILD CARE CENTER INC.,NAYEMA UNIVERSAL CHILD CARE CENTER INC.,1107-09 NEWKIRK AVENUE,BROOKLYN,11230,718-462-3688,6665,2015-04-13,Permitted,2 YEARS - 5 YEARS,18,No,Private,12,2,9,1,7
DC12247,NAZARETH EARLY CHILDHOOD CENTER,BIRCH FAMILY SERVICES INC.,475 EAST 57 STREET,BROOKLYN,11203,718-451-5213,6460,2016-01-14,Permitted,2 YEARS - 5 YEARS,104,No,Private,18,3,6,9,8
DC3003,NAZARETH NURSERY,NAZARETH NURSERY,214-16 WEST 15 STREET,MANHATTAN,10011,212-243-1881,1955,2015-05-12,Permitted,2 YEARS - 5 YEARS,55,No,Private,18,3,11,4,6
DC751,NELRAK CHILD DEVELOPMENT CENTER-INFANT/TODDLER,"NELRAK CHILD DEVELOPMENT CENTER, INC.",1057 FULTON STREET,BROOKLYN,11238,718-230-0011,6553,2016-02-01,Permitted,0 YEARS - 2 YEARS,26,No,Private,11,4,4,3,8
DC14778,NELRAK CHILD DEVELOPMENT CENTER-PRESCHOOL,"NELRAK CHILD DEVELOPMENT CENTER, INC.",1057 FULTON STREET,BROOKLYN,11238,718-230-0011,6363,2014-11-10,Permitted,2 YEARS - 5 YEARS,57,No,Private,31,8,8,15,11
DC10457,NESHAMA PRESCHOOL,CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.,2997 OCEAN PARKWAY,BROOKLYN,11235,718-946-9833,7346,2014-09-14,Permitted,2 YEARS - 5 YEARS,22,No,Private,21,4,10,7,8
DC14900,NEW AGE DAY CARE CENTER,"NEW AGE DAY CARE, INC.",538 JAMAICA AVENUE,BROOKLYN,11208,718-277-3434,7846,2015-11-28,Permitted,2 YEARS - 5 YEARS,20,No,Private,3,2,0,1,8
DC21142,NEW AMSTERDAM EARLY CHILDHOOD CENTER,FRIENDS OF THE NEW AMSTERDAM SCHOOL INC.,1 AVENUE B,MANHATTAN,10009,212-982-1400,8327,2014-09-27,Permitted,2 YEARS - 5 YEARS,42,No,Private,9,1,5,3,6
DC11147,"NEW DEAL DAY CARE AND LEARNING CENTER, INC.",NEW DEAL DAY CARE AND LEARNING CENTER,172-12 JAMAICA AVENUE,QUEENS,11432,718-739-2177,6935,2015-11-04,Permitted,2 YEARS - 5 YEARS,26,No,Private,20,1,14,5,11
DC25418,NEW DISCOVERIES DAY CARE CENTER,SOPHIA LUGO,803 EAST 163RD STREET,BRONX,10456,718-542-2100,54457,2015-11-25,Permitted,2 YEARS - 5 YEARS,22,No,Private,0,0,0,0,0
DC14369,NEW GENERATION ACADEMY,IDEAL DAY CARE CENTER INC.,4701 AVENUE J,BROOKLYN,11234,718-252-0160,7051,2014-10-17,Permitted,2 YEARS - 5 YEARS,59,No,Private,24,1,18,5,9
DC10862,"NEW GENERATIONS LEARNING CENTER, INC.","NEW GENERATIONS LEARNING CENTER,INC.",2597 BEDFORD AVENUE,BROOKLYN,11226,718-941-0404,7306,2014-11-13,Permitted,2 YEARS - 5 YEARS,40,No,Private,8,0,3,5,7
DC1789,NEW GRACE CENTER,"NEW GRACE CENTER,INC.",650 LIVONIA AVENUE,BROOKLYN,11207,718-498-7175,4937,2014-11-20,Permitted,2 YEARS - 5 YEARS,95,No,Private,20,4,5,11,8
DC18797,"NEW HOPE DAY CARE, INC. (I/T)","NEW HOPE ACADEMY, INC. (I/T)",1481 NOSTRAND AVENUE,BROOKLYN,11226,718-284-5923,7928,2014-09-22,Permitted,0 YEARS - 2 YEARS,8,No,Private,12,3,3,6,9
DC18796,"NEW HOPE DAY CARE,INC. (P.S.)",NEW HOPE ACADEMY. INC. (P.S.),1481 NOSTRAND AVENUE,BROOKLYN,11226,718-284-5923,7927,2014-09-23,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,4,16,0,9
DC349,NEW LIFE CHILD DEVELOPMENT CENTER INC.,"NEW LIFE CHILD DEVELOPMENT CENTER, INC.",295 WOODBINE STREET,BROOKLYN,11237,718-821-3433,4476,2015-10-21,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,34,12,10,12,10
DC1846,NEW LIFE CHILD DEVELOPMENT CENTER INC.,NEW LIFE CHILD DEVELOPMENT CENTER INC.,406 GROVE STREET,BROOKLYN,11237,718-381-8968,4774,2015-11-01,Permitted,2 YEARS - 5 YEARS,172,No,ACS Head Start,29,4,19,6,15
DC2035,"NEW LIFE DAY CARE CENTER, INC.","NEW LIFE DAY CARE CENTER, INC.",406-408 GROVE STREET,BROOKLYN,11237,718-417-4214,5349,2015-04-25,Permitted,2 YEARS - 5 YEARS,89,No,ACS Contracted Preschools,23,3,19,1,18
DC911,NEW LIFE HEAD START,"NEW LIFE CHILD DEVELOPMENT CENTER, INC.",1307 GREENE AVENUE,BROOKLYN,11237,718-366-1668,7012,2014-07-26,Permitted,2 YEARS - 5 YEARS,117,No,ACS Head Start,8,1,1,6,9
DC17813,NEW LIFE IN CHRIST MINISTRIES,"NEW LIFE IN CHRIST MINISTRIES, INC.",814 MARCY AVENUE,BROOKLYN,11216,718-783-3555,52438,2015-09-24,Permitted,2 YEARS - 5 YEARS,21,No,Private,8,2,2,4,3
DC18012,NEW MILESTONE,NEW MILESTONE INC,132-54 POPLE AVENUE,QUEENS,11355,718-539-2068,8125,2016-02-01,Permitted,2 YEARS - 5 YEARS,52,No,Private,3,0,3,0,8
DC15588,NEW MILESTONE DAY CARE CENTER,"NEW MILESTONE, INC",158-13 72 AVENUE,QUEENS,11365,718-380-1978,7754,2015-05-13,Permitted,2 YEARS - 5 YEARS,58,No,Private,8,2,6,0,10
DC1156,"NEW MILLENIUM DAY SCHOOL, INC.","NEW MILLENIUM DAY SCHOOL, INC.",172-07 JAMAICA AVENUE,QUEENS,11432,347-561-7169,6901,2015-03-24,Permitted,2 YEARS - 5 YEARS,25,No,Private,8,1,5,2,8
DC14942,NEW PRIDE DAY CARE CENTER,NEW PRIDE CHILD CARE SERVICES INC.,1636 BROADWAY,BROOKLYN,11207,718-453-0204,7647,2014-10-05,Permitted,2 YEARS - 5 YEARS,27,No,Private,32,2,17,13,9
DC2378,NEW WORLD EDUCATIONAL CENTER,NEW WORLD EDUCATIONAL CENTER,137-37 FARMERS BOULEVARD,QUEENS,11434,718-528-8751,4737,2014-11-19,Permitted,2 YEARS - 5 YEARS,37,No,Private,11,2,6,3,8
DC23219,NEW WORLD EDUCATIONAL PROGRAM,"B'ABOVE WORLDWIDE INSTITUTE, INC.",137-37 FARMERS BLVD.,QUEENS,11434,718-658-3030,26217,2014-10-24,Permitted,2 YEARS - 5 YEARS,73,No,ACS Contracted Preschools,3,0,3,0,5
DC19305,NEW YORK  KIDS CLUB,121 MONTAGUE STREET LLC,182-184 HENRY STREET,BROOKLYN,11201,718-228-0800,19557,2014-07-27,Permitted,2 YEARS - 5 YEARS,60,No,Private,95,55,29,11,22
DC25017,NEW YORK CENTER FOR CHILD DEVELOPMENT,"NEW YORK CENTER FOR CHILD DEVELOPMENT, INC.",159  WEST 127TH STREET,MANHATTAN,10027,212-752-7564,54017,2016-01-02,Permitted,2 YEARS - 5 YEARS,86,No,Private,0,0,0,0,1
DC21520,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336 ANDREWS AVENUE,BRONX,10468,718-561-5300,8243,2014-12-06,Permitted,2 YEARS - 5 YEARS,30,No,Private,19,4,6,9,7
DC18495,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.","NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",1787 MADISON AVENUE,MANHATTAN,10035,212-289-6100,8176,2014-06-14,Permitted,2 YEARS - 5 YEARS,20,No,Private,14,2,7,5,7
DC2733,NEW YORK CHILD LEARNING INSTITUTE,AABR:NEW YORK CHILD LEARNING INSTITUTE,14-02 124 STREET,QUEENS,11356,718-445-0752,6130,2015-10-28,Permitted,2 YEARS - 5 YEARS,7,No,Private,0,0,0,0,7
DC1985,NEW YORK CHILD RESOURCE CENTER INC.,NEW YORK CHILD RESOURCE CENTER INC.,348 EAST 146TH STREET,BRONX,10451,718-585-0600,7061,2014-12-19,Permitted,2 YEARS - 5 YEARS,17,No,Private,3,1,0,2,6
DC24884,NEW YORK CHILD RESOURCE CENTER INC.,NEW YORK CHILD RESOURCE CENTER INC.,706 QUINCY STREET,BROOKLYN,11221,718-443-3440,30518,2015-01-09,Permitted,2 YEARS - 5 YEARS,100,No,Private,13,3,7,3,6
DC21678,NEW YORK CREATIVE CHILDCARE,NEW YORK CREATIVE CHILDCARE INC.,5015 6TH AVENUE,BROOKLYN,11220,718-686-0388,8300,2015-05-06,Permitted,2 YEARS - 5 YEARS,54,No,Private,2,0,1,1,5
DC22782,NEW YORK KIDS CLUB,"68TH STREET CLUB, LLC",169 AMSTERDAM AVENUE,MANHATTAN,10023,212-721-4100,63838,2016-05-08,Permitted,2 YEARS - 5 YEARS,14,No,Private,0,0,0,0,0
DC22781,NEW YORK KIDS CLUB,"67TH STREET CLUB, LLC",219 EAST 67TH STREET,MANHATTAN,10065,212-991-6700,63837,2016-05-08,Permitted,2 YEARS - 5 YEARS,9,No,Private,0,0,0,0,0
DC22783,NEW YORK KIDS CLUB,"601 AMSTERDAM AVENUE CLUB, LLC",601 AMSTERDAM AVENUE,MANHATTAN,10024,212-721-4400,65338,2016-05-29,Permitted,2 YEARS - 5 YEARS,15,No,Private,0,0,0,0,0
DC17646,NEW YORK LEAGUE FOR EARLY LEARNING CLEARVIEW SCHOOL,NEW YORK LEAGUE FOR EARLY LEARNING,124-06 14TH AVENUE,QUEENS,11356,718-352-0104,7995,2015-02-14,Permitted,2 YEARS - 5 YEARS,100,Yes,Private,6,2,3,1,8
DC24702,NEW YORK UNITED DAY CARE,"NEW YORK UNITED DAY CARE, INC.",349 KEAP STREET,BROOKLYN,11211,718-302-4400,29318,2014-12-14,Permitted,2 YEARS - 5 YEARS,45,No,Private,4,1,3,0,6
DC3022,NICHOLAS CARDELL DAY CARE CENTER,"NICHOLAS CARDELL DAY CARE CENTER, INC.",84 VERMILYEA AVENUE,MANHATTAN,10034,212-942-6757,3081,2016-03-10,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,26,2,18,6,8
DC20938,NIGHTINGALE DAY CARE CENTER,"NIGHTINGALE DAY CARE CENTER, INC.",462 LENOX RD,BROOKLYN,11203,718-676-1646,20377,2014-08-07,Permitted,2 YEARS - 5 YEARS,30,No,Private,17,5,10,2,6
DC346,NO. BX. NATIONAL COUNCIL OF NEGRO WOMEN CHILD DEV. CENTER,"NO. BX. NATIONAL COUNCIL OF NEGRO WOMEN, INC.",4035 WHITE PLAINS ROAD,BRONX,10466,718-231-7100,4669,2015-11-23,Permitted,2 YEARS - 5 YEARS,180,No,ACS Contracted Preschools,16,3,7,6,7
DC1192,NOAH'S ARK DAY CARE CENTER,NOAH'S ARK DAY CARE CENTER,120 VERMILYEA AVENUE,MANHATTAN,10034,212-942-4775,7091,2015-05-16,Permitted,2 YEARS - 5 YEARS,32,No,Private,8,3,3,2,6
DC14351,"NOAH'S ARK NU GENERATION, DAYCARE, INC.","NOAH'S ARK NU GENERATION DAYCARE, INC",4716 AVENUE N,BROOKLYN,11234,718-253-5950,7338,2015-06-29,Permitted,2 YEARS - 5 YEARS,22,No,Private,38,7,18,13,10
DC20098,NOAH'S ARK PROGRESSIVE LEARNING CENTER II,NOAH'S ARK PROGRESSIVE LEARNING CENTER INC,62-48 MT. OLIVET CRESCENT,QUEENS,11379,347-335-0044,8195,2014-09-07,Permitted,2 YEARS - 5 YEARS,60,No,Private,8,1,6,1,6
DC2870,NOAH'S ARK PROGRESSIVE LEARNING CENTER INC.,NOAH'S ARK PROGRESSIVE LEARNING CENTER INC.,38-20 BELL BOULEVARD,QUEENS,11361,718-279-4251,6542,2014-12-22,Permitted,2 YEARS - 5 YEARS,40,No,Private,11,5,5,1,9
DC25310,NORTH SIDE SCHOOL,NORTH SIDE SCHOOL,84-60 PARSONS BLVD.,QUEENS,11432,718-298-6161,51784,2015-09-10,Permitted,2 YEARS - 5 YEARS,85,No,Private,0,0,0,0,2
DC22550,NORTHERN CONVENT AVENUE EARLY CHILDHOOD PROGRAM,MOREAU LMSW CHILDREN & FAMILY SERVICES P.C.,764 ST. NICHOLAS AVENUE,MANHATTAN,10031,212-234-1036,22198,2014-09-07,Permitted,2 YEARS - 5 YEARS,27,Yes,Private,2,0,1,1,3
DC18081,NORTHSIDE CENTER  FOR DEVELOPMENT -  HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",302 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7875,2016-03-31,Permitted,2 YEARS - 5 YEARS,63,Yes,Head Start (Direct Fed. Funding),2,0,1,1,7
DC14909,NORTHSIDE CENTER FOR CHILD DEVELOPMENT - ACS HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",302-306 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7575,2016-03-31,Permitted,2 YEARS - 5 YEARS,65,No,ACS Head Start,3,0,1,2,6
DC22947,NORTHSIDE CENTER FOR CHILD DEVELOPMENT - BRONX EARLY HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",609 EAST 156TH STREET,BRONX,10455,347-926-5400,39977,2015-05-14,Permitted,2 YEARS - 5 YEARS,11,No,Head Start (Direct Fed. Funding),0,0,0,0,1
DC12270,NORTHSIDE CENTER FOR CHILD DEVELOPMENT DAY SCHOOL,NORTHSIDE THERAPEUTIC PRESCHOOL,1301 5 AVENUE,MANHATTAN,10029,212-426-3400,7876,2016-04-11,Permitted,2 YEARS - 5 YEARS,68,Yes,Private,2,1,0,1,7
DC14910,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.- EARLY HEAD START",NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC.,302-306 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7576,2015-04-04,Permitted,0 YEARS - 2 YEARS,20,Yes,Head Start (Direct Fed. Funding),2,0,0,2,7
DC22873,NORTHSIDE CENTER FOR CHILD DEVELOPMENT-BRONX EARLY HEADSTART,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",609 EAST 156TH STREET,BRONX,10455,347-926-5400,39857,2015-05-14,Permitted,0 YEARS - 2 YEARS,20,No,Private,1,0,0,1,1
DC20130,NORTHSIDE SCHOOL,NORTH SIDE SCHOOL,16-50 UTOPIA PARKWAY,QUEENS,11357,718-229-5050,8041,2015-09-08,Permitted,2 YEARS - 5 YEARS,108,No,Private,21,3,12,6,11
DC1021,NUESTROS NINOS C. D. SCHOOL,"NUESTROS NINOS DAY CARE CENTER, INC",384 SOUTH 4 STREET,BROOKLYN,11211,718-963-1555,4135,2015-08-07,Permitted,2 YEARS - 5 YEARS,162,No,ACS Contracted Preschools,78,4,39,35,19
DC14598,NUESTROS NINOS CDS @WILLIAMSBURG DAY CARE,"NUESTROS NINOS DAY CARE CENTER, INC.",243 SOUTH 2ND STREET,BROOKLYN,11211,718-218-8275,7562,2015-12-15,Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,35,8,10,17,11
DC10514,NUESTROS NINOS DAY CARE CENTER 111,"NUESTROS NINOS DAY CARE CENTER, INC",161 SOUTH 3 STREET,BROOKLYN,11211,718-388-5000,6808,2014-11-22,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,22,5,14,3,12
DC14683,NURSERY NORTH INFANT & CHILD CARE CENTER ( INFANT PROGRAM ),"NURSERY NORTH INFANT & CHILD DAY CARE ,INC.",2094  FREDRICK DOUGLAS BLVD,MANHATTAN,10026,212-222-4404,7596,2015-06-08,Permitted,0 YEARS - 2 YEARS,36,No,Private,13,4,6,3,6
DC14200,NURSERY NORTH INFANT & CHILD DAYCARE CENTER,"NURSERY NORTH INFANT & CHILD DAY CARE, INC.",2094 FREDRICK DOUGLAS BLVD.,MANHATTAN,10026,212-222-4404,7595,2014-05-22,Expired-InRenewal,2 YEARS - 5 YEARS,39,No,Private,33,7,14,12,7
DC19569,NURSERY NORTH TOO,"NURSERY NORTH TOO INFANT DAYCARE CENTER, INC.",249 WEST 144TH STREET,MANHATTAN,10030,212-926-9700,8146,2014-04-27,Expired-InRenewal,0 YEARS - 2 YEARS,46,No,Private,25,0,15,10,10
DC20748,NURSERY NORTH TOO,"NURSERY NORTH TOO INFANT DAYCARE CENTER, INC.",249 WEST 144TH STREET,MANHATTAN,10030,212-926-9700,8145,2014-04-27,Expired-InRenewal,2 YEARS - 5 YEARS,28,No,Private,14,0,12,2,7
DC1146,NURSERY SCHOOL AT HABONIM,CONGREGATION HABONIM,44 WEST 66 STREET,MANHATTAN,10023,212-787-5347,1146,2015-07-22,Permitted,2 YEARS - 5 YEARS,63,No,Private,6,2,2,2,5
DC21066,NY CITY EXPLORERS,CITY EXPLORERS INC,110 SCHERMERHORN ST.,BROOKLYN,11201,718-797-3707,8205,2014-07-19,Permitted,2 YEARS - 5 YEARS,26,No,Private,49,11,21,17,12
DC14830,OAKDALE ACADEMY INFANT TODDLER PROGRAM,L & A CENTERS INC.,366 OAKDALE STREET,STATEN ISLAND,10312,718-948-4220,7604,2015-05-16,Permitted,0 YEARS - 2 YEARS,18,No,Private,12,1,8,3,10
DC1363,OAKDALE ACADEMY PRESCHOOL,"L & A CENTERS, INC.",366 OAKDALE STREET,STATEN ISLAND,10312,718-948-4220,4709,2014-09-03,Permitted,2 YEARS - 5 YEARS,39,No,Private,30,12,11,7,13
DC2145,OAKWOOD HEIGHTS COMMUNITY CHURCH NURSERY SCHOOL,"OAKWOOD HEIGHTS COMMUNITY CHURCH, INC.",345 GUYON AVE.,STATEN ISLAND,10306,718-351-0984,4565,2015-05-25,Permitted,2 YEARS - 5 YEARS,34,No,Private,7,1,1,5,5
DC11082,ODYSSEY HOUSE FAMILY CENTER,"ODYSSEY  HOUSE, INC.",219 EAST 121 ST,MANHATTAN,10035,212-987-5193,7352,2015-07-16,Permitted,0 YEARS - 2 YEARS,28,No,Private,11,1,7,3,8
DC1148,ODYSSEY HOUSE FAMILY CENTER,"ODYSSEY HOUSE,INC.",219 EAST 121 ST,MANHATTAN,10035,212-987-5193,7350,2015-01-24,Permitted,2 YEARS - 5 YEARS,20,No,Private,13,0,6,7,8
DC26178,OHR OSHER AND YAFFA JEWISH CENTER,OHR OSHER AND YAFFA JEWISH CENTER,75-21 MAIN STREET,QUEENS,11367,718-850-2934,55299,2015-12-18,Permitted,2 YEARS - 5 YEARS,54,No,Private,0,0,0,0,1
DC462,OLD FIRST NURSERY SCHOOL,OLD FIRST NURSERY SCHOOL,729 CARROLL STREET,BROOKLYN,11215,347-460-6367,1648,2012-10-11,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,23,7,10,6,10
DC1308,OMEGA/PSI/PHI/FRAT/NY OMICRON2,OMEGA PSI PHI FRATERNITY NU OMICRON CHAPTER E.C.E.C.,123-10 143 STREET,QUEENS,11436,718-322-9671,5013,2015-09-06,Permitted,2 YEARS - 5 YEARS,113,No,ACS Contracted Preschools,7,2,3,2,11
DC2369,ON OUR WAY LEARNING CENTER,ON OUR WAY LEARNING CENTER,264 BEACH 19 STREET,QUEENS,11691,718-868-2961,5764,2015-07-13,Permitted,2 YEARS - 5 YEARS,128,No,Private,5,2,2,1,9
DC19328,ONCE UPON A TIME,"ONCE UPON A CHILD DAY CARE,LLC",68-05 64TH PLACE,QUEENS,11385,347-529-6718,8196,2014-09-10,Permitted,2 YEARS - 5 YEARS,29,No,Private,2,1,0,1,8
DC2370,"ONCE UPON ATIME,INC.","ONCE UPON A TIME, INC.",87-61 111 STREET,QUEENS,11418,718-846-9182,6009,2015-02-28,Permitted,2 YEARS - 5 YEARS,15,No,Private,2,1,1,0,8
DC25689,ONE WORLD PROJECT,JOANNE DERWIN,1218 PROSPECT AVENUE,BROOKLYN,11218,718-407-6377,51658,2015-09-06,Permitted,2 YEARS - 5 YEARS,46,No,Private,6,1,2,3,2
DC1309,OPEN DOOR CHILD CARE CENTER,OPEN DOOR ASSOCIATES,820 COLUMBUS AVENUE,MANHATTAN,10025,212-749-5572,1383,2016-01-11,Permitted,2 YEARS - 5 YEARS,85,No,ACS Contracted Preschools,14,2,7,5,9
DC643,OPEN HOUSE NURSERY SCHOOL,"OPEN HOUSE EARLY CHILDHOOD CENTER, INC.",318A WARREN STREET,BROOKLYN,11201,718-625-5252,7472,2015-09-28,Permitted,2 YEARS - 5 YEARS,90,No,Private,24,1,9,14,9
DC18322,OTSAR EARLY CHILDHOOD CENTER,OTSAR EARLY CHILDHOOD CENTER,2324 WEST 13TH STREET,BROOKLYN,11223,718-946-1413,8029,2015-08-13,Permitted,2 YEARS - 5 YEARS,115,No,Private,14,1,6,7,7
DC22205,OUR CHILDREN OUR FUTURE CHILD CARE CENTER INFANT/TODDLER,ANGELA PORTER/OUR CHILDREN OUR FUTURE CHILD CARE CENTER,306 MILLER AVENUE,BROOKLYN,11207,718-385-6745,13379,2014-03-08,Expired-InRenewal,0 YEARS - 2 YEARS,13,No,Private,52,16,25,11,15
DC22189,OUR CHILDREN OUR FUTURE CHILD CARE CENTER PRESCHOOL,ANGELA PORTER/OUR CHILDREN OUR FUTURE CHILD CARE CENTER,306 MILLER AVENUE,BROOKLYN,11207,718-385-6745,13997,2014-03-23,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,46,8,23,15,11
DC10724,OUR CHILDREN'S CENTER,"AUXILLARY ENTERPRISE BOARD OF NYC COLLEGE OF TECHNOLOGY,INC.",300 JAY STREET,BROOKLYN,11201,718-260-5192,5498,2016-06-02,Permitted,2 YEARS - 5 YEARS,35,No,Private,11,4,5,2,8
DC14442,OUR CHILDREN'S CENTER,"AUXILLIARY ENTERPRISE BOARD OF NEW YORK CITY COLLEGE OF TECHNOLOGY,INC.",55 JOHNSON ST.,BROOKLYN,11201,718-260-5192,4200,2015-03-11,Permitted,2 YEARS - 5 YEARS,62,No,Private,10,2,6,2,8
DC18391,OUR CHILDREN-THE LEADERS OF TOMORROW,"OUR CHILDREN-THE LEADERS OF TOMORROW, INC.",756  MYRTLE AVENUE,BROOKLYN,11206,718-643-8201,8069,2015-09-08,Permitted,2 YEARS - 5 YEARS,85,No,ACS Contracted Preschools,11,3,5,3,7
DC22806,OUR KIDS PLACE COUNTRY DAY,OUR KIDS PLACE COUNTRY DAY,137-25 BROOKVILLE BLVD,QUEENS,11422,516-805-4202,54337,2015-11-20,Permitted,2 YEARS - 5 YEARS,75,No,Private,2,0,1,1,5
DC1175,OUR LADY QUEEN OF MARTYRS  HEAD START/UPK,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF N.Y.,71-91 ARDEN STREET,MANHATTAN,10040,646-796-1398,6997,2014-07-16,Permitted,2 YEARS - 5 YEARS,79,No,ACS Head Start,17,6,6,5,8
