Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Number_Of_Permits,Average_Mean_Violations_Per_Visit,Average_Score,Lat,Lon
DC20303,IT'S A SMALL WORLD AFTER ALL CHILD CARE,IT'S A SMALL WORLD AFTER ALL CHILD CARE INC.,684 BRITTON STREET,BRONX,10467,347-427-3866,8257,2015-02-08,Permitted,2 YEARS - 5 YEARS,26,No,Private,10,0,7,3,7,1.42857,2.42857,1155,Average,1107,Average,1,1.42857,2.42857,40.8665706,-73.86790119999999
DC17284,IT'S A SMALL WORLD AFTER ALL DAY CARE INC,IT'S A SMALL WORLD AFTER ALL CHILD CARE INC.,647 EAST 180TH STREET,BRONX,10457,347-591-0738,7903,2014-08-12,Permitted,2 YEARS - 5 YEARS,30,Yes,Private,11,5,5,1,5,2.2,5.2,1570,Bottom 30%,1798,Bottom 30%,1,2.2,5.2,40.84885329999999,-73.890086
DC22669,ITTY BITTY ADVENTURES,ITTY BITTY ADVENTURES LLC,3416 AVENUE S,BROOKLYN,11234,718-375-4700,22097,2014-09-05,Permitted,2 YEARS - 5 YEARS,42,No,Private,5,0,3,2,3,1.66667,2.66667,1309,Average,1184,Average,1,1.66667,2.66667,40.609116,-73.9322837
DC1203,IVY DAY SCHOOL,"IVY ASSOCIATES USA, INC.",65-01 KISSENA BOULEVARD,QUEENS,11367,718-460-6366,7217,2016-02-22,Permitted,2 YEARS - 5 YEARS,114,No,Private,2,0,0,2,5,0.4,0.4,433,Top 30%,312,Top 15%,1,0.4,0.4,40.73689,-73.8145859
DC21576,IVY DAY SCHOOL,"IVY INTERNATIONAL USA, INC.",70-44 KISSENA BLVD.,QUEENS,11367,718-877-5523,39238,2015-05-06,Permitted,2 YEARS - 5 YEARS,149,No,Private,3,0,3,0,3,1.0,2.0,808,Average,894,Average,1,1.0,2.0,40.730866,-73.81506949999999
DC20976 / DC20977,IVY LEAGUE EARLY LEARNING ACADEMY/ INFANT/ TODDLER / IVY LEAGUE EARLY LEARNING ACADEMY,"GABECO INDUSTRIES, INC. / GABECO INDUSTRIES, INC (P.S.)",1779 RICHMOND AVENUE,STATEN ISLAND,10314,718-982-0202 / 718-982-0202,8157 / 8158,2016-04-20 / 2016-04-20,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 141,No / No,Private / Private,6 / 8,1 / 2,3 / 5,2 / 1,5 / 7,1.2 / 1.14286,2.2 / 2.42857,999 / 956,Average / Average,996 / 1106,Average / Average,3,1.17143,2.35238,40.6048781,-74.1619703
DC1588 / DC14269,IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,GKO GROUP INCORPORATED / GKO GROUP INCORPORATED,4020 EAST TREMONT AVENUE,BRONX,10465,718-239-5275 / 718-239-5275,7528 / 6790,2015-08-28 / 2014-08-31,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,48 / 150,No / No,Private / Private,6 / 2,1 / 0,3 / 2,2 / 0,8 / 4,0.75 / 0.5,1.375 / 1.0,671 / 485,Top 30% / Top 30%,671 / 567,Average / Top 30%,3,0.625,1.125,40.819636,-73.817967
DC3102 / DC12284,IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,"KOG INDUSTRIES, INC. / KOG INDUSTRIES, INC.",61-58 SPRINGFIELD BOULEVARD,QUEENS,11364,718-352-8972 / 718-352-8972,7133 / 7076,2015-05-27 / 2015-01-19,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 119,No / No,Private / Private,8 / 11,1 / 3,4 / 4,3 / 4,6 / 6,1.33333 / 1.83333,2.33333 / 3.5,1109 / 1376,Average / Bottom 30%,1053 / 1427,Average / Bottom 30%,3,1.58333,3.11111,40.7546345,-73.7608776
DC25254 / DC25253,IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,"TT OF NYC, LLC / TT OF NYC LLC",776 AVENUE OF THE AMERICAS,MANHATTAN,10001,212-683-5545 / 212-683-5545,56637 / 56598,2016-02-04 / 2016-02-04,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,81 / 165,No / No,Private / Private,0 / 6,0 / 2,0 / 3,0 / 1,2 / 2,0.0 / 3.0,0.0 / 6.5,187 / 1863,Top 5% / Bottom 30%,102 / 1969,Top 5% / Bottom 15%,3,1.5,4.333333333333333,40.7448767,-73.9910779
DC14805,J & J ACADEMY,J & J ACADEMY INCORPORATED,55 WYONA AVENUE,STATEN ISLAND,10314,718-698-0280,7644,2014-09-19,Permitted,2 YEARS - 5 YEARS,43,No,Private,6,2,3,1,3,2.0,4.33333,1413,Bottom 30%,1640,Bottom 30%,1,2.0,4.33333,40.610466,-74.149091
DC14468,J P MORGAN CHASE BACK-UP CENTER - MIDTOWN,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",18 EAST 48TH STREET,MANHATTAN,10017,212-644-3206,6866,2014-07-16,Permitted,2 YEARS - 5 YEARS,24,No,Corporate,3,0,1,2,3,1.0,1.33333,795,Average,666,Top 30%,1,1.0,1.33333,40.756576,-73.977032
DC3135,J'C'S DAYCARE/ DAY WATCH,DAYWATCH DAY CARE INC.,20 SAINT JOHNS ROAD,QUEENS,11385,718-381-3777,7101,2015-03-11,Permitted,2 YEARS - 5 YEARS,36,No,Private,9,2,6,1,6,1.5,3.16667,1221,Average,1327,Bottom 30%,1,1.5,3.16667,40.70658700000001,-73.90755899999999
DC14165,J.P. MORGAN CHASE BACK UP CHILD CARE CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC. P.S.",3 METROTECH CENTER,BROOKLYN,11201,718-242-1816,6039,2015-04-24,Permitted,2 YEARS - 5 YEARS,20,No,Private,27,5,9,13,6,4.5,7.66667,2096,Bottom 5%,2063,Bottom 5%,1,4.5,7.66667,40.6935774,-73.98479499999999
DC2015,J.P. MORGAN CHASE BACK-UP CHILD CARE CENTER (I/T),"BRIGHT HORIZONS CHILDREN'S CENTER, LLC. I/T",3 METROTECH,BROOKLYN,11201,718-242-1816,6037,2015-04-24,Permitted,0 YEARS - 2 YEARS,18,No,Private,10,3,2,5,6,1.66667,3.0,1315,Average,1278,Average,1,1.66667,3.0,40.6935774,-73.98479499999999
DC2867,JACK & JILL NURSERY SCHOOL II,"LYNBO,INC.",68-05 FRESH MEADOW LANE,QUEENS,11365,718-939-8687,6519,2016-02-22,Permitted,2 YEARS - 5 YEARS,55,No,Private,3,0,3,0,4,0.75,1.5,672,Top 30%,733,Average,1,0.75,1.5,40.7333659,-73.7945621
DC2652,JACK AND JILL AT  ST GEORGE,JACK AND JILL AT ST. GEORGE,209 EAST 16 STREET,MANHATTAN,10003,212-475-0855,5089,2014-11-01,Permitted,2 YEARS - 5 YEARS,40,No,Private,13,0,9,4,4,3.25,5.5,1910,Bottom 15%,1858,Bottom 15%,1,3.25,5.5,40.7343871,-73.98503459999999
DC10479,JACK AND JILL NURSERY SCHOOL,EVBO INC.,43-23 COLDEN STREET,QUEENS,11355,718-762-1218,4506,2015-05-13,Permitted,2 YEARS - 5 YEARS,132,No,Private,6,4,0,2,7,0.857143,2.0,759,Average,905,Average,1,0.857143,2.0,40.7526176,-73.82506
DC1536,JACKSON DEVELOPEMENT CHILDREN'S SERVICES,JACKSON DEVELOPMENT CHILDREN'S SERVICES,36-02 14 STREET,QUEENS,11106,718-392-2510,7186,2015-12-17,Permitted,2 YEARS - 5 YEARS,165,No,Private,7,2,3,2,6,1.16667,2.33333,970,Average,1082,Average,1,1.16667,2.33333,40.75998999999999,-73.93794299999999
DC2128,JACKSON DEVELOPMENT  & CHILDREN'S SERVICES,JACKSON CHILD DEVELOPMENT CENTER,31-36 88 STREET,QUEENS,11369,718-205-1919,6093,2016-02-04,Permitted,2 YEARS - 5 YEARS,109,No,Private,6,1,3,2,4,1.5,2.75,1209,Average,1201,Average,1,1.5,2.75,40.758617,-73.8802547
DC3133,JACKSON HEIGHTS EARLY LEARNING CENTER,JACKSON HEIGHTS EARLY LEARNING CENTER,33-50 82 STREET,QUEENS,11372,718-310-0910,6599,2015-01-10,Permitted,2 YEARS - 5 YEARS,29,No,Private,0,0,0,0,5,0.0,0.0,188,Top 5%,116,Top 5%,1,0.0,0.0,40.7541111,-73.8851044
DC22227,JACKSON HEIGHTS EARLY LEARNING CENTER-OZONE PARK,JACKSON HEIGHTS EARLY LEARNING CENTER-OZONE PARK,81-05 101 AVENUE,QUEENS,11416,646-413-7521,8368,2015-08-31,Permitted,2 YEARS - 5 YEARS,25,No,Private,6,1,3,2,5,1.2,2.2,1004,Average,997,Average,1,1.2,2.2,40.681145,-73.857755
DC17412,"JACKSON HEIGHTS ELC ANNEX, INC.","JACKSON HEIGHTS EARLY LEARNING CENTER ANNEX,INC",79-10 34TH AVENUE,QUEENS,11372,718-779-5437,7827,2016-01-11,Permitted,2 YEARS - 5 YEARS,20,No,Private,2,0,2,0,7,0.285714,0.571429,361,Top 30%,398,Top 30%,1,0.285714,0.571429,40.7534464,-73.8873385
DC19345 / DC18442,JADS CHILDREN   CENTER  INC. / JADS  CHILDREN CENTER INC.,JADS CHILDREN CENTER INC. / JADS CHILDREN CENTER INC.,2403 GRAND CONCOURSE,BRONX,10468,718-220-1477 / 718-220-1477,7981 / 8042,2015-06-29 / 2015-06-29,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28 / 75,Yes / Yes,Private / Private,10 / 8,1 / 1,6 / 4,3 / 3,5 / 5,2.0 / 1.6,3.6 / 2.8,1452 / 1260,Bottom 30% / Average,1442 / 1217,Bottom 30% / Average,3,1.8,3.0666666666666664,40.8603366,-73.89870549999999
DC23222,JAMAICA N.A.A.C.P.,"B'ABOVE WORLDWIDE INSTITUTE, INC.",189-26 LINDEN BLVD.,QUEENS,11412,718-978-0400,25558,2014-10-18,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,1,0,1,0,3,0.333333,0.666667,368,Top 30%,433,Top 30%,1,0.333333,0.666667,40.6918419,-73.7616163
DC2251,JAMAICA SDA/BUSY BEE LEARNING CENTER,JAMAICA SDA CHURCH,88-28 163 STREET,QUEENS,11432,718-297-3491,5821,2015-06-13,Permitted,2 YEARS - 5 YEARS,75,No,Private,0,0,0,0,5,0.0,0.0,198,Top 5%,128,Top 5%,1,0.0,0.0,40.7073538,-73.7984942
DC16862,JCP  EARLY CHILDHOOD CENTER,"JEWISH COMMUNITY PROJECT OF LOWER MANHATTAN NURSERY SCHOOL, INC.",146 DUANE STREET,MANHATTAN,10013,212-334-3533,7836,2015-11-19,Permitted,2 YEARS - 5 YEARS,124,Yes,Private,7,0,6,1,3,2.33333,4.33333,1628,Bottom 30%,1638,Bottom 30%,1,2.33333,4.33333,40.716168,-74.008106
DC24708,JEROME HARDEMAN EARLY CHILDHOOD EDUCATION CENTER,"SCO FAMILY OF SERVICES, INC.",29-49 GILLMORE STREET,QUEENS,11369,718-779-1660,24177,2014-10-05,Permitted,2 YEARS - 5 YEARS,63,No,ACS Contracted Preschools,1,0,1,0,3,0.333333,0.666667,382,Top 30%,431,Top 30%,1,0.333333,0.666667,40.761405,-73.8642239
DC1357,JEWISH CHILD CARE ASSOC.,J.C.C.A. FOREST HILLS DAY CARE CENTER,108-05 68 ROAD,QUEENS,11375,718-263-5730,4940,2015-05-16,Permitted,2 YEARS - 5 YEARS,51,No,Private,0,0,0,0,3,0.0,0.0,201,Top 5%,129,Top 5%,1,0.0,0.0,40.7265469,-73.845978
DC17068 / DC14946,JEWISH COMMUNITY CENTER OF STATEN ISLAND I/T / JEWISH COMMUNITY  CENTER OF STATEN ISLAND,"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED / JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",1466 MANOR ROAD,STATEN ISLAND,10314,718-475-5230 / 718-475-5230,7710 / 7711,2015-02-05 / 2015-02-05,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 140,No / No,Private / Private,5 / 1,0 / 0,3 / 0,2 / 1,4 / 5,1.25 / 0.2,2.0 / 0.2,1039 / 259,Average / Top 15%,981 / 234,Average / Top 15%,3,0.725,0.7999999999999999,40.59479899999999,-74.1263681
DC1464,JEWISH COMMUNITY CENTER OF STATEN ISLAND,"JEWISH COMMUNITY CENTER OF STATEN ISLAND,INCORPORATED",1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5224,5224,2014-09-10,Permitted,2 YEARS - 5 YEARS,94,No,Private,12,4,5,3,5,2.4,5.0,1667,Bottom 30%,1768,Bottom 30%,1,2.4,5.0,40.5656626,-74.1835775
DC1216,JEWISH COMMUNITY CENTER OF STATEN ISLAND,JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED,485 VICTORY BOULEVARD,STATEN ISLAND,10301,718-475-5286,3058,2014-07-20,Permitted,2 YEARS - 5 YEARS,112,No,Private,1,0,0,1,3,0.333333,0.333333,377,Top 30%,274,Top 15%,1,0.333333,0.333333,40.630661,-74.08887200000001
DC1219 / DC18032,SMILES AROUND US DAY CARE CENTER / JEWISH COMMUNITY CENTER OF STATEN ISLAND@ SMILES AROUND US,"SMILE AROUND US, INC. / JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",3854 HYLAN BOULEVARD,STATEN ISLAND,10308,718-948-0122 / 718-948-0122,6714 / 7845,2016-01-11 / 2015-09-01,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,85 / 20,No / No,Private / Private,16 / 1,1 / 0,12 / 0,3 / 1,11 / 3,1.45455 / 0.333333,2.72727 / 0.333333,1157 / 385,Average / Top 30%,1193 / 272,Average / Top 15%,3,0.8939415,1.131312,40.54515809999999,-74.1427298
DC14171 / DC2353,MARCKTELL MANAGEMENT ( JFKIDS PORT) / JF KIDS PORT INFANT TODDLER PROGRAM,MARCTELL MANAGEMENT / MARCTELL MANAGEMENT,BLDG #350 JFK AIRPORT,QUEENS,11430,718-553-5437 / 718-553-5437,7175 / 7191,2015-10-17 / 2015-10-17,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,80 / 26,No / No,Private / Private,1 / 1,0 / 0,1 / 1,0 / 0,6 / 6,0.166667 / 0.166667,0.333333 / 0.333333,246 / 257,Top 15% / Top 15%,275 / 278,Top 15% / Top 15%,3,0.166667,0.333333,40.6434612,-73.7822056
DC17623,JOAN ANN KENNEDY MEMORIAL PRE-SCHOOL (SETON FOUNDATION,"SETON FOUNDATION FOR LEARNING,INC.",850 HYLAN BOULEVARD,STATEN ISLAND,10305,718-876-0939,7920,2014-09-09,Permitted,2 YEARS - 5 YEARS,64,No,Private,1,1,0,0,3,0.333333,1.0,381,Top 30%,571,Top 30%,1,0.333333,1.0,40.599615,-74.07024899999999
DC24695,JOHN COKER DAY CARE CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",1375 BUSHWICK AVENUE,BROOKLYN,11207,718-452-1414,23678,2014-10-01,Permitted,2 YEARS - 5 YEARS,75,No,ACS Contracted Preschools,3,0,2,1,4,0.75,1.25,670,Top 30%,624,Top 30%,1,0.75,1.25,40.685454,-73.910461
DC334,JOHN F. KENNEDY EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",103-15 FARRAGUT ROAD,BROOKLYN,11236,718-272-8751,4064,2015-01-24,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,29,7,14,8,12,2.41667,4.75,1670,Bottom 30%,1725,Bottom 30%,1,2.41667,4.75,40.644465,-73.90732969999999
DC25669,JOHN ORAVECZ EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",176 JAVA STREET,BROOKLYN,11222,718-782-2727,50998,2015-08-23,Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,0,0,0,0,2,0.0,0.0,43,Top 5%,153,Top 5%,1,0.0,0.0,40.7315705,-73.95343729999999
DC2252,JOHNSON'S ACADEMY PRESCHOOL,"JOHNSON'S ACADEMY, LLC.",99-04 57 AVENUE,QUEENS,11368,718-592-7289,4546,2014-12-15,Permitted,2 YEARS - 5 YEARS,23,No,Private,7,2,5,0,5,1.4,3.2,1146,Average,1335,Bottom 30%,1,1.4,3.2,40.738566,-73.85936989999999
DC24620,JONATHAN WILLIAMS DAY CARE CENTER,"LABOR & INDUSTRY FOR EDUCATION, INC.",321 ROEBLING STREET,BROOKLYN,11211,718-387-5011,24338,2014-10-09,Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools,7,0,1,6,3,2.33333,2.66667,1643,Bottom 30%,1179,Average,1,2.33333,2.66667,40.7083192,-73.9609875
DC20330,JOYFUL TOTS DAY CARE CENTER,JOYFUL TOTS DAYCARE CENTER INC.,403 NEW JERSEY AVENUE,BROOKLYN,11207,718-676-7867,11837,2016-02-02,Permitted,2 YEARS - 5 YEARS,36,No,Private,13,2,5,6,5,2.6,4.4,1737,Bottom 30%,1651,Bottom 30%,1,2.6,4.4,40.66942,-73.893922
DC25976 / DC25977,JOYFUL TOTS DAYCARE CENTER INC. / JOYFUL TOTS DAYCARE CENTER INC.,JOYFUL TOTS DAYCARE CENTER INC / JOYFUL TOTS DAYCARE CENTER INC.,265 LOTT AVENUE,BROOKLYN,11212,718-342-4225 / 718-342-4222,55858 / 55857,2016-01-09 / 2016-01-09,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,44 / 16,No / No,Private / Private,0 / 2,0 / 0,0 / 1,0 / 1,2 / 2,0.0 / 1.0,0.0 / 1.5,45 / 819,Top 5% / Average,154 / 728,Top 5% / Average,3,0.5,1.0,40.658734,-73.903611
DC2282,JP MORGAN CHASE BACK-UP CC / BRIGHT HORIZONS,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",18 EAST 48 STREET,MANHATTAN,10017,212-644-3206,6867,2015-08-30,Permitted,0 YEARS - 2 YEARS,18,No,Private,0,0,0,0,4,0.0,0.0,47,Top 5%,155,Top 5%,1,0.0,0.0,40.756576,-73.977032
DC20818,JTG BILINGUAL CHILD DEVELOPMENT SERVICES,"JTG BILINGUAL CHILD DEVELOPMENT SERVICES, INC.",1440 86TH STREET,BROOKLYN,11228,718-331-0288,8321,2015-06-13,Permitted,2 YEARS - 5 YEARS,29,No,Private,8,1,5,2,3,2.66667,5.0,1761,Bottom 30%,1781,Bottom 30%,1,2.66667,5.0,40.611933,-74.010903
DC3105,JUDI`S NURSERY,JUDI'S NURSERY,70-11 150 STREET,QUEENS,11367,718-520-1324,6958,2015-07-06,Permitted,2 YEARS - 5 YEARS,110,No,Private,4,0,4,0,6,0.666667,1.33333,631,Top 30%,664,Top 30%,1,0.666667,1.33333,40.730196,-73.818253
DC116,JUST 4  KIDS SOUNDVIEW CENTER,"JUST 4 KIDS SOUNDVIEW CENTER, INC.",214 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7334,2015-08-27,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,15,2,5,8,7,2.14286,3.42857,1552,Bottom 30%,1398,Bottom 30%,1,2.14286,3.42857,40.8093249,-73.8553283
DC14179,JUST 4 KIDS KIDDIE KOLLEGE,"JUST 4 KIDS SOUNDVIEW CENTER, INC.",781 CASTLE HILL AVENUE,BRONX,10473,347-493-0813,7748,2015-08-27,Permitted,2 YEARS - 5 YEARS,25,No,Private,10,2,5,3,4,2.5,4.75,1690,Bottom 30%,1721,Bottom 30%,1,2.5,4.75,40.82289,-73.849597
DC12263,JUST 4 KIDS SOUNDVIEW CENTER  I I,"JUST 4 KIDS SOUNDVIEW CENTER, INC.",216 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7388,2015-04-27,Permitted,2 YEARS - 5 YEARS,22,No,Private,17,6,5,6,6,2.83333,5.66667,1804,Bottom 30%,1877,Bottom 15%,1,2.83333,5.66667,40.8107199,-73.8556754
DC23123 / DC23122,KA OF FLUSHING / KA OF FLUSHING,"KA ON PARSONS, INC. / KA  ON PARSONS INC.",33-25 PARSONS BLVD.,QUEENS,11354,718-888-9499 / 718-888-9499,52658 / 52560,2015-10-01 / 2015-09-27,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,56 / 149,No / No,Private / Private,0 / 0,0 / 0,0 / 0,0 / 0,2 / 2,0.0 / 0.0,0.0 / 0.0,50 / 49,Top 5% / Top 5%,157 / 156,Top 5% / Top 5%,3,0.0,0.0,40.7674329,-73.8240375
DC14266,KANE STREET KIDS,CONGREGATION BAITH ISRAEL ANSHEI EMES,236 KANE STREET,BROOKLYN,11231,718-875-1550,7598,2016-02-03,Permitted,2 YEARS - 5 YEARS,70,No,Private,1,0,1,0,4,0.25,0.5,330,Top 15%,370,Top 30%,1,0.25,0.5,40.68554,-73.9952259
DC1184,KAPLAN NURSERY SCHOOL AT SUTTON PLACE SYNAGOGUE,SUTTON PLACE SYNAGOGUE,225 EAST 51 STREET,MANHATTAN,10022,212-826-6204,7512,2014-11-03,Permitted,2 YEARS - 5 YEARS,65,No,Private,6,1,3,2,3,2.0,3.66667,1439,Bottom 30%,1466,Bottom 30%,1,2.0,3.66667,40.7561186,-73.9691668
DC18739,KATHY'S DAY CARE,"A & A KATHY'S DAY CARE,INC.",94-25 57 AVENUE,QUEENS,11373,718-592-1515,7869,2014-08-16,Permitted,2 YEARS - 5 YEARS,36,No,Private,15,2,12,1,9,1.66667,3.44444,1295,Average,1405,Bottom 30%,1,1.66667,3.44444,40.7362977,-73.8670884
DC10529,KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1028 EAST 179 STREET,BRONX,10460,718-842-0200,5354,2016-04-12,Permitted,2 YEARS - 5 YEARS,204,Yes,Private,16,2,9,5,7,2.28571,4.14286,1617,Bottom 30%,1587,Bottom 30%,1,2.28571,4.14286,40.8422697,-73.8802176
DC14648,KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1071 B EAST TREMONT AVENUE,BRONX,10460,718-842-8942,7809,2015-10-11,Permitted,2 YEARS - 5 YEARS,73,No,Private,4,1,1,2,3,1.33333,2.33333,1080,Average,1079,Average,1,1.33333,2.33333,40.8399899,-73.8790997
DC1142,KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,151 EAST 67 STREET,MANHATTAN,10065,212-988-9500,1545,2015-06-06,Permitted,2 YEARS - 5 YEARS,167,Yes,Private,10,1,4,5,3,3.33333,5.33333,1928,Bottom 15%,1822,Bottom 30%,1,3.33333,5.33333,40.7671858,-73.9640575
DC14408,KEREN OHR III NURSERY,KEREN OHR III NURSERY,170-16 73 AVENUE,QUEENS,11366,718-380-5611,7408,2015-08-17,Permitted,2 YEARS - 5 YEARS,55,No,Private,0,0,0,0,5,0.0,0.0,53,Top 5%,159,Top 5%,1,0.0,0.0,40.7285309,-73.798902
DC15609 / DC14481,KESHET LEARNING CENTER / KESHET LEARNING CENTER,CONGREGATION KESHET BEANAN / CONGREGATION KESHET BEANAN,1612  QUENTIN ROAD,BROOKLYN,11229,718-376-6958 / 718-376-6958,7665 / 7664,2014-11-20 / 2014-11-20,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 51,No / No,Private / Private,8 / 9,0 / 0,2 / 4,6 / 5,5 / 6,1.6 / 1.5,2.0 / 2.16667,1243 / 1218,Average / Average,898 / 991,Average / Average,3,1.55,2.1111133333333334,40.608177,-73.95674
DC19609,KHANH PHAN,FUNDAY DAY CARE CENTER,47-49 162ND STREET,QUEENS,11358,718-460-8552,8035,2015-06-30,Permitted,2 YEARS - 5 YEARS,33,No,Private,14,4,8,2,9,1.55556,3.33333,1225,Average,1381,Bottom 30%,1,1.55556,3.33333,40.7501769,-73.8053518
DC21460,KHWOA BHAO DAY SCHOOL,WAYKEEN CORP.,132-25 POPLE AVENUE,QUEENS,11355,718-353-3628,8290,2015-05-12,Permitted,2 YEARS - 5 YEARS,45,No,Private,5,0,5,0,5,1.0,2.0,793,Average,899,Average,1,1.0,2.0,40.753487,-73.831853
DC2051,"KHYLE BRE NAJ KIDDIE DAY CARE,INC.","KHYLE BRE NAJ KIDDIE DAY CARE, INC.",9718 FLATLANDS AVENUE,BROOKLYN,11236,718-345-3636,7514,2015-08-22,Permitted,2 YEARS - 5 YEARS,57,No,Private,17,3,12,2,9,1.88889,3.88889,1398,Bottom 30%,1518,Bottom 30%,1,1.88889,3.88889,40.643795,-73.89994999999999
DC3136,KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER.,KIDZ KRAZY INC,21-25 21 AVENUE,QUEENS,11105,718-545-5728,6853,2015-04-01,Permitted,2 YEARS - 5 YEARS,20,No,Private,6,0,6,0,7,0.857143,1.71429,757,Average,798,Average,1,0.857143,1.71429,40.7820514,-73.91379839999999
DC21327 / DC21326,KID KRAZY INC. PRESCHOOL / KID KRAZY INC.,KID KRAZY INC. / KID KRAZY INC.PRESCHOOL,25-19 27 STREET,QUEENS,11102,718-204-0646 / 718-545-5728,10417 / 10198,2015-12-29 / 2015-12-20,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 51,No / No,Private / Private,0 / 1,0 / 1,0 / 0,0 / 0,5 / 5,0.0 / 0.2,0.0 / 0.6,29 / 290,Top 5% / Top 15%,161 / 414,Top 5% / Top 30%,3,0.1,0.39999999999999997,40.771363,-73.920327
DC2276,"KID KRAZY, INC.",KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,21-35 21 AVENUE,QUEENS,11105,718-545-5728,7278,2014-07-21,Permitted,2 YEARS - 5 YEARS,25,No,Private,2,0,2,0,9,0.222222,0.444444,312,Top 15%,345,Top 30%,1,0.222222,0.444444,40.78187,-73.913539
DC15225 / DC14928,KIDSMART A LEARNING CHILD CARE CENTER / KID SMART- A LEARNING CHILD CARE CENTER,"THE KIDSMART GROUP LLC / THE KID SMART GROUP, LLC",360  SEAVIEW AVENUE,STATEN ISLAND,10305,718-226-8308 / 718-226-8308,7631 / 7632,2015-09-01 / 2014-09-01,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,27 / 32,No / No,Private / Private,9 / 8,4 / 4,1 / 1,4 / 3,8 / 8,1.125 / 1.0,2.25 / 2.125,946 / 796,Average / Average,1020 / 984,Average / Average,3,1.0625,2.1666666666666665,40.585369,-74.090341
DC17506,KIDDIE ACADEMY OF LITTLE NECK,"KIDSZONE, INC.",252-20 NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,2014-12-01,Permitted,2 YEARS - 5 YEARS,128,No,Private,0,0,0,0,5,0.0,0.0,4,Top 5%,170,Top 5%,1,0.0,0.0,40.770156,-73.7358211
