Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC17714,I LOVE ME EARLY CHILDHOOD CENTER,"I LOVE ME EARLY CHILDHOOD CENTER, INC.",93 NORWOOD AVENUE,BROOKLYN,11208,718-235-2654,7900,2016-08-12,Permitted,2 YEARS - 5 YEARS,24,No,Private,6,1,4,1,6,1.0,2.0,792,Average,895,Average,40.683936,-73.8795106
DC22603,I P KIDS,JLEE MONTESSORI INC.,2631 86TH STREET,BROOKLYN,11223,718-621-7818,13397,2016-03-12,Permitted,2 YEARS - 5 YEARS,60,No,Private,2,0,2,0,3,0.666667,1.33333,601,Top 30%,674,Average,40.5961739,-73.9842736
DC14251,IAHD- ST. MARY'S PRESCHOOL,THE INSTITUTE OF APPLIED HUMAN DYNAMICS. INC.,2213 EAST TREMONT AVENUE,BRONX,10462,718-683-3775,5028,2014-12-11,Permitted,2 YEARS - 5 YEARS,49,No,Private,6,1,1,4,5,1.2,1.8,1007,Average,848,Average,40.8421842,-73.85675049999999
DC14191,ICAHN  HOUSE,CHILDREN'S RESCUE FUND,1520 BROOK AVENUE,BRONX,10457,718-299-3819,5803,2015-12-20,Permitted,0 YEARS - 2 YEARS,10,No,Private,4,2,2,0,4,1.0,2.5,794,Average,1155,Average,40.838647,-73.904702
DC1854,ICAHN HOUSE,CHILDREN'S RESCUE FUND,1520 BROOK AVENUE,BRONX,10457,718-299-3819,5829,2014-12-11,Permitted,2 YEARS - 5 YEARS,21,No,Private,2,0,0,2,3,0.666667,0.666667,622,Top 30%,447,Top 30%,40.838647,-73.904702
DC2306,ICCD,"INTERDISCIPLINARY CENTER FOR CHILD DEVELOPMENT,INC.",35-55 223 STREET,QUEENS,11361,718-428-5370,5620,2014-06-21,Expired-InRenewal,2 YEARS - 5 YEARS,90,No,Private,1,0,1,0,4,0.25,0.5,340,Top 15%,382,Top 30%,40.7693853,-73.7615162
DC10985,ICCD,INTERDISCIPLINARY CENTER FOR CHILD DEVELOPMENT INC.,98-02 62 DRIVE,QUEENS,11374,718-263-1587,5313,2016-08-31,Permitted,2 YEARS - 5 YEARS,147,Yes,Private,1,0,1,0,4,0.25,0.5,342,Top 15%,383,Top 30%,40.7330539,-73.8596625
DC21084,ICLC/STANLEY S. LAMM INSTITUTE PRESCHOOL,THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,500 19TH STREET,BROOKLYN,11215,718-237-8833,8354,2015-07-05,Permitted,2 YEARS - 5 YEARS,136,No,Private,34,9,12,13,11,3.09091,5.81818,1899,Bottom 15%,1910,Bottom 15%,40.656204,-73.982638
DC125,IDEAL DAY CARE CENTER,"IDEAL DAY CARE CENTER, INC.",1193 NOSTRAND AVENUE,BROOKLYN,11225,718-604-1486,6456,2014-12-21,Permitted,2 YEARS - 5 YEARS,15,No,Private,14,3,5,6,5,2.8,5.0,1811,Bottom 30%,1797,Bottom 30%,40.658193,-73.950051
DC19944,IMAGINE DUMBO (INFANT/TODDLER),"IMAGINE EARLY LEARNING CENTERS,LLC.",85 Adams Street,BROOKLYN,11201,718-522-2263,8065,2015-08-26,Permitted,0 YEARS - 2 YEARS,19,No,Private,5,1,3,1,5,1.0,2.0,795,Average,905,Average,40.7017733,-73.988378
DC17795,IMAGINE DUMBO (P.S.),"IMAGINE EARLY LEARNING CENTERS, LLC",85 Adams Street,BROOKLYN,11201,718-522-2263,8064,2015-08-26,Permitted,2 YEARS - 5 YEARS,30,No,Private,3,1,1,1,3,1.0,2.0,796,Average,904,Average,40.7017733,-73.988378
DC14364,IMAGINE EARLY LEARNING CENTER @ VETS KIDS,"IMAGINE EARLY LEARNING CENTER, LLC",423 EAST 23 STREET,MANHATTAN,10010,212-951-3435,6004,2015-08-10,Permitted,0 YEARS - 2 YEARS,18,No,Private,4,1,2,1,3,1.33333,2.66667,1108,Average,1195,Average,40.7368642,-73.97693509999999
DC1496,IMAGINE EARLY LEARNING CENTER @ VETS KIDS,"IMAGINE EARLY LEARNING CENTER,LLC",423 EAST 23 STREET,MANHATTAN,10010,212-951-3435,5996,2015-03-31,Permitted,2 YEARS - 5 YEARS,30,Yes,Private,4,1,3,0,3,1.33333,3.0,1107,Average,1269,Average,40.7368642,-73.97693509999999
DC2244,IMAGINE EARLY LEARNING CENTER @JAMAICA KIDS PRESCHOOL,IMAGINE EARLY LEARNING CENTER@JAMAICA KIDS,1 JAMAICA CENTER PLAZA,QUEENS,11432,718-557-5520,6810,2014-09-27,Permitted,2 YEARS - 5 YEARS,35,No,Private,0,0,0,0,6,0.0,0.0,94,Top 5%,173,Top 5%,40.7154518,-73.7919103
DC10732,IMAGINE EARLY LEARNING CENTER P/S,"IMAGINE EARLY LEARNING CENTER, LLC",50 MONROE PLACE,BROOKLYN,11201,718-624-7520,7056,2014-10-23,Permitted,2 YEARS - 5 YEARS,53,Yes,Private,17,1,9,7,5,3.4,5.6,1956,Bottom 15%,1878,Bottom 15%,40.6954939,-73.992668
DC2093,IMAGINE EARLY LEARNING CENTER-INFANT,"IMAGINE EARLY LEARNING CENTERS, LLC",50 MONROE PLACE,BROOKLYN,11201,718-624-7520,7055,2015-02-10,Permitted,0 YEARS - 2 YEARS,18,Yes,Private,8,3,3,2,5,1.6,3.4,1261,Average,1414,Bottom 30%,40.6954939,-73.992668
DC21732,"IMAGINE EARLY LEARNING CENTERS, LLC",LEHMAN COLLEGE STUDENT CHILD CARE CENTER. INC.,250 BEDFORD PARK BLVD WEST.,BRONX,10468,718-960-8746,51558,2015-09-04,Permitted,2 YEARS - 5 YEARS,110,No,ACS Contracted Preschools,0,0,0,0,0,,,,No Data,,No Data,40.87325,-73.89367639999999
DC864,IMANI DAY SCHOOL,DAPHNE BAILEY,4022 FARRAGUT ROAD,BROOKLYN,11210,718-421-9791,7027,2015-03-14,Permitted,2 YEARS - 5 YEARS,19,No,Private,22,8,11,3,7,3.14286,7.0,1909,Bottom 15%,2018,Bottom 15%,40.636668,-73.93774499999999
DC1210,IMMANUEL CREATIVE DAY CARE CENTER,"IMMANUEL GENIUS, INC.",163-15 OAK AVENUE,QUEENS,11358,718-460-9991,7232,2016-04-16,Permitted,2 YEARS - 5 YEARS,55,No,Private,4,1,1,2,5,0.8,1.4,711,Average,711,Average,40.750047,-73.803788
DC19342,IMMANUEL GENIUS,IMMANUEL INC.,213-03 NORTHERN BLVD.,QUEENS,11361,718-819-0190,8192,2016-06-04,Permitted,2 YEARS - 5 YEARS,66,No,Private,6,1,3,2,6,1.0,1.83333,803,Average,864,Average,40.7601132,-73.7701452
DC24966,IMMANUEL GENIUS,"IMMANUEL NY MISSION, INC.",253-01 NORTHERN BLVD.,QUEENS,11362,718-877-3001,55697,2016-01-02,Permitted,2 YEARS - 5 YEARS,71,No,Private,4,1,1,2,3,1.33333,2.33333,1105,Average,1104,Average,40.770847,-73.73577
DC10733,IN GOD WE TRUST,"IN KIDS WE TRUST, INC.",241 MARCUS GARVEY BOULEVARD,BROOKLYN,11221,718-453-0004,7212,2014-09-22,Permitted,2 YEARS - 5 YEARS,18,No,Private,37,6,25,6,10,3.7,7.4,2015,Bottom 15%,2059,Bottom 15%,40.689547,-73.93907399999999
DC22210,INFANT/TODDLER,THE RAMAZ FACULTY CHILDCARE CENTER,1725  YORK AVENUE,MANHATTAN,10128,212-774-8000,22457,2014-09-13,Permitted,0 YEARS - 2 YEARS,36,No,Private,2,1,0,1,3,0.666667,1.33333,618,Top 30%,671,Average,40.7782522,-73.9458884
DC31735,INFINITY EDUCATIONAL CHILD CARE OF GERRITSEN BEACH,INFINITY EDUCATIONAL PROGRAMS INC.,2934-2936 GERRITSEN  AVENUE,BROOKLYN,11229,718-336-2936,64697,2016-05-20,Permitted,2 YEARS - 5 YEARS,29,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.589044,-73.921246
DC21845,INFINITY EDUCATIONAL CHILD CARE OF MARINE PARK,INFINITY EDUCATIONAL PROGRAMS INC.,1972 EAST 34TH STREET,BROOKLYN,11234,718-336-1981,8396,2015-09-16,Permitted,2 YEARS - 5 YEARS,85,No,Private,9,4,3,2,6,1.5,3.33333,1207,Average,1390,Bottom 30%,40.60896,-73.933345
DC757,INITIAL STEPS CHILD DEVELOPMENT CENTER,"INITIAL STEPS CHILD DEVELOPMENT,INC.",3003 GLENWOOD ROAD,BROOKLYN,11210,718-434-2805,6484,2014-10-18,Permitted,2 YEARS - 5 YEARS,48,No,Private,10,1,6,3,4,2.5,4.5,1734,Bottom 30%,1693,Bottom 30%,40.634206,-73.947555
DC19732,INNER FORCE TOTS  INFANT/TODDLER,"INNER FORCE TOTS, INC.",1181  EAST NEW YORK AVENUE,BROOKLYN,11212,718-221-1246,8140,2016-03-22,Permitted,0 YEARS - 2 YEARS,69,No,ACS Contracted Preschools,43,2,26,15,12,3.58333,6.08333,1992,Bottom 15%,1943,Bottom 15%,40.667156,-73.923209
DC19733,"INNER FORCE TOTS,INC.","INNER FORCE TOTS, INC",1181  EAST NEW YORK AVENUE,BROOKLYN,11212,718-221-1246,8139,2016-03-22,Permitted,2 YEARS - 5 YEARS,357,No,ACS Contracted Preschools,27,0,13,14,14,1.92857,2.85714,1423,Bottom 30%,1259,Average,40.667156,-73.923209
DC18498,INTERNATIONAL 1ST STEP DAY CARE 11 CORPORATION,INTERNATIONAL 1ST STEP DAY CARE 11 CORPORATION,64-41 UTOPIA PARKWAY,QUEENS,11365,718-886-8977,7999,2015-05-20,Permitted,2 YEARS - 5 YEARS,40,No,Private,11,5,5,1,6,1.83333,4.33333,1390,Bottom 30%,1636,Bottom 30%,40.7369943,-73.79299639999999
DC23223,INTERNATIONAL CHILDREN'S,"B'ABOVE WORLDWIDE INSTITUTE, INC.",57-27 PENROD STREET,QUEENS,11368,718-271-1000,25677,2014-10-18,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,1,0,1,0,4,0.25,0.5,346,Top 15%,372,Top 30%,40.739748,-73.855986
DC14440,INTERNATIONAL NURSERY SCHOOL,INTERNATIONAL NURSERY SCHOOL AND KINDERGARTEN,171-39 NORTHERN BLVD,QUEENS,11358,718-353-0932,7436,2015-09-28,Permitted,2 YEARS - 5 YEARS,62,No,Private,1,0,1,0,4,0.25,0.5,350,Top 15%,373,Top 30%,40.7577392,-73.794507
DC331,IOLA JORDAN DAY CARE CENTER,"1332 FULTON AVENUE DAY CARE,INC.",421 EAST 161 STREET,BRONX,10451,718-402-4166,5483,2016-06-29,Permitted,2 YEARS - 5 YEARS,154,No,ACS Contracted Preschools,9,2,2,5,5,1.8,3.0,1369,Bottom 30%,1276,Average,40.824276,-73.912896
DC22704,IP KIDS,"JLEE MONTESSORI, INC.",2619 86TH STREET,BROOKLYN,11223,718-621-7818,23219,2014-09-26,Permitted,2 YEARS - 5 YEARS,44,No,Private,8,2,4,2,4,2.0,4.0,1509,Bottom 30%,1564,Bottom 30%,40.5963988,-73.9846534
DC22705,IP KIDS,"JLEE MONTESSORI, INC.",2625 86TH STREET,BROOKLYN,11223,718-621-7818,23220,2014-09-26,Permitted,2 YEARS - 5 YEARS,56,No,Private,7,1,4,2,4,1.75,3.25,1335,Bottom 30%,1378,Bottom 30%,40.5962864,-73.98446349999999
DC17499,IP KIDS MONTESSORI,"BLUE SKY DAY CARE, INC.",850 50TH STREET,BROOKLYN,11220,718-633-1178,8113,2015-12-29,Permitted,2 YEARS - 5 YEARS,49,No,Private,5,0,2,3,3,1.66667,2.33333,1326,Average,1103,Average,40.640141,-74.00256499999999
DC21671,"IRA'S BRIARWOD DAYCARE & PRESCHOOL, INC.",IRA'S BRIARWOOD CHILDCARE&INFANT/TODDLER,139-76 85 DRIVE,QUEENS,11435,718-739-6500,8240,2015-02-18,Permitted,0 YEARS - 2 YEARS,15,No,Corporate,0,0,0,0,5,0.0,0.0,58,Top 5%,158,Top 5%,40.7089727,-73.8139151
DC21672,"IRA'S BRIARWOOD DAYCARE & PRESCHOOL,INC.","IRA'S BRIARWOOD DAYCARE & PRESCHOOL,INC.",139-76 85 DRIVE,QUEENS,11435,917-807-2683,8239,2015-02-18,Permitted,2 YEARS - 5 YEARS,84,No,Corporate,2,0,2,0,4,0.5,1.0,518,Top 30%,570,Top 30%,40.7089727,-73.8139151
DC2749,"IRA'S PARKWAY DAY CARE & PRESCHOOL,INC.","IRA'S PARKWAY DAY CARE AND PRE-SCHOOL,INC.",141-20 GRAND CENTRAL PARKWAY,QUEENS,11435,718-526-1803,6711,2014-10-14,Permitted,2 YEARS - 5 YEARS,52,No,Private,1,0,1,0,7,0.142857,0.285714,249,Top 15%,282,Top 15%,40.715493,-73.817126
DC3115,ISABELLA  CHILD CARE,"ISABELLA CHILD DAY CARE SERVICES, INC.",515 AUDUBON AVENUE,MANHATTAN,10040,212-342-9436,5804,2015-04-26,Permitted,0 YEARS - 2 YEARS,26,No,Private,4,1,2,1,4,1.0,2.0,810,Average,896,Average,40.8545327,-73.9275644
DC14192,ISABELLA  CHILD DAY CARE CENTER,"ISABELLA CHILD DAY CARE SERVICES,INC.",515 AUDUBON AVENUE,MANHATTAN,10040,212-342-9436,5805,2015-02-05,Permitted,2 YEARS - 5 YEARS,13,No,Private,2,0,0,2,4,0.5,0.5,515,Top 30%,368,Top 30%,40.8545327,-73.9275644
DC14375,"ISHOLOM SHOLOM, INC.","SHOLOM SHOLOM, INC.",116-66 PARK LANE SOUTH,QUEENS,11418,718-850-2934,7336,2015-07-08,Permitted,0 YEARS - 2 YEARS,8,No,Private,5,0,5,0,5,1.0,2.0,814,Average,892,Average,40.708249,-73.836502
DC3141,ISLANDER'S KIDS LEARNING DAY CARE CENTER,"ISLANDER'S KIDS, INC.",219 JEFFERSON AVENUE,STATEN ISLAND,10306,718-979-5331,7354,2015-01-16,Permitted,2 YEARS - 5 YEARS,75,No,Private,20,4,6,10,5,4.0,6.8,2080,Bottom 15%,2006,Bottom 15%,40.58189,-74.098894
DC20303,IT'S A SMALL WORLD AFTER ALL CHILD CARE,IT'S A SMALL WORLD AFTER ALL CHILD CARE INC.,684 BRITTON STREET,BRONX,10467,347-427-3866,8257,2015-02-08,Permitted,2 YEARS - 5 YEARS,26,No,Private,10,0,7,3,7,1.42857,2.42857,1165,Average,1126,Average,40.8665706,-73.86790119999999
DC17284,IT'S A SMALL WORLD AFTER ALL DAY CARE INC,IT'S A SMALL WORLD AFTER ALL CHILD CARE INC.,647 EAST 180TH STREET,BRONX,10457,347-591-0738,7903,2014-08-12,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private,11,5,5,1,5,2.2,5.2,1594,Bottom 30%,1814,Bottom 30%,40.84885329999999,-73.890086
DC22669,ITTY BITTY ADVENTURES,ITTY BITTY ADVENTURES LLC,3416 AVENUE S,BROOKLYN,11234,718-375-4700,22097,2014-09-05,Permitted,2 YEARS - 5 YEARS,42,No,Private,5,0,3,2,4,1.25,2.0,1045,Average,884,Average,40.609116,-73.9322837
DC1203,IVY DAY SCHOOL,"IVY ASSOCIATES USA, INC.",65-01 KISSENA BOULEVARD,QUEENS,11367,718-460-6366,7217,2016-02-22,Permitted,2 YEARS - 5 YEARS,114,No,Private,2,0,0,2,5,0.4,0.4,478,Top 30%,328,Top 15%,40.73689,-73.8145859
DC21576,IVY DAY SCHOOL,"IVY INTERNATIONAL USA, INC.",70-44 KISSENA BLVD.,QUEENS,11367,718-877-5523,39238,2015-05-06,Permitted,2 YEARS - 5 YEARS,149,No,Private,3,0,3,0,3,1.0,2.0,815,Average,882,Average,40.730866,-73.81506949999999
DC20977,IVY LEAGUE EARLY LEARNING ACADEMY,"GABECO INDUSTRIES, INC (P.S.)",1779 RICHMOND AVENUE,STATEN ISLAND,10314,718-982-0202,8158,2016-04-20,Permitted,2 YEARS - 5 YEARS,141,No,Private,8,2,5,1,7,1.14286,2.42857,975,Average,1127,Average,40.6048781,-74.1619703
DC14269,IVY LEAGUE EARLY LEARNING ACADEMY,GKO GROUP INCORPORATED,4020 EAST TREMONT AVENUE,BRONX,10465,718-239-5275,6790,2014-08-31,Permitted,2 YEARS - 5 YEARS,150,No,Private,2,0,2,0,3,0.666667,1.33333,628,Top 30%,667,Average,40.819636,-73.817967
DC1588,IVY LEAGUE EARLY LEARNING ACADEMY,GKO GROUP INCORPORATED,4020 EAST TREMONT AVENUE,BRONX,10465,718-239-5275,7528,2015-08-28,Permitted,0 YEARS - 2 YEARS,48,No,Private,1,0,1,0,6,0.166667,0.333333,253,Top 15%,299,Top 15%,40.819636,-73.817967
DC12284,IVY LEAGUE EARLY LEARNING ACADEMY,"KOG INDUSTRIES, INC.",61-58 SPRINGFIELD BOULEVARD,QUEENS,11364,718-352-8972,7076,2015-01-19,Permitted,2 YEARS - 5 YEARS,119,No,Private,11,3,4,4,6,1.83333,3.5,1403,Bottom 30%,1451,Bottom 30%,40.7546345,-73.7608776
DC3102,IVY LEAGUE EARLY LEARNING ACADEMY,"KOG INDUSTRIES, INC.",61-58 SPRINGFIELD BOULEVARD,QUEENS,11364,718-352-8972,7133,2015-05-27,Permitted,0 YEARS - 2 YEARS,36,No,Private,8,1,4,3,6,1.33333,2.33333,1100,Average,1102,Average,40.7546345,-73.7608776
DC25253,IVY LEAGUE EARLY LEARNING ACADEMY,TT OF NYC LLC,776 AVENUE OF THE AMERICAS,MANHATTAN,10001,212-683-5545,56598,2016-02-04,Permitted,2 YEARS - 5 YEARS,165,No,Private,6,2,3,1,2,3.0,6.5,1873,Bottom 30%,1978,Bottom 15%,40.7448595,-73.9910143
DC25254,IVY LEAGUE EARLY LEARNING ACADEMY,"TT OF NYC, LLC",776 AVENUE OF THE AMERICAS,MANHATTAN,10001,212-683-5545,56637,2016-02-04,Permitted,0 YEARS - 2 YEARS,81,No,Private,0,0,0,0,2,0.0,0.0,60,Top 5%,239,Top 5%,40.7448595,-73.9910143
DC20976,IVY LEAGUE EARLY LEARNING ACADEMY/ INFANT/ TODDLER,"GABECO INDUSTRIES, INC.",1779 RICHMOND AVENUE,STATEN ISLAND,10314,718-982-0202,8157,2016-04-20,Permitted,0 YEARS - 2 YEARS,36,No,Private,6,1,3,2,5,1.2,2.2,1014,Average,1017,Average,40.6048781,-74.1619703
DC14805,J & J ACADEMY,J & J ACADEMY INCORPORATED,55 WYONA AVENUE,STATEN ISLAND,10314,718-698-0280,7644,2014-09-19,Permitted,2 YEARS - 5 YEARS,43,No,Private,6,2,3,1,3,2.0,4.33333,1512,Bottom 30%,1638,Bottom 30%,40.610466,-74.149091
DC14468,J P MORGAN CHASE BACK-UP CENTER - MIDTOWN,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",18 EAST 48TH STREET,MANHATTAN,10017,212-644-3206,6866,2014-07-16,Expired-InRenewal,2 YEARS - 5 YEARS,24,No,Corporate,7,1,2,4,4,1.75,2.75,1340,Bottom 30%,1225,Average,40.756576,-73.977032
DC3135,J'C'S DAYCARE/ DAY WATCH,DAYWATCH DAY CARE INC.,20 SAINT JOHNS ROAD,QUEENS,11385,718-381-3777,7101,2015-03-11,Permitted,2 YEARS - 5 YEARS,36,No,Private,9,2,6,1,6,1.5,3.16667,1202,Average,1347,Bottom 30%,40.70658700000001,-73.90755899999999
DC14236,"J.A.D.E. MULTI  FAMILY CIRCLE CENTER,  INC.","J.A.D.E. MULTI FAMILY CIRCLE CENTER,INC.",3471 FENTON AVENUE,BRONX,10469,718-655-5361,5232,2015-10-09,Permitted,2 YEARS - 5 YEARS,38,No,Private,40,9,17,14,12,3.33333,6.25,1951,Bottom 15%,1952,Bottom 15%,40.877757,-73.8489819
DC14165,J.P. MORGAN CHASE BACK UP CHILD CARE CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, LLC. P.S.",3 METROTECH CENTER,BROOKLYN,11201,718-242-1816,6039,2015-04-24,Permitted,2 YEARS - 5 YEARS,20,No,Private,27,5,9,13,6,4.5,7.66667,2112,Bottom 5%,2075,Bottom 5%,40.6935774,-73.98479499999999
DC2015,J.P. MORGAN CHASE BACK-UP CHILD CARE CENTER (I/T),"BRIGHT HORIZONS CHILDREN'S CENTER, LLC. I/T",3 METROTECH,BROOKLYN,11201,718-242-1816,6037,2015-04-24,Permitted,0 YEARS - 2 YEARS,18,No,Private,10,3,2,5,6,1.66667,3.0,1324,Average,1323,Average,40.6935774,-73.98479499999999
DC2867,JACK & JILL NURSERY SCHOOL II,"LYNBO,INC.",68-05 FRESH MEADOW LANE,QUEENS,11365,718-939-8687,6519,2016-02-22,Permitted,2 YEARS - 5 YEARS,55,No,Private,3,0,3,0,4,0.75,1.5,681,Average,731,Average,40.7333659,-73.7945621
DC2652,JACK AND JILL AT  ST GEORGE,JACK AND JILL AT ST. GEORGE,209 EAST 16 STREET,MANHATTAN,10003,212-475-0855,5089,2014-11-01,Permitted,2 YEARS - 5 YEARS,40,No,Private,13,0,9,4,4,3.25,5.5,1925,Bottom 15%,1863,Bottom 15%,40.7343871,-73.98503459999999
DC10479,JACK AND JILL NURSERY SCHOOL,EVBO INC.,43-23 COLDEN STREET,QUEENS,11355,718-762-1218,4506,2015-05-13,Permitted,2 YEARS - 5 YEARS,132,No,Private,0,0,0,0,4,0.0,0.0,179,Top 5%,192,Top 5%,40.7526176,-73.82506
DC1536,JACKSON DEVELOPEMENT CHILDREN'S SERVICES,JACKSON DEVELOPMENT CHILDREN'S SERVICES,36-02 14 STREET,QUEENS,11106,718-392-2510,7186,2015-12-17,Permitted,2 YEARS - 5 YEARS,165,No,Private,7,2,3,2,6,1.16667,2.33333,994,Average,1100,Average,40.75998999999999,-73.93794299999999
DC2128,JACKSON DEVELOPMENT  & CHILDREN'S SERVICES,JACKSON CHILD DEVELOPMENT CENTER,31-36 88 STREET,QUEENS,11369,718-205-1919,6093,2016-02-04,Permitted,2 YEARS - 5 YEARS,109,No,Private,6,1,3,2,4,1.5,2.75,1199,Average,1222,Average,40.758617,-73.8802547
DC3133,JACKSON HEIGHTS EARLY LEARNING CENTER,JACKSON HEIGHTS EARLY LEARNING CENTER,33-50 82 STREET,QUEENS,11372,718-310-0910,6599,2015-01-10,Permitted,2 YEARS - 5 YEARS,29,No,Private,0,0,0,0,5,0.0,0.0,152,Top 5%,193,Top 5%,40.7541111,-73.8851044
DC22227,JACKSON HEIGHTS EARLY LEARNING CENTER-OZONE PARK,JACKSON HEIGHTS EARLY LEARNING CENTER-OZONE PARK,81-05 101 AVENUE,QUEENS,11416,646-413-7521,8368,2015-08-31,Permitted,2 YEARS - 5 YEARS,25,No,Private,6,1,3,2,5,1.2,2.2,1016,Average,1020,Average,40.681145,-73.857755
DC17412,"JACKSON HEIGHTS ELC ANNEX, INC.","JACKSON HEIGHTS EARLY LEARNING CENTER ANNEX,INC",79-10 34TH AVENUE,QUEENS,11372,718-779-5437,7827,2016-01-11,Permitted,2 YEARS - 5 YEARS,20,No,Private,2,0,2,0,7,0.285714,0.571429,370,Top 30%,415,Top 30%,40.7534464,-73.8873385
DC18442,JADS  CHILDREN CENTER INC.,JADS CHILDREN CENTER INC.,2403 GRAND CONCOURSE,BRONX,10468,860-898-0180,8042,2015-06-29,Permitted,2 YEARS - 5 YEARS,75,Yes,Private,8,1,4,3,5,1.6,2.8,1270,Average,1235,Average,40.8603366,-73.89870549999999
DC19345,JADS CHILDREN   CENTER  INC.,JADS CHILDREN CENTER INC.,2403 GRAND CONCOURSE,BRONX,10468,860-898-0180,7981,2015-06-29,Permitted,0 YEARS - 2 YEARS,28,Yes,Private,10,1,6,3,5,2.0,3.6,1513,Bottom 30%,1468,Bottom 30%,40.8603366,-73.89870549999999
DC2822,JAMAICA KIDS INFANT/TODDLER,IMAGINE EARLY LEARNING CENTER AT JAMAICA KIDS INFANT/TODDLER,1 JAMAICA CENTER PLAZA,QUEENS,11432,718-557-5520,6809,2015-10-03,Permitted,0 YEARS - 2 YEARS,28,No,Private,1,0,0,1,6,0.166667,0.166667,259,Top 15%,244,Top 15%,40.7154518,-73.7919103
DC23222,JAMAICA N.A.A.C.P.,"B'ABOVE WORLDWIDE INSTITUTE, INC.",189-26 LINDEN BLVD.,QUEENS,11412,718-978-0400,25558,2014-10-18,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,1,0,1,0,3,0.333333,0.666667,437,Top 30%,440,Top 30%,40.6918419,-73.7616163
DC2251,JAMAICA SDA/BUSY BEE LEARNING CENTER,JAMAICA SDA CHURCH,88-28 163 STREET,QUEENS,11432,718-297-3491,5821,2015-06-13,Permitted,2 YEARS - 5 YEARS,75,No,Private,0,0,0,0,5,0.0,0.0,187,Top 5%,199,Top 5%,40.7061415,-73.7977121
DC16862,JCP  EARLY CHILDHOOD CENTER,"JEWISH COMMUNITY PROJECT OF LOWER MANHATTAN NURSERY SCHOOL, INC.",146 DUANE STREET,MANHATTAN,10013,212-334-3533,7836,2015-11-19,Permitted,2 YEARS - 5 YEARS,124,Yes,Private,7,0,6,1,3,2.33333,4.33333,1643,Bottom 30%,1653,Bottom 30%,40.716168,-74.008106
DC24708,JEROME HARDEMAN EARLY CHILDHOOD EDUCATION CENTER,"SCO FAMILY OF SERVICES, INC.",29-49 GILLMORE STREET,QUEENS,11369,718-779-1660,24177,2014-10-05,Permitted,2 YEARS - 5 YEARS,63,No,ACS Contracted Preschools,1,0,1,0,3,0.333333,0.666667,434,Top 30%,445,Top 30%,40.761405,-73.8642239
DC1357,JEWISH CHILD CARE ASSOC.,J.C.C.A. FOREST HILLS DAY CARE CENTER,108-05 68 ROAD,QUEENS,11375,718-263-5730,4940,2015-05-16,Permitted,2 YEARS - 5 YEARS,51,No,Private,0,0,0,0,4,0.0,0.0,167,Top 5%,205,Top 5%,40.7265469,-73.845978
DC14946,JEWISH COMMUNITY  CENTER OF STATEN ISLAND,"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",1466 MANOR ROAD,STATEN ISLAND,10314,718-475-5230,7711,2015-02-05,Permitted,2 YEARS - 5 YEARS,140,No,Private,1,0,0,1,5,0.2,0.2,270,Top 15%,250,Top 15%,40.59479899999999,-74.1263681
DC1464,JEWISH COMMUNITY CENTER OF STATEN ISLAND,"JEWISH COMMUNITY CENTER OF STATEN ISLAND,INCORPORATED",1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5270,5224,2014-09-10,Permitted,2 YEARS - 5 YEARS,94,No,Private,12,4,5,3,5,2.4,5.0,1675,Bottom 30%,1771,Bottom 30%,40.5656626,-74.1835775
DC1216,JEWISH COMMUNITY CENTER OF STATEN ISLAND,JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED,485 VICTORY BOULEVARD,STATEN ISLAND,10301,718-475-5290,3058,2014-07-20,Expired-InRenewal,2 YEARS - 5 YEARS,112,No,Private,4,0,2,2,4,1.0,1.5,791,Average,734,Average,40.630661,-74.08887200000001
DC17068,JEWISH COMMUNITY CENTER OF STATEN ISLAND I/T,"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",1466 MANOR ROAD,STATEN ISLAND,10314,718-475-5230,7710,2015-02-05,Permitted,0 YEARS - 2 YEARS,18,No,Private,5,0,3,2,4,1.25,2.0,1043,Average,906,Average,40.59479899999999,-74.1263681
