Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC3136,12/10/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC3136,12/10/2013,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC21326,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21327,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2276,04/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14928,01/17/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17506,01/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2399,02/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3143,11/20/2013,At time of inspection diaper changing counter not properly constructed. Diaper changing area observed not to be adjacent to a hand wash sink with adequate hot and cold running water.,CRITICAL,47.43 (h)(1)+,CORRECTED
DC3143,11/20/2013,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC19324,03/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14400,05/02/2014,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC25058,01/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18583,01/22/2014,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.,CRITICAL,47.57 (d),CORRECTED
DC20236,01/22/2014,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.,CRITICAL,47.57 (d),CORRECTED
DC22387,02/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22388,05/08/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC16691,01/29/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC16691,01/29/2014,At the time child care service was providing care it has been determined that the child care service failed to limit areas used by children to their exclusive use. Unauthorized children and/or adults allowed to inhabit child care service facilities during child care hours.,CRITICAL,47.39 (a),CORRECTED
DC16691,01/29/2014,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC16691,01/29/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC16691,01/29/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC19621,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20271,03/11/2014,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,
DC21366,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21367,01/28/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC14106,05/08/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC12280,12/10/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC1168,11/25/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14602,04/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC320,03/06/2014,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),CORRECTED
DC320,03/06/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC320,03/06/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC320,03/06/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC2923,01/16/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC2923,01/16/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC21234,06/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15225,01/17/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18116,04/10/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC18116,04/10/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC308,03/25/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC308,03/25/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC308,03/25/2014,Milk observed stored at a temperature above 41 deg. F at time of inspection. Milk observed stored in child care service beyond the expiration date.,PUBLIC HEALTH HAZARD,47.61 (d)*,CORRECTED
DC21934,03/10/2014,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),
DC21934,03/10/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC21934,03/10/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC21934,03/10/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC22429,05/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22401,05/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11749,12/04/2013,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC229,01/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21601,11/19/2013,Criminal and child abuse screening documentation not submitted during application process.,CRITICAL,47.07 (c),CORRECTED
DC21601,11/19/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC21601,11/19/2013,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC21606,10/23/2013,Child care service failed to designate/identify a qualified Education Director.,CRITICAL,47.13 (c),CORRECTED
DC21606,10/23/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC21606,10/23/2013,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC21606,10/23/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC21606,10/23/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC21606,10/23/2013,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC11765,02/26/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC25239,05/23/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2684,02/07/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22936,04/02/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC11780,12/13/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1983,11/14/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC22832,05/02/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC22832,05/02/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC22832,05/02/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC401,03/06/2014,Required smoke and carbon monoxide detectors not provided or maintained at time of inspection.,CRITICAL,47.59 (g),CORRECTED
DC22602,02/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20798,03/05/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21856,04/04/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),
DC1157,03/10/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14141,04/25/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC14141,04/25/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC14141,04/25/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC18357,02/19/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2022,05/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15136,02/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10763,10/31/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC981,02/28/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),
DC817,04/09/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC188,02/20/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC93,03/28/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC336,02/11/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20108,05/28/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),
DC21654,05/28/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),
DC14097,04/08/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17886,04/08/2014,Child care service failed to designate/identify a qualified Education Director.,CRITICAL,47.13 (c),
DC25981,03/18/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC23155,03/19/2014,"Food served is determined not to be from an approved source or in compliance with federal, state and/or local requirements at time of inspection.",PUBLIC HEALTH HAZARD,81.07 (i)*,CORRECTED
DC2982,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC12281,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2087,02/26/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC2087,02/26/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2087,02/26/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC18398,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19001,04/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20647,03/26/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21774,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21893,05/06/2014,Child care service failed to designate/identify a qualified Education Director.,CRITICAL,47.13 (c),CORRECTED
DC21893,05/06/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC21893,05/06/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC21893,05/06/2014,At time of inspection it was determined that child care service Educational Director failed to arrange and verify in-service training for staff; documentation not maintained or not available.,GENERAL,47.37 (a),CORRECTED
DC1675,03/27/2014,Individual certified in food protection not on site during periods of food preparation.,CRITICAL,81.15 (a),CORRECTED
DC14250,02/20/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC14250,02/20/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC14250,02/20/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC14357,12/09/2013,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.,CRITICAL,47.43 (b)+,CORRECTED
DC14357,12/09/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14357,12/09/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC2406,04/03/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC2406,04/03/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),
DC3059,02/04/2014,At the time of inspection child care service was observed providing hair brushes and cloth towels for use by children.,GENERAL,47.35 (c),CORRECTED
DC3059,02/04/2014,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC3059,02/04/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC3059,02/04/2014,At time of inspection it was observed in the child care service that a bathroom/closet or other enclosed space has a locking mechanism solely operable from inside the space.,CRITICAL,47.41 (i)+,CORRECTED
DC3059,02/04/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC3059,02/04/2014,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.,CRITICAL,47.43 (b)+,CORRECTED
DC3059,02/04/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC3059,02/04/2014,Adequate plumbing not provided or maintained at time of inspection.,GENERAL,81.21 (a),CORRECTED
DC2261,03/21/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC2261,03/21/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC1294,05/12/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC1294,05/12/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC1294,05/12/2014,Child care service fails to provide/maintain fire alarm when required.,PUBLIC HEALTH HAZARD,47.59 (c)+*,
DC1294,05/12/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC10735,05/19/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22799,05/19/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3044,05/16/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC3044,05/16/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14239,11/13/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1153,05/08/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14770,01/27/2014,At time of inspection it was determined that child care service fails to provide adequate supervision of children during transport.,CRITICAL,47.65 (b),CORRECTED
DC14770,01/27/2014,At time of inspection it was determined that child care services allows children to be transported for periods longer than one hour.,GENERAL,47.65 (e),CORRECTED
DC14770,01/27/2014,Parental consent for transportation of child not provided or maintained at time of inspection.,GENERAL,47.65 (f),CORRECTED
DC1449,05/21/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1128,01/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC235,12/03/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20556,03/27/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC14376,12/27/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1296,12/18/2013,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC1296,12/18/2013,Peeling lead-based paint or peeling paint of unknown lead content observed in child care facility at time of inspection. At time of inspection it was determined that safe work practices were not employed during activity that potentially disturbed lead-based paint or paint of unknown lead content.,PUBLIC HEALTH HAZARD,47.63 (a)*,CORRECTED
DC21013,12/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14309,10/23/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22736,01/14/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC22736,01/14/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC1835,11/22/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC77,01/17/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC12236,01/08/2014,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),CORRECTED
DC17699,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22073,05/12/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC22073,05/12/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC22073,05/12/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),
DC22073,05/12/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),
DC22073,05/12/2014,"At time of inspection children's medical files were not provided, were incomplete or were not maintained.",GENERAL,47.25 (d),
DC22073,05/12/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC22073,05/12/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC974,12/16/2013,Number of children in attendance exceeds approved maximum child capacity.,PUBLIC HEALTH HAZARD,47.05 (b)*,CORRECTED
DC974,12/16/2013,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.,CRITICAL,47.43 (b)+,CORRECTED
DC974,12/16/2013,Proper ventilation not provided or maintained at time of inspection. Indoor air quality nuisance allowed to exist at time of inspection.,CRITICAL,47.45 (a)+,CORRECTED
DC974,12/16/2013,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC974,12/16/2013,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC19408,03/12/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),CORRECTED
DC19408,03/12/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC19408,03/12/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC19408,03/12/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC19408,03/12/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC19408,03/12/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC19408,03/12/2014,Child care service Assistant Teacher staff have failed to take required 15 hours of training every 24 months.,GENERAL,47.37(d),CORRECTED
DC19408,03/12/2014,Appropriate child activity not provided by child care service; unacceptable forms of discipline utilized by staff of child care service.,CRITICAL,47.67 (a),CORRECTED
DC25357,04/03/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),
DC25357,04/03/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC25357,04/03/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC22737,01/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24545,03/07/2014,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),CORRECTED
DC24545,03/07/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),CORRECTED
DC24545,03/07/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC24545,03/07/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC24545,03/07/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC24545,03/07/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC21573,05/14/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC21573,05/14/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC17585,05/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC19178,05/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC23147,04/16/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10702,05/20/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,
DC19370,04/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20339,02/20/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC20339,02/20/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC16871,12/17/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC21525,02/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1354,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2127,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC25290,03/19/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC25611,02/10/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC12375,03/31/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC14178,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1115,01/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2429,03/31/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC2298,03/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2313,11/25/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC2313,11/25/2013,Adulterated food observed being served. Food contact surfaces observed not manufactured as required. Food is not protected from cross contamination at time of inspection.,PUBLIC HEALTH HAZARD,81.07 (a)*,CORRECTED
DC2313,11/25/2013,Food packages observed not maintained. Food observed exposed to spoilage/contamination at time of inspection. Food observed being served that is not suitable for consumption.,CRITICAL,81.07 (b),CORRECTED
DC2313,11/25/2013,Child care service fails to provide adequate ventilation in food prep area. Indoor air quality nuisance allowed to exist in food prep area.,GENERAL,81.19 (c),CORRECTED
DC2313,11/25/2013,Appropriate methods to maintain food prep area free of pests was not provided or maintained at time of inspection.,GENERAL,81.23 (c),CORRECTED
DC2313,11/25/2013,Hand wash sink not provided in food prep area. Hand wash sink observed not maintained at time of inspection.,CRITICAL,81.29 (c)+,CORRECTED
DC21038,12/12/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21769,12/12/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11063,12/05/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC11063,12/05/2013,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC2262,01/10/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15215,03/25/2014,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC15215,03/25/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC15215,03/25/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC2640,12/05/2013,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),CORRECTED
DC2640,12/05/2013,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC2640,12/05/2013,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC24638,10/31/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC24638,10/31/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC24638,10/31/2013,Appropriate sanitary receptacle and disinfectant not provided in diaper changing area at time of inspection.,GENERAL,47.43 (h)(3),CORRECTED
