Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type
DC24598,MID BRONX C C R P EARLY CHILDHOOD CENTER,"MID BRONX C C R P EARLY CHILDHOOD CENTER, INC.",1360 OGDEN AVENUE,BRONX,10452,917-962-9384,26318,10/25/2014,Permitted,2 YEARS - 5 YEARS,50,No,ACS Contracted Preschools
DC23087,MID BRONX CCRP EARLY CHILDHOOD CENTER,"MID BRONX CCRP EARLY CHILDHOOD CENTER, INC.",100-120 EAST MOUNT EDEN AVENUE,BRONX,10452,718-583-9664,26277,10/25/2014,Permitted,2 YEARS - 5 YEARS,220,No,ACS Contracted Preschools
DC316,MID-BRONX C C R P HEAD START,"MID-BRONX C C R P EARLY CHILDHOOD CENTER, INC.",1125 GRAND CONCOURSE,BRONX,10452,718-590-7014,6058,08/10/2015,Permitted,2 YEARS - 5 YEARS,261,No,ACS Contracted Preschools
DC2756,MIDDLETON'S EARLY LEARNING CENTER,MIDDLETON'S EARLY LEARNING CENTER,226-02 MERRICK BOULEVARD,QUEENS,11413,718-949-9890,7271,07/07/2014,Permitted,2 YEARS - 5 YEARS,94,No,Private
DC1715,MIDWOOD MONTESSORI,MIDWOOD MONTESSORI INC.,2825 BEDFORD AVENUE,BROOKLYN,11210,718-253-3242,4915,07/18/2015,Permitted,2 YEARS - 5 YEARS,69,No,Private
DC14469,MILESTONE SCHOOL FOR CHILD DEVELOPMENT,"MILESTONE SCHOOL FOR CHILD DEVELOPMENT, INC.",15 HANOVER PLACE,BROOKLYN,11201,347-916-0333,6528,09/20/2015,Permitted,2 YEARS - 5 YEARS,138,Yes,Private
DC22143,MILLER EVANGELICAL CHRISTIAN LEARNING ACADEMY,MILLER EVANGELICAL CHRISTIAN UNION CHURCH OF THE CHURCHES OF CHRIST IN THE CHRISTIAN UNION,1110 PRESIDENT STREET,BROOKLYN,11225,718-363-7160,52297,09/19/2015,Permitted,2 YEARS - 5 YEARS,37,No,Private
DC21737,MINI MIRACLES CORP,"MINI MIRACLES, CORP.",1708 FLATBUSH AVENUE,BROOKLYN,11210,718-676-5377,8597,11/18/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private
DC11943,MINI WORLD PRESCHOOL,DEBRA ERCOLE,7516 AMBOY ROAD,STATEN ISLAND,10307,718-948-9535,6793,01/19/2016,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC17551,MINIVENTURES OF N Y,"MINIVENTURES OF N Y, INC.",433 EAST 148TH STREET,BRONX,10455,917-645-5214,7833,02/23/2016,Permitted,0 YEARS - 2 YEARS,20,No,Private
DC15655,MINIVENTURES OF NEW YORK,"MINIVENTURES OF NEW YORK, INC.",433 EAST 148TH STREET,BRONX,10455,917-645-5214,7697,01/10/2015,Permitted,2 YEARS - 5 YEARS,84,No,Private
DC21713,"MINIVENTURES OF NY, INC.","MINIVENTURES OF NY, INC.",67-52 79 STREET,QUEENS,11379,718-326-4500,8283,03/15/2015,Permitted,0 YEARS - 2 YEARS,17,No,Private
DC20847,"MINIVENTURES OF NY, INC.","MINIVENTURES OF NY,INC",67-52 79TH STREET,QUEENS,11379,718-326-4500,8335,10/06/2014,Permitted,2 YEARS - 5 YEARS,34,No,Private
DC11727,MISS D' PLAYGROUP,MISS D'S PLAYGROUP DAY CARE,15-26 CENTRAL AVENUE,QUEENS,11691,718-327-3767,7044,09/09/2015,Permitted,2 YEARS - 5 YEARS,64,No,Private
DC1824,MISS FRANCINE DAY SCHOOL I I,LLOYD STRUVER,2169 GRAND CONCOURSE,BRONX,10453,718-295-3100,5399,06/28/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private
DC16048,MOMMY DAYCARE,"MOMMY DAYCARE, LLC",891 AVENUE Z,BROOKLYN,11235,718-339-5777,8263,02/07/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC10905,MONA PREP DAY CARE CENTER INC.,MONA PREP DAY CARE CENTER INC.,241-15 NORTH CONDUIT AVENUE,QUEENS,11422,718-525-8555,7081,01/26/2015,Permitted,2 YEARS - 5 YEARS,88,No,Private
DC2041,MONSIGNOR BOYLE HEAD START,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESES OF NEW YORK,3044 HULL AVENUE,BRONX,10467,718-405-7844,7254,06/16/2014,Expired-InRenewal,2 YEARS - 5 YEARS,220,No,ACS Contracted Preschools
DC2989,MONTCLARE CHILDREN'S SCHOOL LLC,MONTCLARE CHILDREN'S SCHOOL LLC,747 AMSTERDAM AVENUE,MANHATTAN,10025,212-865-4020,6953,04/18/2016,Permitted,2 YEARS - 5 YEARS,172,No,Private
DC20603,MONTESSORI DAY SCHOOL OF BROOKLYN,"BROOKLYN MONTESSORI, LTD.",237 PARK PLACE,BROOKLYN,11238,718-398-2322,8210,09/09/2014,Permitted,2 YEARS - 5 YEARS,109,No,Private
DC10897,MONTESSORI PROGRESSIVE LEARNING CENTER,MONTESSORI PROGRESSIVE LEARNING CENTER INC,195-05 LINDEN BOULEVARD,QUEENS,11412,718-723-3967,7019,05/07/2016,Permitted,2 YEARS - 5 YEARS,155,No,Private
DC16724,MONTESSORI SCHOOL OF MANHATTAN,"WEGWEISER & WEGWEISER, LLC",2 GOLD ST.,MANHATTAN,10038,212-742-2830,7796,08/30/2015,Permitted,2 YEARS - 5 YEARS,133,Yes,Private
DC11957,MONTESSORI SCHOOL OF MANHATTAN,"MONTESSORI SCHOOL OF MANHATTAN,LLC",53 BEACH STREET,MANHATTAN,10013,212-334-0400,7607,05/06/2014,Expired-InRenewal,2 YEARS - 5 YEARS,133,Yes,Private
DC2106,MONTGOMERY ACADEMY,"414 UTICA AVENUE,INC",414 UTICA AVENUE,BROOKLYN,11213,718-493-4774,7108,06/01/2014,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private
DC24573,MORNING STAR PRESCHOOL,"MORNING STAR PRESCHOOL, INC.",47-24 BELL BLVD,QUEENS,11361,718-229-0206,41097,05/22/2015,Permitted,2 YEARS - 5 YEARS,32,No,Private
DC1305,MORNINGSIDE DAY CARE,EPISCOPAL SOCIAL SERVICES,2967 FREDERICK DOUGLAS BLVD,MANHATTAN,10039,212-281-4142,6678,04/30/2014,Expired-InRenewal,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools
DC11199,MORNINGSIDE MONTESSORI SCHOOL,MORNINGSIDE MONTESSORI SCHOOL,251 WEST 100 STREET,MANHATTAN,10025,212-316-1555,7509,06/02/2015,Permitted,2 YEARS - 5 YEARS,59,Yes,Private
DC345,MORRIS L. EISENSTEIN LEARNING CENTER,UNITED COMMUNITY CENTERS INC.,613 NEW LOTS AVENUE,BROOKLYN,11207,718-385-1201,5109,11/08/2015,Permitted,2 YEARS - 5 YEARS,97,Yes,ACS Contracted Preschools
DC25293,MOSDOTH BERESHITH,"MOSDOTH BERESHITH, INC.",1257 EAST 18TH STREET,BROOKLYN,11230,718-233-2946,56638,02/04/2016,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC25355,MOSHOLU MONTEFIORE CHILD DEVELOPMENT CENTER,MOSHOLU MONTEFIORE COMMUNITY CENTER INC,3880 SEDGWICK AVENUE,BRONX,10463,718-654-0563,51457,09/03/2015,Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools
DC15570,MOSHOLU MONTEFIORE COMMUNITY CENTER - NORTHSIDE ANNEX,"MOSHOLU MONTEFIORE COMMUNITY CENTER, INC.",3512 DEKALB AVENUE,BRONX,10467,718-405-0020,7492,11/28/2015,Permitted,2 YEARS - 5 YEARS,83,No,Head Start (Direct Fed. Funding)
DC17352,MOST TERRIFIC CHILD,"MOST TERRIFIC CHILD, INC",555 TOMPKINS AVENUE,STATEN ISLAND,10305,718-273-0334,8067,09/03/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC705,MOTHER LOVE,MOTHER LOVE INC.,1681 49 STREET,BROOKLYN,11204,718-853-1408,7014,03/14/2016,Permitted,2 YEARS - 5 YEARS,66,No,Private
DC20639,MOTHER'S CARE DAY CARE,"MOTHER'S CARE DAY CARE,INC.",955 NOSTRAND AVENUE,BROOKLYN,11225,347-260-6518,8167,05/26/2014,Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private
DC25020,MOVING UP CHILDREN CENTER,MOVING UP CHILDREN CENTER INC.,40-69 94 STREET,QUEENS,11373,718-803-9788,36518,04/04/2015,Permitted,2 YEARS - 5 YEARS,101,No,Private
DC24546,MOZARTS AND EINSTEINS,"NYC MUSIC AND DANCE, LLC",910 UNION STREET,BROOKLYN,11215,347-227-8500,51298,08/29/2015,Permitted,2 YEARS - 5 YEARS,60,No,Private
DC1614,MS. ELENA'S SUNSHINE EARLY LEARNING CENTER,MS. ELENA'S SUNSHINE EARLY LEARNING CENTER INC.,3075 BAISLEY AVENUE,BRONX,10461,718-863-6470,4806,09/30/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC26005,MSGR. ANDREW LANDI EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",21-20 35 AVENUE,QUEENS,11106,718-806-1598,52537,09/27/2015,Permitted,2 YEARS - 5 YEARS,52,No,Private
DC12267,MSKCC CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",475 MAIN STREET,MANHATTAN,10044,212-224-0129,7636,09/26/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC2377,MT.OLIVET CHRISTIAN SCHOOL.,MT. OLIVET CHRISTIAN SCHOOL,33-25 97 STREET,QUEENS,11368,718-478-0780,4859,08/26/2015,Permitted,2 YEARS - 5 YEARS,44,No,Private
DC2083,MUNCHKIN LAND LTD,MUNCHKIN LAND LTD.,4712 AVENUE N,BROOKLYN,11234,718-338-3820,5939,11/15/2014,Permitted,2 YEARS - 5 YEARS,19,No,Private
DC15162,MUSHROOM  HOUSE,MUSHROOM  HOUSE LLC,38-00 DITMARS BLVD.,QUEENS,11105,718-606-6161,7934,09/10/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private
DC23045,MY LITTLE FOOTPRINTS DAY CARE,MY LITTLE FOOTPRINTS DAY CARE CORP.,28-34 38 STREET,QUEENS,11103,718-626-2201,26097,10/23/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC21561,MY LITTLE LANGUAGE SCHOOL,"MY LITTLE LANGUAGE SCHOOL, MI PEQUENA ESCUELITA, INC.",225  WEST 99TH STREET,MANHATTAN,10025,646-389-7552,8374,08/30/2015,Permitted,2 YEARS - 5 YEARS,42,No,Private
DC23082,MY LITTLE SCHOOL,"CHABAD OF TRIBECA, INC.",291 BROADWAY (ENTRANCE 54 READE STREET),MANHATTAN,10007,212-566-6764,27317,11/15/2014,Permitted,2 YEARS - 5 YEARS,24,No,Private
DC11961,MY LITTLE VILLAGE,"JEFF, KARL AND AMY, INC.",33 AVENUE A,MANHATTAN,10009,212-253-2430,7494,08/29/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private
DC24704,MYRTLE P. JARMON ECEC,"CLIFFORD GLOVER DAY CARE CENTER, INC",116-55 GUY R. BREWER BLVD.,QUEENS,11434,718-528-0922,32098,02/05/2015,Permitted,2 YEARS - 5 YEARS,55,No,ACS Head Start
DC14297,"NASRY MICHELEN DAY CARE CENTER, INC.","NASRY MICHELEN DAY CARE CENTER, INC.",510 WEST 145 STREET,MANHATTAN,10031,212-690-3290,4907,08/11/2015,Permitted,2 YEARS - 5 YEARS,85,No,ACS Contracted Preschools
DC347,NAT AZAROW CHILDREN'S CENTER,BROOKLYN KINDERGARTEN SOCIETY,232 POWELL STREET,BROOKLYN,11212,718-346-0924,2252,12/01/2014,Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools
DC24803,NATIONAL ASSOCIATION OF FAMILY SERVICE,"NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS, INC.",2960 WEST 27 STREET,BROOKLYN,11224,917-821-5714,25158,10/16/2014,Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools
DC398,NAYEMA UNIVERSAL CHILD CARE CENTER INC.,NAYEMA UNIVERSAL CHILD CARE CENTER INC.,1107-09 NEWKIRK AVENUE,BROOKLYN,11230,718-462-3688,6665,04/13/2015,Permitted,2 YEARS - 5 YEARS,18,No,Private
DC12247,NAZARETH EARLY CHILDHOOD CENTER,BIRCH FAMILY SERVICES INC.,475 EAST 57 STREET,BROOKLYN,11203,718-451-5213,6460,01/14/2016,Permitted,2 YEARS - 5 YEARS,104,No,Private
DC3003,NAZARETH NURSERY,NAZARETH NURSERY,214-16 WEST 15 STREET,MANHATTAN,10011,212-243-1881,1955,05/12/2015,Permitted,2 YEARS - 5 YEARS,55,No,Private
DC751,NELRAK CHILD DEVELOPMENT CENTER-INFANT/TODDLER,"NELRAK CHILD DEVELOPMENT CENTER, INC.",1057 FULTON STREET,BROOKLYN,11238,718-230-0011,6553,02/01/2016,Permitted,0 YEARS - 2 YEARS,26,No,Private
DC14778,NELRAK CHILD DEVELOPMENT CENTER-PRESCHOOL,"NELRAK CHILD DEVELOPMENT CENTER, INC.",1057 FULTON STREET,BROOKLYN,11238,718-230-0011,6363,11/10/2014,Permitted,2 YEARS - 5 YEARS,57,No,Private
DC10457,NESHAMA PRESCHOOL,CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.,2997 OCEAN PARKWAY,BROOKLYN,11235,718-946-9833,7346,09/14/2014,Permitted,2 YEARS - 5 YEARS,22,No,Private
DC14900,NEW AGE DAY CARE CENTER,"NEW AGE DAY CARE, INC.",538 JAMAICA AVENUE,BROOKLYN,11208,718-277-3434,7846,11/28/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC21142,NEW AMSTERDAM EARLY CHILDHOOD CENTER,FRIENDS OF THE NEW AMSTERDAM SCHOOL INC.,1 AVENUE B,MANHATTAN,10009,212-982-1400,8327,09/27/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private
DC11147,"NEW DEAL DAY CARE AND LEARNING CENTER, INC.",NEW DEAL DAY CARE AND LEARNING CENTER,172-12 JAMAICA AVENUE,QUEENS,11432,718-739-2177,6935,11/04/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC25418,NEW DISCOVERIES DAY CARE CENTER,SOPHIA LUGO,803 EAST 163RD STREET,BRONX,10456,718-542-2100,54457,11/25/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private
DC14369,NEW GENERATION ACADEMY,IDEAL DAY CARE CENTER INC.,4701 AVENUE J,BROOKLYN,11234,718-252-0160,7051,10/17/2014,Permitted,2 YEARS - 5 YEARS,59,No,Private
DC10862,"NEW GENERATIONS LEARNING CENTER, INC.","NEW GENERATIONS LEARNING CENTER,INC.",2597 BEDFORD AVENUE,BROOKLYN,11226,718-941-0404,7306,11/13/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private
DC1789,NEW GRACE CENTER,"NEW GRACE CENTER,INC.",650 LIVONIA AVENUE,BROOKLYN,11207,718-498-7175,4937,11/20/2014,Permitted,2 YEARS - 5 YEARS,95,No,Private
DC18797,"NEW HOPE DAY CARE, INC. (I/T)","NEW HOPE ACADEMY, INC. (I/T)",1481 NOSTRAND AVENUE,BROOKLYN,11226,718-284-5923,7928,09/22/2014,Permitted,0 YEARS - 2 YEARS,8,No,Private
DC18796,"NEW HOPE DAY CARE,INC. (P.S.)",NEW HOPE ACADEMY. INC. (P.S.),1481 NOSTRAND AVENUE,BROOKLYN,11226,718-284-5923,7927,09/23/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC349,NEW LIFE CHILD DEVELOPMENT CENTER INC.,"NEW LIFE CHILD DEVELOPMENT CENTER, INC.",295 WOODBINE STREET,BROOKLYN,11237,718-821-3433,4476,10/21/2015,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools
DC1846,NEW LIFE CHILD DEVELOPMENT CENTER INC.,NEW LIFE CHILD DEVELOPMENT CENTER INC.,406 GROVE STREET,BROOKLYN,11237,718-381-8968,4774,11/01/2015,Permitted,2 YEARS - 5 YEARS,172,No,ACS Head Start
DC2035,"NEW LIFE DAY CARE CENTER, INC.","NEW LIFE DAY CARE CENTER, INC.",406-408 GROVE STREET,BROOKLYN,11237,718-417-4214,5349,04/25/2015,Permitted,2 YEARS - 5 YEARS,89,No,ACS Contracted Preschools
DC911,NEW LIFE HEAD START,"NEW LIFE CHILD DEVELOPMENT CENTER, INC.",1307 GREENE AVENUE,BROOKLYN,11237,718-366-1668,7012,07/26/2014,Permitted,2 YEARS - 5 YEARS,117,No,ACS Head Start
DC17813,NEW LIFE IN CHRIST MINISTRIES,"NEW LIFE IN CHRIST MINISTRIES, INC.",814 MARCY AVENUE,BROOKLYN,11216,718-783-3555,52438,09/24/2015,Permitted,2 YEARS - 5 YEARS,21,No,Private
DC18012,NEW MILESTONE,NEW MILESTONE INC,132-54 POPLE AVENUE,QUEENS,11355,718-539-2068,8125,02/01/2016,Permitted,2 YEARS - 5 YEARS,52,No,Private
DC15588,NEW MILESTONE DAY CARE CENTER,"NEW MILESTONE, INC",158-13 72 AVENUE,QUEENS,11365,718-380-1978,7754,05/13/2015,Permitted,2 YEARS - 5 YEARS,58,No,Private
DC1156,"NEW MILLENIUM DAY SCHOOL, INC.","NEW MILLENIUM DAY SCHOOL, INC.",172-07 JAMAICA AVENUE,QUEENS,11432,347-561-7169,6901,03/24/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC14942,NEW PRIDE DAY CARE CENTER,NEW PRIDE CHILD CARE SERVICES INC.,1636 BROADWAY,BROOKLYN,11207,718-453-0204,7647,10/05/2014,Permitted,2 YEARS - 5 YEARS,27,No,Private
DC2378,NEW WORLD EDUCATIONAL CENTER,NEW WORLD EDUCATIONAL CENTER,137-37 FARMERS BOULEVARD,QUEENS,11434,718-528-8751,4737,11/19/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private
DC23219,NEW WORLD EDUCATIONAL PROGRAM,"B'ABOVE WORLDWIDE INSTITUTE, INC.",137-37 FARMERS BLVD.,QUEENS,11434,718-658-3030,26217,10/24/2014,Permitted,2 YEARS - 5 YEARS,73,No,ACS Contracted Preschools
DC19305,NEW YORK  KIDS CLUB,121 MONTAGUE STREET LLC,182-184 HENRY STREET,BROOKLYN,11201,718-228-0800,19557,07/27/2014,Permitted,2 YEARS - 5 YEARS,60,No,Private
DC25017,NEW YORK CENTER FOR CHILD DEVELOPMENT,"NEW YORK CENTER FOR CHILD DEVELOPMENT, INC.",159  WEST 127TH STREET,MANHATTAN,10027,212-752-7564,54017,01/02/2016,Permitted,2 YEARS - 5 YEARS,86,No,Private
DC21520,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336 ANDREWS AVENUE,BRONX,10468,718-561-5300,8243,12/06/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC18495,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.","NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",1787 MADISON AVENUE,MANHATTAN,10035,212-289-6100,8176,06/14/2014,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private
DC2733,NEW YORK CHILD LEARNING INSTITUTE,AABR:NEW YORK CHILD LEARNING INSTITUTE,14-02 124 STREET,QUEENS,11356,718-445-0752,6130,10/28/2015,Permitted,2 YEARS - 5 YEARS,7,No,Private
DC1985,NEW YORK CHILD RESOURCE CENTER INC.,NEW YORK CHILD RESOURCE CENTER INC.,348 EAST 146TH STREET,BRONX,10451,718-585-0600,7061,12/19/2014,Permitted,2 YEARS - 5 YEARS,17,No,Private
DC24884,NEW YORK CHILD RESOURCE CENTER INC.,NEW YORK CHILD RESOURCE CENTER INC.,706 QUINCY STREET,BROOKLYN,11221,718-443-3440,30518,01/09/2015,Permitted,2 YEARS - 5 YEARS,100,No,Private
DC21678,NEW YORK CREATIVE CHILDCARE,NEW YORK CREATIVE CHILDCARE INC.,5015 6TH AVENUE,BROOKLYN,11220,718-686-0388,8300,05/06/2015,Permitted,2 YEARS - 5 YEARS,54,No,Private
DC22782,NEW YORK KIDS CLUB,"68TH STREET CLUB, LLC",169 AMSTERDAM AVENUE,MANHATTAN,10023,212-721-4100,63838,05/08/2016,Permitted,2 YEARS - 5 YEARS,14,No,Private
DC22781,NEW YORK KIDS CLUB,"67TH STREET CLUB, LLC",219 EAST 67TH STREET,MANHATTAN,10065,212-991-6700,63837,05/08/2016,Permitted,2 YEARS - 5 YEARS,9,No,Private
DC22783,NEW YORK KIDS CLUB,"601 AMSTERDAM AVENUE CLUB, LLC",601 AMSTERDAM AVENUE,MANHATTAN,10024,212-721-4400,65338,05/29/2016,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC17646,NEW YORK LEAGUE FOR EARLY LEARNING CLEARVIEW SCHOOL,NEW YORK LEAGUE FOR EARLY LEARNING,124-06 14TH AVENUE,QUEENS,11356,718-352-0104,7995,02/14/2015,Permitted,2 YEARS - 5 YEARS,100,Yes,Private
DC24702,NEW YORK UNITED DAY CARE,"NEW YORK UNITED DAY CARE, INC.",349 KEAP STREET,BROOKLYN,11211,718-302-4400,29318,12/14/2014,Permitted,2 YEARS - 5 YEARS,45,No,Private
DC3022,NICHOLAS CARDELL DAY CARE CENTER,"NICHOLAS CARDELL DAY CARE CENTER, INC.",84 VERMILYEA AVENUE,MANHATTAN,10034,212-942-6757,3081,03/10/2016,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools
DC20938,NIGHTINGALE DAY CARE CENTER,"NIGHTINGALE DAY CARE CENTER, INC.",462 LENOX RD,BROOKLYN,11203,718-676-1646,20377,08/07/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC346,NO. BX. NATIONAL COUNCIL OF NEGRO WOMEN CHILD DEV. CENTER,"NO. BX. NATIONAL COUNCIL OF NEGRO WOMEN, INC.",4035 WHITE PLAINS ROAD,BRONX,10466,718-231-7100,4669,11/23/2015,Permitted,2 YEARS - 5 YEARS,180,No,ACS Contracted Preschools
DC1192,NOAH'S ARK DAY CARE CENTER,NOAH'S ARK DAY CARE CENTER,120 VERMILYEA AVENUE,MANHATTAN,10034,212-942-4775,7091,05/16/2015,Permitted,2 YEARS - 5 YEARS,32,No,Private
DC14351,"NOAH'S ARK NU GENERATION, DAYCARE, INC.","NOAH'S ARK NU GENERATION DAYCARE, INC",4716 AVENUE N,BROOKLYN,11234,718-253-5950,7338,06/29/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private
DC20098,NOAH'S ARK PROGRESSIVE LEARNING CENTER II,NOAH'S ARK PROGRESSIVE LEARNING CENTER INC,62-48 MT. OLIVET CRESCENT,QUEENS,11379,347-335-0044,8195,09/07/2014,Permitted,2 YEARS - 5 YEARS,60,No,Private
DC2870,NOAH'S ARK PROGRESSIVE LEARNING CENTER INC.,NOAH'S ARK PROGRESSIVE LEARNING CENTER INC.,38-20 BELL BOULEVARD,QUEENS,11361,718-279-4251,6542,12/22/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private
DC25310,NORTH SIDE SCHOOL,NORTH SIDE SCHOOL,84-60 PARSONS BLVD.,QUEENS,11432,718-298-6161,51784,09/10/2015,Permitted,2 YEARS - 5 YEARS,85,No,Private
DC22550,NORTHERN CONVENT AVENUE EARLY CHILDHOOD PROGRAM,MOREAU LMSW CHILDREN & FAMILY SERVICES P.C.,764 ST. NICHOLAS AVENUE,MANHATTAN,10031,212-234-1036,22198,09/07/2014,Permitted,2 YEARS - 5 YEARS,27,Yes,Private
DC18081,NORTHSIDE CENTER  FOR DEVELOPMENT -  HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",302 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7875,03/31/2016,Permitted,2 YEARS - 5 YEARS,63,Yes,Head Start (Direct Fed. Funding)
DC14909,NORTHSIDE CENTER FOR CHILD DEVELOPMENT - ACS HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",302-306 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7575,03/31/2016,Permitted,2 YEARS - 5 YEARS,65,No,ACS Head Start
DC22947,NORTHSIDE CENTER FOR CHILD DEVELOPMENT - BRONX EARLY HEAD START,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",609 EAST 156TH STREET,BRONX,10455,347-926-5400,39977,05/14/2015,Permitted,2 YEARS - 5 YEARS,11,No,Head Start (Direct Fed. Funding)
DC12270,NORTHSIDE CENTER FOR CHILD DEVELOPMENT DAY SCHOOL,NORTHSIDE THERAPEUTIC PRESCHOOL,1301 5 AVENUE,MANHATTAN,10029,212-426-3400,7876,04/11/2016,Permitted,2 YEARS - 5 YEARS,68,Yes,Private
DC14910,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.- EARLY HEAD START",NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC.,302-306 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7576,04/04/2015,Permitted,0 YEARS - 2 YEARS,20,Yes,Head Start (Direct Fed. Funding)
DC22873,NORTHSIDE CENTER FOR CHILD DEVELOPMENT-BRONX EARLY HEADSTART,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",609 EAST 156TH STREET,BRONX,10455,347-926-5400,39857,05/14/2015,Permitted,0 YEARS - 2 YEARS,20,No,Private
DC20130,NORTHSIDE SCHOOL,NORTH SIDE SCHOOL,16-50 UTOPIA PARKWAY,QUEENS,11357,718-229-5050,8041,09/08/2015,Permitted,2 YEARS - 5 YEARS,108,No,Private
DC1021,NUESTROS NINOS C. D. SCHOOL,"NUESTROS NINOS DAY CARE CENTER, INC",384 SOUTH 4 STREET,BROOKLYN,11211,718-963-1555,4135,08/07/2015,Permitted,2 YEARS - 5 YEARS,162,No,ACS Contracted Preschools
DC14598,NUESTROS NINOS CDS @WILLIAMSBURG DAY CARE,"NUESTROS NINOS DAY CARE CENTER, INC.",243 SOUTH 2ND STREET,BROOKLYN,11211,718-218-8275,7562,12/15/2015,Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools
DC10514,NUESTROS NINOS DAY CARE CENTER 111,"NUESTROS NINOS DAY CARE CENTER, INC",161 SOUTH 3 STREET,BROOKLYN,11211,718-388-5000,6808,11/22/2014,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools
DC14683,NURSERY NORTH INFANT & CHILD CARE CENTER ( INFANT PROGRAM ),"NURSERY NORTH INFANT & CHILD DAY CARE ,INC.",2094  FREDRICK DOUGLAS BLVD,MANHATTAN,10026,212-222-4404,7596,06/08/2015,Permitted,0 YEARS - 2 YEARS,36,No,Private
DC14200,NURSERY NORTH INFANT & CHILD DAYCARE CENTER,"NURSERY NORTH INFANT & CHILD DAY CARE, INC.",2094 FREDRICK DOUGLAS BLVD.,MANHATTAN,10026,212-222-4404,7595,05/22/2014,Expired-InRenewal,2 YEARS - 5 YEARS,39,No,Private
DC19569,NURSERY NORTH TOO,"NURSERY NORTH TOO INFANT DAYCARE CENTER, INC.",249 WEST 144TH STREET,MANHATTAN,10030,212-926-9700,8146,04/27/2014,Expired-InRenewal,0 YEARS - 2 YEARS,46,No,Private
DC20748,NURSERY NORTH TOO,"NURSERY NORTH TOO INFANT DAYCARE CENTER, INC.",249 WEST 144TH STREET,MANHATTAN,10030,212-926-9700,8145,04/27/2014,Expired-InRenewal,2 YEARS - 5 YEARS,28,No,Private
