Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
IMAGINE EARLY LEARNING CENTER  VETS KIDS / IMAGINE EARLY LEARNING CENTER  VETS KIDS,IMAGINE EARLY LEARNING CENTERLLC / IMAGINE EARLY LEARNING CENTER LLC,423 EAST 23 STREET,MANHATTAN,10010,212-951-3435 / 212-951-3435,5996 / 6004,03/31/2015 / 08/10/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,30 / 18,Yes / No,Private / Private,48,40.7363165,-73.977115
JAMAICA KIDS INFANT/TODDLER / IMAGINE EARLY LEARNING CENTER JAMAICA KIDS PRESCHOOL,IMAGINE EARLY LEARNING CENTER AT JAMAICA KIDS INFANT/TODDLER / IMAGINE EARLY LEARNING CENTERJAMAICA KIDS,1 JAMAICA CENTER PLAZA,QUEENS,11432,718-557-5520 / 718-557-5520,6809 / 6810,10/03/2015 / 09/27/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28 / 35,No / No,Private / Private,63,40.7154518,-73.7919103
IMAGINE EARLY LEARNING CENTER-INFANT / IMAGINE EARLY LEARNING CENTER P/S,IMAGINE EARLY LEARNING CENTERS LLC / IMAGINE EARLY LEARNING CENTER LLC,50 MONROE PLACE,BROOKLYN,11201,718-624-7520 / 718-624-7520,7055 / 7056,02/10/2015 / 10/23/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 53,Yes / Yes,Private / Private,71,40.6954939,-73.992668
IMAGINE EARLY LEARNING CENTERS LLC,LEHMAN COLLEGE STUDENT CHILD CARE CENTER INC,250 BEDFORD PARK BLVD WEST,BRONX,10468,718-960-8746,51558,09/04/2015,  Permitted,2 YEARS - 5 YEARS,110,Yes,ACS Contracted Preschools,110,40.87325,-73.89367639999999
IMANI DAY SCHOOL,DAPHNE BAILEY,4022 FARRAGUT ROAD,BROOKLYN,11210,718-421-9791,7027,03/14/2015,  Permitted,2 YEARS - 5 YEARS,19,No,Private,19,40.636668,-73.93774499999999
IMMANUEL CREATIVE DAY CARE CENTER,IMMANUEL GENIUS INC,163-15 OAK AVENUE,QUEENS,11358,718-460-9991,7232,04/16/2014,  Permitted,2 YEARS - 5 YEARS,55,No,Private,55,40.750047,-73.803788
IMMANUEL GENIUS,IMMANUEL NY MISSION INC,253-01 NORTHERN BLVD,QUEENS,11362,718-877-3001,55697,01/02/2016,  Permitted,2 YEARS - 5 YEARS,53,No,Private,53,40.770847,-73.73577
IMMANUEL GENIUS EDUCATIONAL CENTER,IMMANUEL GROUP INC,213-03 NORTHERN BLVD,QUEENS,11361,718-819-0190,8192,06/04/2014,  Permitted,2 YEARS - 5 YEARS,66,No,Private,66,40.7601132,-73.7701452
IN GOD WE TRUST,IN KIDS WE TRUST INC,241 MARCUS GARVEY BOULEVARD,BROOKLYN,11221,718-453-0004,7212,09/22/2014,  Permitted,2 YEARS - 5 YEARS,18,No,Private,18,40.689547,-73.93907399999999
PS / INFANT/TODDLER,THE RAMAZ FACULTY CHILDCARE CENTER / THE RAMAZ FACULTY CHILDCARE CENTER,1725  YORK AVENUE,MANHATTAN,10128,212-774-8000 / 212-774-8000,22458 / 22457,09/13/2014 / 09/13/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,17 / 36,No / No,Private / Private,53,40.7782522,-73.9458884
INFINITY EDUCATIONAL CHILD CARE OF MARINE PARK,INFINITY EDUCATIONAL PROGRAMS INC,1972 EAST 34TH STREET,BROOKLYN,11234,718-336-1981,8396,09/16/2015,  Permitted,2 YEARS - 5 YEARS,85,No,Private,85,40.60896,-73.933345
INITIAL STEPS CHILD DEVELOPMENT CENTER,INITIAL STEPS CHILD DEVELOPMENTINC,3003 GLENWOOD ROAD,BROOKLYN,11210,718-434-2805,6484,10/18/2014,  Permitted,2 YEARS - 5 YEARS,48,No,Private,48,40.634206,-73.947555
INNER FORCE TOTSINC / INNER FORCE TOTS  INFANT/TODDLER,INNER FORCE TOTS INC / INNER FORCE TOTS INC,1181  EAST NEW YORK AVENUE,BROOKLYN,11212,718-221-1246 / 718-221-1246,8139 / 8140,03/22/2014 / 03/22/2014,  Expired-InRenewal /   Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,293 / 109,No / No,ACS Contracted Preschools / ACS Contracted Preschools,402,40.667156,-73.923209
INTERNATIONAL 1ST STEP DAY CARE 11 CORPORATION,INTERNATIONAL 1ST STEP DAY CARE 11 CORPORATION,64-41 UTOPIA PARKWAY,QUEENS,11365,718-886-8977,7999,05/20/2015,  Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.7369943,-73.79299639999999
INTERNATIONAL CHILDRENS,BABOVE WORLDWIDE INSTITUTE INC,57-27 PENROD STREET,QUEENS,11368,718-271-1000,25677,10/18/2014,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,60,40.739748,-73.855986
INTERNATIONAL NURSERY SCHOOL,INTERNATIONAL NURSERY SCHOOL AND KINDERGARTEN,171-39 NORTHERN BLVD,QUEENS,11358,718-353-0932,7436,09/28/2015,  Permitted,2 YEARS - 5 YEARS,62,No,Private,62,40.7577392,-73.794507
IOLA JORDAN DAY CARE CENTER,1332 FULTON AVENUE DAY CAREINC,421 EAST 161 STREET,BRONX,10451,718-402-4166,5483,06/29/2014,  Permitted,2 YEARS - 5 YEARS,154,No,ACS Contracted Preschools,154,40.824276,-73.912896
IP KIDS,JLEE MONTESSORI INC,2619 86TH STREET,BROOKLYN,11223,718-621-7818,23219,09/26/2014,  Permitted,2 YEARS - 5 YEARS,44,No,Private,44,40.5963244,-73.9845277
IP KIDS,JLEE MONTESSORI INC,2625 86TH STREET,BROOKLYN,11223,718-621-7818,23220,09/26/2014,  Permitted,2 YEARS - 5 YEARS,56,No,Private,56,40.59623980000001,-73.984385
IP KIDS MONTESSORI,BLUE SKY DAY CARE INC,850 50TH STREET,BROOKLYN,11220,718-633-1178,8113,12/29/2015,  Permitted,2 YEARS - 5 YEARS,49,No,Private,49,40.640141,-74.00256499999999
IRAS BRIARWOOD DAYCARE  PRESCHOOLINC / IRAS BRIARWOD DAYCARE  PRESCHOOL INC,IRAS BRIARWOOD DAYCARE  PRESCHOOLINC / IRAS BRIARWOOD CHILDCAREINFANT/TODDLER,139-76 85 DRIVE,QUEENS,11435,917-807-2683 / 718-739-6500,8239 / 8240,02/18/2015 / 02/18/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,84 / 15,No / No,Corporate / Corporate,99,40.7089727,-73.8139151
IRAS PARKWAY DAY CARE  PRESCHOOLINC,IRAS PARKWAY DAY CARE AND PRE-SCHOOLINC,141-20 GRAND CENTRAL PARKWAY,QUEENS,11435,718-526-1803,6711,10/14/2014,  Permitted,2 YEARS - 5 YEARS,52,No,Private,52,40.715493,-73.817126
ISABELLA  CHILD DAY CARE CENTER / ISABELLA  CHILD CARE,ISABELLA CHILD DAY CARE SERVICESINC / ISABELLA CHILD DAY CARE SERVICES INC,515 AUDUBON AVENUE,MANHATTAN,10040,212-342-9436 / 212-342-9436,5805 / 5804,02/05/2015 / 04/26/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,13 / 26,No / No,Private / Private,39,40.8545327,-73.9275644
SHOLOM SHOLOM / ISHOLOM SHOLOM INC,SHOLOM SHOLOM INC / SHOLOM SHOLOM INC,116-66 PARK LANE SOUTH,QUEENS,11418,718-850-2934 / 718-850-2934,7387 / 7336,04/13/2015 / 07/08/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,74 / 8,No / No,Private / Private,82,40.708249,-73.836502
ISLANDERS KIDS LEARNING DAY CARE CENTER,ISLANDERS KIDS INC,219 JEFFERSON AVENUE,STATEN ISLAND,10306,718-979-5331,7354,01/16/2015,  Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.58189,-74.098894
ITS A SMALL WORLD AFTER ALL CHILD CARE,ITS A SMALL WORLD AFTER ALL CHILD CARE INC,684 BRITTON STREET,BRONX,10467,347-427-3866,8257,02/08/2015,  Permitted,2 YEARS - 5 YEARS,26,Yes,Private,26,40.8665706,-73.86790119999999
ITS A SMALL WORLD AFTER ALL DAY CARE INC,ITS A SMALL WORLD AFTER ALL CHILD CARE INC,647 EAST 180TH STREET,BRONX,10457,347-591-0738,7903,08/12/2014,  Permitted,2 YEARS - 5 YEARS,30,Yes,Private,30,40.8489553,-73.890228
ITTY BITTY ADVENTURES,ITTY BITTY ADVENTURES LLC,3416 AVENUE S,BROOKLYN,11234,718-375-4700,22097,09/05/2014,  Permitted,2 YEARS - 5 YEARS,42,No,Private,42,40.609116,-73.9322837
IVY DAY SCHOOL,IVY ASSOCIATES USA INC,65-01 KISSENA BOULEVARD,QUEENS,11367,718-460-6366,7217,02/22/2016,  Permitted,2 YEARS - 5 YEARS,114,No,Private,114,40.736897,-73.814275
IVY DAY SCHOOL,IVY INTERNATIONAL USA INC,70-44 KISSENA BLVD,QUEENS,11367,718-877-5523,39238,05/06/2015,  Permitted,2 YEARS - 5 YEARS,149,No,Private,149,40.730866,-73.81506949999999
IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,GABECO INDUSTRIES INC PS / GABECO INDUSTRIES INC I/T,1779 RICHMOND AVENUE,STATEN ISLAND,10314,718-982-0200 / 718-982-0200,8158 / 8157,04/20/2014 / 04/20/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,141 / 36,No / No,Private / Private,177,40.605326,-74.1620932
IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,GKO GROUP INCORPORATED / GKO GROUP INCORPORATED,4020 EAST TREMONT AVENUE,BRONX,10465,718-239-5275 / 718-239-5275,7528 / 6790,08/28/2015 / 08/31/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,48 / 150,No / No,Private / Private,198,40.819636,-73.817967
IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,KOG INDUSTRIES INC / KOG INDUSTRIES INC,61-58 SPRINGFIELD BOULEVARD,QUEENS,11364,718-352-8972 / 718-352-8972,7133 / 7076,05/27/2015 / 01/19/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,36 / 119,No / No,Private / Private,155,40.7546345,-73.7608776
IVY LEAGUE EARLY LEARNING ACADEMY / IVY LEAGUE EARLY LEARNING ACADEMY,TT OF NYC LLC / TT OF NYC LLC,776 AVENUE OF THE AMERICAS,MANHATTAN,10001,212-683-5545 / 212-683-5545,56637 / 56598,02/04/2016 / 02/04/2016,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,81 / 165,No / No,Private / Private,246,40.7448767,-73.9910779
J  J ACADEMY,J  J ACADEMY INCORPORATED,55 WYONA AVENUE,STATEN ISLAND,10314,718-698-0280,7644,09/19/2014,  Permitted,2 YEARS - 5 YEARS,43,No,Private,43,40.610466,-74.149091
J P MORGAN CHASE BACK-UP CENTER - MIDTOWN,BRIGHT HORIZONS CHILDRENS CENTER INC,18 EAST 48TH STREET,MANHATTAN,10017,212-644-3206,6866,07/16/2014,  Permitted,2 YEARS - 5 YEARS,24,No,Corporate,24,40.756576,-73.977032
JCS DAYCARE/ DAY WATCH,DAYWATCH DAY CARE INC,20 SAINT JOHNS ROAD,QUEENS,11385,718-381-3777,7101,03/11/2015,  Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.70658700000001,-73.90755899999999
JADE MULTI  FAMILY CIRCLE CENTER  INC,JADE MULTI FAMILY CIRCLE CENTERINC,3471 FENTON AVENUE,BRONX,10469,718-655-5361,5232,10/09/2015,  Permitted,2 YEARS - 5 YEARS,38,No,Private,38,40.8777571,-73.8489843
JP MORGAN CHASE BACK UP CHILD CARE CENTER,BRIGHT HORIZONS CHILDRENS CENTERS LLC PS,3 METROTECH CENTER,BROOKLYN,11201,718-242-1816,6039,04/24/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.6935774,-73.98479499999999
JP MORGAN CHASE BACK-UP CHILD CARE CENTER I/T,BRIGHT HORIZONS CHILDRENS CENTER LLC I/T,3 METROTECH,BROOKLYN,11201,718-242-1816,6037,04/24/2015,  Permitted,0 YEARS - 2 YEARS,18,No,Private,18,40.6935774,-73.98479499999999
JACK  JILL NURSERY SCHOOL II,LYNBOINC,68-05 FRESH MEADOW LANE,QUEENS,11365,718-939-8687,6519,02/22/2016,  Permitted,2 YEARS - 5 YEARS,55,No,Private,55,40.733405,-73.79428899999999
JACK AND JILL AT  ST GEORGE,JACK AND JILL AT ST GEORGE,209 EAST 16 STREET,MANHATTAN,10003,212-475-0855,5089,11/01/2014,  Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.734489,-73.985351
JACK AND JILL NURSERY SCHOOL,EVBO INC,43-23 COLDEN STREET,QUEENS,11355,718-762-1218,4506,05/13/2015,  Permitted,2 YEARS - 5 YEARS,132,No,Private,132,40.752905,-73.824595
JACKSON DEVELOPEMENT CHILDRENS SERVICES,JACKSON DEVELOPMENT CHILDRENS SERVICES,36-02 14 STREET,QUEENS,11106,718-392-2510,7186,12/17/2015,  Permitted,2 YEARS - 5 YEARS,165,No,Private,165,40.75998999999999,-73.93794299999999
JACKSON DEVELOPMENT   CHILDRENS SERVICES,JACKSON CHILD DEVELOPMENT CENTER,31-36 88 STREET,QUEENS,11369,718-205-1919,6093,02/04/2016,  Permitted,2 YEARS - 5 YEARS,109,No,Private,109,40.758617,-73.8802547
JACKSON HEIGHTS EARLY LEARNING CENTER,JACKSON HEIGHTS EARLY LEARNING CENTER,33-50 82 STREET,QUEENS,11372,718-310-0910,6599,01/10/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.754064,-73.885536
JACKSON HEIGHTS EARLY LEARNING CENTER-OZONE PARK,JACKSON HEIGHTS EARLY LEARNING CENTER-OZONE PARK,81-05 101 AVENUE,QUEENS,11416,646-413-7521,8368,08/31/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.681145,-73.857755
JACKSON HEIGHTS ELC ANNEX INC,JACKSON HEIGHTS EARLY LEARNING CENTER ANNEXINC,79-10 34TH AVENUE,QUEENS,11372,718-779-5437,7827,01/11/2016,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7534464,-73.8873385
JADS CHILDREN   CENTER  INC / JADS  CHILDREN CENTER INC,JADS CHILDREN CENTER INC / JADS CHILDREN CENTER INC,2403 GRAND CONCOURSE,BRONX,10468,718-220-1477 / 718-220-1477,7981 / 8042,06/29/2015 / 06/29/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28 / 75,Yes / Yes,Private / Private,103,40.8603366,-73.89870549999999
JAMAICA NAACP,BABOVE WORLDWIDE INSTITUTE INC,189-26 LINDEN BLVD,QUEENS,11412,718-978-0400,25558,10/18/2014,  Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,80,40.6918149,-73.76136819999999
JAMAICA SDA/BUSY BEE LEARNING CENTER,JAMAICA SDA CHURCH,88-28 163 STREET,QUEENS,11432,718-297-3491,5821,06/13/2015,  Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.7073538,-73.7984934
JASLEEN SABHARWAL,BRIGHTER FUTURES LEARNING CENTER,68-60 AUSTIN STREET,QUEENS,11375,718-268-0092,8370,10/07/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,15,40.7221347,-73.85047
JCP  EARLY CHILDHOOD CENTER,JEWISH COMMUNITY PROJECT OF LOWER MANHATTAN NURSERY SCHOOL INC,146 DUANE STREET,MANHATTAN,10013,212-334-3533,7836,11/19/2015,  Permitted,2 YEARS - 5 YEARS,124,Yes,Private,124,40.716168,-74.008106
JEROME HARDEMAN EARLY CHILDHOOD EDUCATION CENTER,SCO FAMILY OF SERVICES INC,29-49 GILLMORE STREET,QUEENS,11369,718-779-1660,24177,10/05/2014,  Permitted,2 YEARS - 5 YEARS,63,No,ACS Contracted Preschools,63,40.761405,-73.8642239
JEWISH CHILD CARE ASSOC,JCCA FOREST HILLS DAY CARE CENTER,108-05 68 ROAD,QUEENS,11375,718-263-5730,4940,05/16/2015,  Permitted,2 YEARS - 5 YEARS,51,No,Private,51,40.7265469,-73.845978
JEWISH COMMUNITY CENTER OF STATEN ISLAND I/T / JEWISH COMMUNITY  CENTER OF STATEN ISLAND,JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED / JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED,1466 MANOR ROAD,STATEN ISLAND,10314,718-475-5230 / 718-475-5230,7710 / 7711,02/05/2015 / 02/05/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 140,No / No,Private / Private,158,40.59479899999999,-74.1263681
JEWISH COMMUNITY CENTER OF STATEN ISLAND,JEWISH COMMUNITY CENTER OF STATEN ISLANDINCORPORATED,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5224,5224,09/10/2014,  Permitted,2 YEARS - 5 YEARS,94,No,Private,94,40.5656626,-74.1835775
JEWISH COMMUNITY CENTER OF STATEN ISLAND,JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED,485 VICTORY BOULEVARD,STATEN ISLAND,10301,718-475-5286,3058,07/20/2014,  Permitted,2 YEARS - 5 YEARS,112,No,Private,112,40.630661,-74.08887200000001
SMILES AROUND US DAY CARE CENTER / JEWISH COMMUNITY CENTER OF STATEN ISLAND SMILES AROUND US,SMILE AROUND US INC / JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED,3854 HYLAN BOULEVARD,STATEN ISLAND,10308,718-948-0122 / 718-948-0122,6714 / 7845,01/11/2016 / 09/01/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,85 / 20,No / No,Private / Private,105,40.54515809999999,-74.1427298
MARCKTELL MANAGEMENT  JFKIDS PORT / JF KIDS PORT INFANT TODDLER PROGRAM,MARCTELL MANAGEMENT / MARCTELL MANAGEMENT,BLDG 350 JFK AIRPORT,QUEENS,11430,718-553-5437 / 718-553-5437,7175 / 7191,10/17/2015 / 10/17/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,80 / 26,No / No,Private / Private,106,40.6529476,-73.80522959999999
JLEE MONTESSORI PRESCHOOL / I P KIDS,JLEE MONTESSORI INC,2631 86TH STREET,BROOKLYN,11223,718-633-1178,13397,03/12/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,63,No,Private,63,40.5961553,-73.98424220000001
JOAN ANN KENNEDY MEMORIAL PRE-SCHOOL SETON FOUNDATION,SETON FOUNDATION FOR LEARNINGINC,850 HYLAN BOULEVARD,STATEN ISLAND,10305,718-876-0939,7920,09/09/2014,  Permitted,2 YEARS - 5 YEARS,64,No,Private,64,40.599615,-74.07024899999999
JOHN COKER DAY CARE CENTER,LABOR  INDUSTRY FOR EDUCATION INC,1375 BUSHWICK AVENUE,BROOKLYN,11207,718-452-1414,23678,10/01/2014,  Permitted,2 YEARS - 5 YEARS,75,No,ACS Contracted Preschools,75,40.685454,-73.910461
JOHN F KENNEDY EARLY CHILDHOOD DEVELOPMENT CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-15 FARRAGUT ROAD,BROOKLYN,11236,718-272-8751,4064,01/24/2015,  Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,80,40.644465,-73.90732969999999
JOHN ORAVECZ EARLY CHILDHOOD DEVELOPMENT CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,176 JAVA STREET,BROOKLYN,11222,718-782-2727,50998,08/23/2015,  Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,100,40.7315705,-73.95343729999999
JOHNSONS ACADEMY PRESCHOOL,JOHNSONS ACADEMY LLC,99-04 57 AVENUE,QUEENS,11368,718-592-7289,4546,12/15/2014,  Permitted,2 YEARS - 5 YEARS,23,No,Private,23,40.73843859999999,-73.8595595
JONATHAN WILLIAMS DAY CARE CENTER,LABOR  INDUSTRY FOR EDUCATION INC,321 ROEBLING STREET,BROOKLYN,11211,718-387-5011,24338,10/09/2014,  Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools,100,40.7083192,-73.9609875
JOYFUL TOTS DAY CARE CENTER,JOYFUL TOTS DAYCARE CENTER INC,403 NEW JERSEY AVENUE,BROOKLYN,11207,718-676-7867,11837,02/02/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,36,40.66942,-73.893922
JOYFUL TOTS DAYCARE CENTER INC / JOYFUL TOTS DAYCARE CENTER INC,JOYFUL TOTS DAYCARE CENTER INC / JOYFUL TOTS DAYCARE CENTER INC,265 LOTT AVENUE,BROOKLYN,11212,718-342-4225 / 718-342-4222,55858 / 55857,01/09/2016 / 01/09/2016,  Permitted /   Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,44 / 16,No / No,Private / Private,60,40.658734,-73.903611
JP MORGAN CHASE BACK-UP CC / BRIGHT HORIZONS,BRIGHT HORIZONS CHILDRENS CENTER INC,18 EAST 48 STREET,MANHATTAN,10017,212-644-3206,6867,08/30/2015,  Permitted,0 YEARS - 2 YEARS,18,No,Private,18,40.756576,-73.977032
JTG BILINGUAL CHILD DEVELOPMENT SERVICES,JTG BILINGUAL CHILD DEVELOPMENT SERVICES INC,1440 86TH STREET,BROOKLYN,11228,718-331-0288,8321,06/13/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.611933,-74.010903
JUDIS NURSERY,JUDIS NURSERY,70-11 150 STREET,QUEENS,11367,718-520-1324,6958,07/06/2015,  Permitted,2 YEARS - 5 YEARS,110,No,Private,110,40.730196,-73.818253
JUST 4  KIDS SOUNDVIEW CENTER,JUST 4 KIDS SOUNDVIEW CENTER INC,214 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7334,08/27/2015,  Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,24,40.8093249,-73.8553283
JUST 4 KIDS KIDDIE KOLLEGE,JUST 4 KIDS SOUNDVIEW CENTER INC,781 CASTLE HILL AVENUE,BRONX,10473,347-493-0813,7748,08/27/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.82289,-73.849597
JUST 4 KIDS SOUNDVIEW CENTER  I I,JUST 4 KIDS SOUNDVIEW CENTER INC,216 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7388,04/27/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.8107199,-73.8556754
KA OF FLUSHING / KA OF FLUSHING,KA ON PARSONS INC / KA  ON PARSONS INC,33-25 PARSONS BLVD,QUEENS,11354,718-888-9499 / 718-888-9499,52658 / 52560,10/01/2015 / 09/27/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28 / 43,No / No,Private / Private,71,40.7674329,-73.8240375
KANE STREET KIDS,CONGREGATION BAITH ISRAEL ANSHEI EMES,236 KANE STREET,BROOKLYN,11231,718-875-1550,7598,02/03/2016,  Permitted,2 YEARS - 5 YEARS,70,No,Private,70,40.68554,-73.9952259
KAPLAN NURSERY SCHOOL AT SUTTON PLACE SYNAGOGUE,SUTTON PLACE SYNAGOGUE,225 EAST 51 STREET,MANHATTAN,10022,212-826-6204,7512,11/03/2014,  Permitted,2 YEARS - 5 YEARS,65,No,Private,65,40.7560436,-73.9691078
KATHYS DAY CARE,A  A KATHYS DAY CAREINC,94-25 57 AVENUE,QUEENS,11373,718-592-1515,7869,08/16/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.7362977,-73.8670884
KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1028 EAST 179 STREET,BRONX,10460,718-842-0200,5354,04/12/2014,  Permitted,2 YEARS - 5 YEARS,174,Yes,Private,174,40.8422697,-73.8802176
KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1071 B EAST TREMONT AVENUE,BRONX,10460,718-842-8942,7809,10/11/2015,  Permitted,2 YEARS - 5 YEARS,73,No,Private,73,40.840127,-73.8786306
KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,151 EAST 67 STREET,MANHATTAN,10065,212-988-9500,1545,06/06/2015,  Permitted,2 YEARS - 5 YEARS,167,Yes,Private,167,40.7671858,-73.9640575
KEREN OHR III NURSERY,KEREN OHR III NURSERY,170-16 73 AVENUE,QUEENS,11366,718-380-5611,7408,08/17/2015,  Permitted,2 YEARS - 5 YEARS,55,No,Private,55,40.7285309,-73.798902
KESHET LEARNING CENTER / KESHET LEARNING CENTER,CONGREGATION KESHET BEANAN / CONGREGATION KESHET BEANAN,1612  QUENTIN ROAD,BROOKLYN,11229,718-376-6958 / 718-376-6958,7665 / 7664,11/20/2014 / 11/20/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 51,No / No,Private / Private,69,40.608177,-73.95674
KHANH PHAN,FUNDAY DAY CARE CENTER,47-49 162ND STREET,QUEENS,11358,718-460-8552,8035,06/30/2015,  Permitted,2 YEARS - 5 YEARS,33,No,Private,33,40.750161,-73.805155
KHWOA BHAO DAY SCHOOL,WAYKEEN CORP,132-25 POPLE AVENUE,QUEENS,11355,718-353-3628,8290,05/12/2015,  Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.753487,-73.831853
KHYLE BRE NAJ KIDDIE DAY CAREINC,KHYLE BRE NAJ KIDDIE DAY CARE INC,9718 FLATLANDS AVENUE,BROOKLYN,11236,718-345-3636,7514,08/22/2015,  Permitted,2 YEARS - 5 YEARS,57,No,Private,57,40.643795,-73.89994999999999
KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER,KIDZ KRAZY INC,21-25 21 AVENUE,QUEENS,11105,718-545-5728,6853,04/01/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7820514,-73.91379839999999
KID KRAZY INC PRESCHOOL / KID KRAZY INC,KID KRAZY INC / KID KRAZY INCPRESCHOOL,25-19 27 STREET,QUEENS,11102,718-204-0646 / 718-545-5728,10417 / 10198,12/29/2015 / 12/20/2015,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,10 / 51,No / No,Private / Private,61,40.771363,-73.920327
KID KRAZY INC,KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,21-35 21 AVENUE,QUEENS,11105,718-545-5728,7278,07/21/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.78187,-73.913539
KIDSMART A LEARNING CHILD CARE CENTER / KID SMART- A LEARNING CHILD CARE CENTER,THE KIDSMART GROUP LLC / THE KID SMART GROUP LLC,360  SEAVIEW AVENUE,STATEN ISLAND,10305,718-226-8308 / 718-226-8308,7631 / 7632,09/01/2015 / 09/01/2014,  Permitted /   Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,27 / 32,No / No,Private / Private,59,40.585369,-74.090341
KIDDIE ACADEMY OF LITTLE NECK,KIDSZONE INC,252-20 NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,12/01/2014,  Permitted,2 YEARS - 5 YEARS,128,No,Private,128,40.7701431,-73.73578959999999
