Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lon,Lat
JOHN F KENNEDY EARLY CHILDHOOD DEVELOPMENT CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-15 FARRAGUT ROAD,BROOKLYN,11236,718-272-8751,4064,1/24/2015,  Permitted,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,-73.8994,40.6497
JOHN ORAVECZ EARLY CHILDHOOD DEVELOPMENT CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,176 JAVA STREET,BROOKLYN,11222,718-782-2727,50998,8/23/2015,  Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,-73.9535,40.7315
JOHNSONS ACADEMY PRESCHOOL,JOHNSONS ACADEMY LLC,99-04 57 AVENUE,QUEENS,11368,718-592-7289,4546,12/15/2014,  Permitted,2 YEARS - 5 YEARS,23,No,Private,-73.8595,40.7383
JONATHAN WILLIAMS DAY CARE CENTER,LABOR  INDUSTRY FOR EDUCATION INC,321 ROEBLING STREET,BROOKLYN,11211,718-387-5011,24338,10/9/2014,  Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools,-73.9606,40.7081
JOYFUL TOTS DAY CARE CENTER,JOYFUL TOTS DAYCARE CENTER INC,403 NEW JERSEY AVENUE,BROOKLYN,11207,718-676-7867,11837,2/2/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,-73.8939,40.6694
JOYFUL TOTS DAYCARE CENTER INC,JOYFUL TOTS DAYCARE CENTER INC,265 LOTT AVENUE,BROOKLYN,11212,718-342-4222 / 718-342-4225,55857 / 55858,1/9/2016 / 1/9/2016,  Permitted /   Permitted,0 YEARS - 5 YEARS,60,No,Private,-73.9036,40.6587
JTG BILINGUAL CHILD DEVELOPMENT SERVICES,JTG BILINGUAL CHILD DEVELOPMENT SERVICES INC,1440 86TH STREET,BROOKLYN,11228,718-331-0288,8321,6/13/2015,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-74.0109,40.6119
JUDIS NURSERY,JUDIS NURSERY,70-11 150 STREET,QUEENS,11367,718-520-1324,6958,7/6/2015,  Permitted,2 YEARS - 5 YEARS,110,No,Private,-73.8183,40.7303
JUST 4  KIDS SOUNDVIEW CENTER / JUST 4 KIDS SOUNDVIEW CENTER  I I,JUST 4 KIDS SOUNDVIEW CENTER INC,214 SOUNDVIEW AVENUE / 216 SOUNDVIEW AVENUE,BRONX,10473,917-995-8041,7334 / 7388,8/27/2015 / 4/27/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS,46,No,ACS Contracted Preschools / Private,-73.8551,40.8097
JUST 4 KIDS KIDDIE KOLLEGE,JUST 4 KIDS SOUNDVIEW CENTER INC,781 CASTLE HILL AVENUE,BRONX,10473,347-493-0813,7748,8/27/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.8497,40.8229
KA OF FLUSHING,KA  ON PARSONS INC / KA ON PARSONS INC,33-25 PARSONS BLVD,QUEENS,11354,718-888-9499,52560 / 52658,9/27/2015 / 10/1/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,71,No,Private,-73.8237,40.7674
KANE STREET KIDS,CONGREGATION BAITH ISRAEL ANSHEI EMES,236 KANE STREET,BROOKLYN,11231,718-875-1550,7598,2/3/2016,  Permitted,2 YEARS - 5 YEARS,70,No,Private,-73.9952,40.6855
KAPLAN NURSERY SCHOOL AT SUTTON PLACE SYNAGOGUE,SUTTON PLACE SYNAGOGUE,225 EAST 51 STREET,MANHATTAN,10022,212-826-6204,7512,11/3/2014,  Permitted,2 YEARS - 5 YEARS,65,No,Private,-73.9691,40.7562
KATHYS DAY CARE,A  A KATHYS DAY CAREINC,94-25 57 AVENUE,QUEENS,11373,718-592-1515,7869,8/16/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,-73.8668,40.7368
KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1028 EAST 179 STREET,BRONX,10460,718-842-0200,5354,4/12/2014,  Permitted,2 YEARS - 5 YEARS,174,Yes,Private,-73.8794,40.8414
KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,1071 B EAST TREMONT AVENUE,BRONX,10460,718-842-8942,7809,10/11/2015,  Permitted,2 YEARS - 5 YEARS,73,No,Private,-73.8794,40.8407
KENNEDY CHILD STUDY CENTER,KENNEDY CHILD STUDY CENTER,151 EAST 67 STREET,MANHATTAN,10065,212-988-9500,1545,6/6/2015,  Permitted,2 YEARS - 5 YEARS,167,Yes,Private,-73.964,40.7672
KEREN OHR III NURSERY,KEREN OHR III NURSERY,170-16 73 AVENUE,QUEENS,11366,718-380-5611,7408,8/17/2015,  Permitted,2 YEARS - 5 YEARS,55,No,Private,-73.7989,40.7285
KESHET LEARNING CENTER,CONGREGATION KESHET BEANAN,1612  QUENTIN ROAD,BROOKLYN,11229,718-376-6958,7664 / 7665,11/20/2014 / 11/20/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,69,No,Private,-73.9568,40.6082
KHANH PHAN,FUNDAY DAY CARE CENTER,47-49 162ND STREET,QUEENS,11358,718-460-8552,8035,6/30/2015,  Permitted,2 YEARS - 5 YEARS,33,No,Private,-73.8052,40.7501
KHWOA BHAO DAY SCHOOL,WAYKEEN CORP,132-25 POPLE AVENUE,QUEENS,11355,718-353-3628,8290,5/12/2015,  Permitted,2 YEARS - 5 YEARS,45,No,Private,-73.8319,40.7535
KHYLE BRE NAJ KIDDIE DAY CAREINC,KHYLE BRE NAJ KIDDIE DAY CARE INC,9718 FLATLANDS AVENUE,BROOKLYN,11236,718-345-3636,7514,8/22/2015,  Permitted,2 YEARS - 5 YEARS,57,No,Private,-73.9,40.6438
KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER,KIDZ KRAZY INC,21-25 21 AVENUE,QUEENS,11105,718-545-5728,6853,4/1/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.9139,40.782
KID KRAZY INC / KID KRAZY INC PRESCHOOL,KID KRAZY INCPRESCHOOL / KID KRAZY INC,25-19 27 STREET,QUEENS,11102,718-545-5728 / 718-204-0646,10198 / 10417,12/20/2015 / 12/29/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,61,No,Private,-73.9204,40.7714
KID KRAZY INC,KID KRAZY EARLY CHILDHOOD DEVELOPMENT CENTER ANNEX II,21-35 21 AVENUE,QUEENS,11105,718-545-5728,7278,7/21/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.9136,40.7818
KID SMART- A LEARNING CHILD CARE CENTER / KIDSMART A LEARNING CHILD CARE CENTER,THE KID SMART GROUP LLC / THE KIDSMART GROUP LLC,360  SEAVIEW AVENUE,STATEN ISLAND,10305,718-226-8308,7632 / 7631,9/1/2014 / 9/1/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,59,No,Private,-74.0903,40.5854
KIDDIE ACADEMY OF LITTLE NECK,KIDSZONE INC,252-20 NORTHERN BOULEVARD,QUEENS,11362,718-229-2829,7964,12/1/2014,  Permitted,2 YEARS - 5 YEARS,128,No,Private,-73.7356,40.7699
KIDDIE ACADEMY OF STATEN ISLAND / KIDDIE ACADEMY OF STATEN ISLAND INFANT/TODDLER,FUTURE STAR KIDZ INC,1110 SOUTH AVENUE,STATEN ISLAND,10314,718-698-6905,7280 / 7668,11/21/2014 / 11/21/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,185,Yes,Private,-74.1769,40.614
KIDDIE ACADEMY P/S / KIDDY ACADEMY OF WHITESTONE INFANT/TDDLER PROGRAM,KIDDIE ACADEMY OF WHITESTONE / KIDDIE ACADEMY OF WHITESTONE INFANT TODDLER,7-05 152ND STREET,QUEENS,11357,718-747-5555,8085 / 8086,10/17/2015 / 10/17/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,192,No,Private,-73.8102,40.7951
KIDDIE CASTLE DAY CARE,KIDDIE CASTLE OF MIDWOOD,1101 EAST 35 STREET,BROOKLYN,11210,718-677-0303,7339,7/25/2015,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.942,40.628
KIDDIE CASTLE DAY CARE 2 THE NURSERY,DOMINIQUE ROLAND AND SERGE ROLAND,1729 FLATBUSH AVENUE,BROOKLYN,11210,718-677-0303,52601,9/27/2015,  Permitted,0 YEARS - 2 YEARS,22,No,Private,-73.942,40.6279
KIDDIE KORNER INFANT/TODDLERS / KIDDIE KORNER PRE-SCHOOL,CHABAD LUBAVITCH OF BROOKLYN HEIGHTS,166 MONTAGUE STREET,BROOKLYN,11201,718-834-6093,8076 / 8079,9/14/2015 / 9/18/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,51,No,Private,-73.9927,40.6941
KIDDIE KORNER PRE-SCHOOL 2 / KIDDIE KORNER PRESCHOOL INFANT/TODDLER,CHABAD LUBAVITCH OF BROOKLYN HEIGHTS,117 REMSEN STREET,BROOKLYN,11201,718-510-6903,12077 / 11957,2/7/2016 / 2/3/2016,  Permitted /   Permitted,0 YEARS - 5 YEARS,30,No,Private,-73.9936,40.6941
KIDDIES LEARNING CENTER,KIDDIES LEARNING CENTER INC,263 TROY AVENUE,BROOKLYN,11213,718-221-2530,8118,1/20/2016,  Permitted,2 YEARS - 5 YEARS,40,No,Private,-73.9363,40.6702
KIDDIES SAFE HAVEN INC,KIDDIES SAFE HAVEN INC,1891 MCGRAW AVENUE,BRONX,10462,718-409-2706,8273,5/16/2015,  Permitted,2 YEARS - 5 YEARS,58,No,Private,-73.8624,40.8345
KIDDY KORNER,ITS A HAPPY DAY AT KIDDY CORNER,243-37 MERRICK BLVD,QUEENS,11422,718-712-6768,8333,10/4/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.729,40.6744
KIDDY KORNER INFANT/TODDLER,ITS A HAPPY DAY AT KIDDY CORNER INC,243-35 MERRICK BLVD,QUEENS,11422,718-712-6768,8336,10/4/2014,  Permitted,0 YEARS - 2 YEARS,26,No,Private,-73.7291,40.6744
KIDERIFIC NURSERY SCHOOL,KIDERIFIC NURSERY SCHOOLINC,1621 PILGRIM AVENUE,BRONX,10461,718-518-7170,5011,7/2/2015,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.8341,40.8441
KIDS CHOICE PRESCHOOL,BD KIDS CHOICE DAY CARE INC,106-54 GUY BREWER BOULEVARD,QUEENS,11433,718-297-6707,7367,3/4/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,-73.7928,40.6983
KIDS CIRCLE DAY CARE,KIDS CIRCLE DAY CARE INC,164-04 GOETHALS AVENUE,QUEENS,11432,718-380-1280,6955,12/28/2015,  Permitted,2 YEARS - 5 YEARS,40,No,Private,-73.8036,40.7191
KIDS OF THE FUTURE DAY CARE CENTER CORP,KIDS OF THE FUTURE DAY CARE CENTER CORP,330  TROY AVENUE,BROOKLYN,11213,718-484-0780,7887,6/16/2014,  Permitted,2 YEARS - 5 YEARS,23,No,Private,-73.937,40.6676
KIDS ON FIFTH,KIDS ON FIFTH INC,323 5 AVENUE,BROOKLYN,11215,718-768-3122,6176,3/29/2015,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.9832,40.6725
KIDS PALACE CORPORATION,KIDS PALACE CORPORATION,84-75 DANIELS STREET,QUEENS,11435,718-658-7818,6710,10/3/2015,  Permitted,2 YEARS - 5 YEARS,24,No,Private,-73.8141,40.7115
KIDS TIME DCINC,ABC THERAPIES SLPOTPTPSYCHOLOGY  CHIROPRACTIC PLLC/KIDS TIME DAY CARE INC,42-75 65 PLACE,QUEENS,11377,718-429-2000,10457,12/22/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,39,No,Private,-73.8992,40.7414
KIDSPIRATION DAY CARE,LISSETTE CORNICK,3501-3503 QUENTIN ROAD,BROOKLYN,11234,347-587-7920,7889,6/30/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.9375,40.6145
KIDZ KORNER DAY CARE,KIDZ KORNER DAY CARE,2422 RALPH AVENUE,BROOKLYN,11234,718-676-5200,7311,9/30/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.9175,40.619
KIDZ VILLAGE LLC,KIDZ VILLAGELLC,82-02 GRAND AVENUE,QUEENS,11373,718-639-5439,19318,7/23/2014,  Permitted,2 YEARS - 5 YEARS,38,No,Private,-73.8842,40.7324
KIDZ WORLD EARLY CHILDHOOD CTR I/T / KIDZ WORLD EARLY CHILDHOOD CTR PRE/SCH,KIDZ WORLD EARLY CHILDHOOD CENTERINC / KIDZ WORLD EARLY CHILDHOOD CTRINC,217-21 MERRICK BLVD,QUEENS,11413,646-670-7582,21237 / 21317,8/22/2014 / 8/22/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,104,Yes,Private,-73.7513,40.6799
KIMRICK DAYCARE  LEARNING CENTER LLC,KIMRICK DAYCARE  LEARNING CENTER LLC,1509 NOSTRAND AVENUE,BROOKLYN,11226,646-393-9181,7722,2/26/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,-73.9492,40.6493
KIND START PRE-SCHOOL,LISA ASSENNATA,7702 NEW UTRECHT AVENUE,BROOKLYN,11214,718-621-5382,6802,7/20/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-74.0007,40.6142
KINDERLAND DAY CARE / PRESCHOOL / KINDERLAND DAY CARE/INFANT-TODDLER,KINDERLAND DAY CARE INC,1637 45TH STREET,BROOKLYN,11204,718-871-7432,53178 / 53177,10/17/2015 / 10/17/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,64,No,Private,-73.982,40.6328
KINDERSTUFF I,KINDER STUFF 1 LLC,2989 NOSTRAND AVENUE,BROOKLYN,11229,347-492-4877,8361,8/19/2015,  Permitted,2 YEARS - 5 YEARS,67,No,Private,-73.9436,40.6112
KINDERSTUFF V,KINDERSTUFF V LLC,7914 BAY PARKWAY,BROOKLYN,11214,347-492-5313,8317,6/3/2015,  Permitted,2 YEARS - 5 YEARS,109,No,Corporate,-73.9905,40.6057
KINDERSTUFF VI,KINDERSTUFF VI LLC,3301 FOSTER AVENUE,BROOKLYN,11203,347-663-5508,8297,5/2/2015,  Permitted,2 YEARS - 5 YEARS,24,No,Private,-73.9451,40.6391
KING OS DAY CARE CENTER,KINGOS DAY CAREINC,1097 CLARKSON AVENUE,BROOKLYN,11212,718-346-2067,7821,10/12/2015,  Permitted,2 YEARS - 5 YEARS,32,No,Private,-73.9221,40.6601
KINGBRIDGE MONTESSORI SCHOOL,JASMINE EDUCATIONAL ENTERPRISE INC,2500 JEROME AVENUE,BRONX,10468,718-561-8111,56457,1/31/2016,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.8993,40.8641
KINGS BAY YM-YWHA,KINGS BAY YM-YWHA INC,14 HOPE STREET,BROOKLYN,11211,718-407-6388,52499,9/26/2015,  Permitted,2 YEARS - 5 YEARS,27,No,Private,-73.9573,40.7135
KINGS BAY YM-YWHA NURSERY SCHOOL,KINGS BAY YM-YWHA INC,3495 NOSTRAND AVENUE,BROOKLYN,11229,718-648-7703,4518,11/21/2015,  Permitted,2 YEARS - 5 YEARS,47,No,Private,-73.9412,40.5989
KINGS HIGHWAY PREPARATORY SCHOOL,VALERIE MCDONALD,9218 KINGS HIGHWAY,BROOKLYN,11212,718-498-3690,17297,5/29/2014,  Permitted,2 YEARS - 5 YEARS,21,No,Private,-73.9209,40.6565
KINGS WAY EARLY CHILDHOOD CENTERINC,KINGS WAY EARLY CHILDHOOD CENTERINC,1742 EAST 18 STREET,BROOKLYN,11229,718-336-1599,7545,11/28/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,55,No,Private,-73.9554,40.6075
KINGSBRIDGE HEIGHTS  COMMUNITY CENTER INC,KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,3101 KINGSBRIDGE TERRACE,BRONX,10463,718-884-0700,4727,8/16/2015,  Permitted,2 YEARS - 5 YEARS,62,No,ACS Contracted Preschools,-73.9007,40.8776
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,295 WEST 231ST STREET,BRONX,10463,718-884-9799,51679,9/6/2015,  Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,-73.9078,40.881
KINGSTON KIDS LITTLE CASTLE,SILVIO REYES,70  KINGSTON AVENUE,BROOKLYN,11213,718-363-9792,8018,6/15/2015,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.9417,40.6774
KISSENA CHERRY DAY CARE / KISSENA CHERRY DAYCARE,KISSENA CHERRY DAY CARE INC,140-26 CHERRY AVE,QUEENS,11355,718-886-2889,29078 / 8128,12/12/2014 / 4/13/2016,  Permitted /   Permitted,0 YEARS - 5 YEARS,110,No,Private,-73.8218,40.7542
KNUGENX LEARNING CENTER-PRESCHOOL,KNUGENX LEARNING CENTER,90 BOWERY,MANHATTAN,10013,212-966-1431,15617,4/30/2014,  Permitted,2 YEARS - 5 YEARS,27,No,Private,-73.9957,40.7175
KON WAH DAY SCHOOL,KON WAH INC,135-27 38 AVENUE,QUEENS,11354,718-353-4388,6902,5/18/2015,  Permitted,2 YEARS - 5 YEARS,274,No,Private,-73.8319,40.7607
KREATIVE KARE DAY CARE CENTER,KREATIVE KARE DAYCARE CENTER INC,292 PALMETTO STREET,BROOKLYN,11237,718-386-3242,7649,9/25/2014,  Permitted,2 YEARS - 5 YEARS,78,No,Private,-73.9136,40.6966
KREATIVE KARE TOO NURSERY SCHOOL,KREATIVE KARE DAY CARE CENTERINC,541 KNICKERBOCKER AVENUE,BROOKLYN,11221,718-418-0088,7987,1/15/2015,  Permitted,0 YEARS - 2 YEARS,18,No,Private,-73.9156,40.6975
LPBC DAY CARE,LEFFERTS PARK BAPTIST CHURCH,7524 14 AVENUE,BROOKLYN,11228,718-621-5458,7107,3/5/2015,  Permitted,2 YEARS - 5 YEARS,19,No,Private,-74.006,40.6187
LA CASITA  I I I  PRESCHOOL,UNITED BRONX PARENTS INC,607 PROSPECT AVENUE,BRONX,10455,718-742-0083,7603,6/10/2014,  Permitted,2 YEARS - 5 YEARS,15,No,Private,-73.9042,40.8141
LA ESCUELITA,LA ESCUELITA INC,302 WEST 91 STREET,MANHATTAN,10024,212-877-1100,7289,10/10/2014,  Permitted,2 YEARS - 5 YEARS,52,No,Private,-73.976,40.7921
LA PENINSULA  COMMUNITY  ORGANIZATION  HEAD START PROGRAM 2,LA PENINSULA COMMUNITY ORGANIZATION INC,1054 INTERVALE AVENUE,BRONX,10459,718-893-5074,4780,6/8/2015,  Permitted,2 YEARS - 5 YEARS,110,No,ACS Contracted Preschools,-73.8965,40.8247
LA PENINSULA  HEAD START,LA PENINSULA COMMUNITY ORGANIZATION INC,711 MANIDA STREET,BRONX,10474,718-542-7590,3018,1/19/2015,  Permitted,2 YEARS - 5 YEARS,137,Yes,ACS Contracted Preschools,-73.8887,40.8146
LA PENINSULA HEAD START,LA PENINSULA COMMUNITY ORGANIZATION INC,1717 FULTON AVENUE,BRONX,10457,718-215-2020,7253,7/19/2014,  Permitted,2 YEARS - 5 YEARS,113,No,ACS Contracted Preschools,-73.8979,40.8417
LA PENINSULA HEAD START,LA PENINSULA COMMUNITY ORGANIZATION INC,1871 WALTON AVENUE,BRONX,10453,718-215-2220,6666,7/25/2014,  Permitted,2 YEARS - 5 YEARS,147,No,ACS Contracted Preschools,-73.9098,40.8489
LABOR  BATHGATE COMMUNITY CHILD CARE CENTER,LABOR BATHGATE COMMUNITY CHILD CAREINC,1638 ANTHONY AVENUE,BRONX,10457,718-583-3850,4127,6/17/2015,  Permitted,2 YEARS - 5 YEARS,68,Yes,ACS Contracted Preschools,-73.9047,40.8423
LAC EARLY CHILDHOOD CENTER,LIFE ADJUSTMENT CENTER INC,325 EAST 101ST  STREET,MANHATTAN,10029,212-938-1221,58077,3/6/2016,  Permitted,2 YEARS - 5 YEARS,45,Yes,Private,-73.9433,40.7871
LACONIA DAY CARE CENTER,LACONIA DAY CARE CENTER  INFANT CAREINC / LACONIA DAY CARE CENTER  INFANT CARE INC,3950 LACONIA AVENUE,BRONX,10466,718-547-0000,14817 / 14837,4/13/2014 / 4/13/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,110,No,Private,-73.8492,40.8838
LAPUERTA ABIERTA EARLY LEARN CENTER / ROBERTA BRIGHT EARLY LEARNING CENTER,POLICE ATHLETIC LEAGUE INC / THE YOUNG WOMENS CHRISTIAN ASSOCIATION OF THE CITY OF NEW YORK,3001 WEST 37TH STREET / 3001 WEST 37 STREET,BROOKLYN,11224,718-372-4044 / 718-266-5333,51657 / 1550,9/6/2015 / 8/22/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS,161,No,Private / ACS Contracted Preschools,-74.0022,40.5727
LAUGH  LEARN PLACE,LAUGH  LEARN PLACE,228-01 MERRICK BLVD,QUEENS,11413,718-525-5318,30717,1/14/2015,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.742,40.6769
LAURELTON DAY CARE INC P/S / LAURELTON DAY CARE INC,LAURELTON CHILD CARE INC / LAURELTON DAY CARE INC TODDLER PROGRAM,141-19 224 STREET,QUEENS,11413,718-712-1860,6624 / 6625,3/15/2014 / 4/6/2015,  Expired-InRenewal /   Permitted,0 YEARS - 5 YEARS,105,No,Private,-73.7512,40.669
LAVELLE SCHOOL FOR THE BLIND,LAVELLE SCHOOL FOR THE BLIND,3830 PAULDING AVENUE,BRONX,10469,718-882-1212,7139,6/26/2015,  Permitted,2 YEARS - 5 YEARS,94,No,Private,-73.8537,40.8818
LE PETIT PARADIS,LE PETIT PARADIS,1656 THIRD  AVENUE,MANHATTAN,10128,212-410-0180,7902,8/1/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.9511,40.7831
LEAK AND WATTS HEAD START PROGRAM,LEAKE AND WATTS SERVICES INC,2165 RANDALL AVENUE,BRONX,10473,718-904-1689,8147,5/7/2014,  Permitted,2 YEARS - 5 YEARS,94,No,Head Start Direct Fed Funding,-73.849,40.8197
LEARNING LADDER CENTERLLC,LEARNING LADDER CENTER LLC,125-19 101 AVENUE,QUEENS,11419,718-480-6444,20497,8/8/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.8203,40.6918
LEARNING LADDER DAY CARE CENTER,ALL CARE PROVIDER SERVICES INC,100A ALDRICH STREET,BRONX,10475,718-618-0782,8310,7/15/2015,  Permitted,2 YEARS - 5 YEARS,80,No,Private,-73.8322,40.8708
LEAVITT DAY CARE,LEAVITT DAY CARE INC,34-51 LEAVITT STREET,QUEENS,11354,718-321-2717,8364,7/7/2015,  Permitted,2 YEARS - 5 YEARS,41,No,Private,-73.8289,40.7657
LEFFERTS GARDENS MONTESSORI SCHOOL 1,MOMS CENTER FOR EARLY CHILDHOOD DEVELOPMENT INC 1,559 ROGERS AVENUE,BROOKLYN,11225,718-773-7478,4893,7/13/2014,  Permitted,2 YEARS - 5 YEARS,26,No,Private,-73.953,40.6582
LEFFERTS GARDENS MONTESSORI SCHOOL 2,MOMS CENTER FOR EARLY CHILDHOOD DEVELOPMENTINC 2,527 ROGERS AVENUE,BROOKLYN,11225,718-773-0287,5878,7/13/2014,  Permitted,2 YEARS - 5 YEARS,75,No,Private,-73.9531,40.6591
LEGGETT MEMORIAL CHILD CARE CENTER,UNION SETTLEMENT ASSOCIATION INC,237 EAST 104 STREET,MANHATTAN,10029,212-828-6051,1997,11/2/2015,  Permitted,2 YEARS - 5 YEARS,90,Yes,ACS Contracted Preschools,-73.944,40.7898
LEMON TREE LEARNING CENTER,LEMON TREE OF RICHMONDINC,341 ELVIN STREET,STATEN ISLAND,10314,718-698-9103,5477,9/29/2014,  Permitted,2 YEARS - 5 YEARS,58,No,Private,-74.1214,40.6028
LENOX HILL NEIGHBORHOOD HOUSE EARLY CHILDHOOD CENTER,LENOX HILL NEIGHBORHOOD HOUSE,331 EAST 70 STREET,MANHATTAN,10021,212-744-5022,2056,5/8/2016,  Permitted,2 YEARS - 5 YEARS,144,No,ACS Head Start,-73.9577,40.7671
LES ENFANTS MONTESSORI SCHOOLINC,LES ENFANTS MONTESSORI SCHOOLINC,29-21 NEWTOWN AVENUE,QUEENS,11102,718-626-9549,4715,3/10/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,105,No,Private,-73.9213,40.7689
LEXINGTON CHILDRENS CENTER,LEXINGTON CHILDRENS CENTER,115 EAST 98 STREET,MANHATTAN,10029,212-410-1060,2156,4/7/2015,  Permitted,2 YEARS - 5 YEARS,53,Yes,ACS Contracted Preschools,-73.9508,40.788
LIBERTY DAY CARE SERVICE / LIBERTY DAY CARE SERVICE INC,LIBERTY DAY CARE SERVICEINC / LIBERTY DAY CARE SERVICE INC,478 EAST 95 STREET / 478 EAST 95TH STREET,BROOKLYN,11212,718-498-4384,7093 / 28517,2/8/2015 / 12/4/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,56,No,Private,-73.9173,40.6557
LIC YMCA EARLY CHILD CARE PROGRAM,YMCA OF GREATER NY,32-23 QUEENS BOULEVARD,QUEENS,11101,718-392-7932,7741,4/8/2015,  Permitted,2 YEARS - 5 YEARS,53,No,Private,-73.9322,40.7454
LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRE-SCHOOLERS,LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRE-SCHOOLERS INC,3051 EAST TREMONT AVENUE,BRONX,10461,718-828-8462,6088,8/25/2015,  Permitted,2 YEARS - 5 YEARS,41,No,Private,-73.8362,40.8396
LIFELINE CENTER FOR CHILD DEVELOPMENT,LIFELINE CENTER FOR CHILD DEVELOPMENT,80-09 WINCHESTER BOULEVARD,QUEENS,11427,718-740-4300,5518,4/25/2015,  Permitted,2 YEARS - 5 YEARS,71,No,Private,-73.7338,40.7384
LIGHT AND BRIGHT EARLY LEARNING CENTER,LIGHT AND BRIGHT EARLY LEARNING CENTER,1185 EAST 223 STREET,BRONX,10466,718-231-5031,7640,9/20/2014,  Permitted,2 YEARS - 5 YEARS,28,No,Private,-73.8471,40.8819
LIGHTHOUSE INTERNATIONAL CHILD DEVELOPMENT CENTER,LIGHTHOUSE INTERNATIONAL,111 EAST 59 STREET,MANHATTAN,10022,212-821-9600,6122,4/29/2014,  Permitted,2 YEARS - 5 YEARS,97,No,Private,-73.969,40.7628
LIGHTHOUSE PRESCHOOL,LIGHTHOUSE PRESCHOOL,80-82 BOWERY,MANHATTAN,10013,212-219-8813,7039,9/27/2014,  Permitted,2 YEARS - 5 YEARS,40,No,Private,-73.996,40.717
LIL INVENTORS,LITTLE SHEPHERDS COMMUNITY SERVICES INC,2260 ANDREWS AVENUE,BRONX,10468,718-295-2740,7510,2/20/2016,  Permitted,2 YEARS - 5 YEARS,18,No,Private,-73.9081,40.8605
LIL ANGELS CHILDCARE,LIL ANGELS CHILDCARE INC,520 ELLSWORTH AVENUE,BRONX,10465,718-792-2273,8151,5/10/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.8143,40.8253
LIL FOOTPRINTS,LIL FOOT PRINTS LTD,7805 20 AVENUE,BROOKLYN,11214,718-234-5890,7587,3/27/2016,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.9935,40.6088
LILLIAN WALD DAY CARE CENTER OF THE EDUCATIONAL ALLIANCE INC,THE EDUCATIONAL ALLIANCE,34 AVENUE D,MANHATTAN,10009,212-780-5225,4059,7/2/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,76,No,ACS Contracted Preschools,-73.9773,40.721
