centerName,permitHolder,address,borough,zipCode,phone,permitNumber,permitExpirationDate,permitStatus,ageRange,maximumCapacity,certifiedToAdministerMedication,siteType,GeocodedCategory,Lon,Lat
NEW GENERATION ACADEMY,IDEAL DAY CARE CENTER INC,4701 AVENUE J,BROOKLYN,11234,718-252-0160,7051,2.0141E+16,Permitted,2 YEARS - 5 YEARS,59,No,Private,PAD2013,-73.930567,40.628249
NEW GENERATIONS LEARNING CENTER INC,NEW GENERATIONS LEARNING CENTERINC,2597 BEDFORD AVENUE,BROOKLYN,11226,718-941-0404,7306,2.01411E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.953898,40.639876
NEW GRACE CENTER,NEW GRACE CENTERINC,650 LIVONIA AVENUE,BROOKLYN,11207,718-498-7175,4937,2.01411E+16,Permitted,2 YEARS - 5 YEARS,95,No,Private,PAD2013,-73.892714,40.664727
NEW HOPE DAY CARE INC I/T,NEW HOPE ACADEMY INC I/T,1481 NOSTRAND AVENUE,BROOKLYN,11226,718-284-5923,7928,2.01409E+16,Permitted,0 YEARS - 2 YEARS,8,No,Private,PAD2013,-73.9492,40.650172
NEW HOPE DAY CAREINC PS,NEW HOPE ACADEMY INC PS,1481 NOSTRAND AVENUE,BROOKLYN,11226,718-284-5923,7927,2.01409E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.9492,40.650172
NEW LIFE CHILD DEVELOPMENT CENTER INC,NEW LIFE CHILD DEVELOPMENT CENTER INC,295 WOODBINE STREET,BROOKLYN,11237,718-821-3433,4476,2.0151E+16,Permitted,2 YEARS - 5 YEARS,105,No,ACS Contracted Preschools,PAD2013,-73.913236,40.696399
NEW LIFE CHILD DEVELOPMENT CENTER INC,NEW LIFE CHILD DEVELOPMENT CENTER INC,406 GROVE STREET,BROOKLYN,11237,718-381-8968,4774,2.01511E+16,Permitted,2 YEARS - 5 YEARS,172,No,ACS Head Start,PAD2013,-73.912754,40.701133
NEW LIFE DAY CARE CENTER INC,NEW LIFE DAY CARE CENTER INC,406-408 GROVE STREET,BROOKLYN,11237,718-417-4214,5349,2.01504E+16,Permitted,2 YEARS - 5 YEARS,89,No,ACS Contracted Preschools,PAD2013,-73.912754,40.701133
NEW LIFE HEAD START,NEW LIFE CHILD DEVELOPMENT CENTER INC,1307 GREENE AVENUE,BROOKLYN,11237,718-366-1668,7012,2.01407E+16,Permitted,2 YEARS - 5 YEARS,117,Yes,ACS Head Start,PAD2013,-73.919518,40.698475
NEW LIFE IN CHRIST MINISTRIES,NEW LIFE IN CHRIST MINISTRIES INC,814 MARCY AVENUE,BROOKLYN,11216,718-783-3555,52438,2.01509E+16,Permitted,2 YEARS - 5 YEARS,21,No,Private,PAD2013,-73.947547,40.685686
NEW MILESTONE,NEW MILESTONE INC,132-54 POPLE AVENUE,QUEENS,11355,718-539-2068,8125,2.01402E+16,Expired-InRenewal,2 YEARS - 5 YEARS,52,No,Private,PAD2013,-73.830628,40.753475
NEW MILESTONE DAY CARE CENTER,NEW MILESTONE INC,158-13 72 AVENUE,QUEENS,11365,718-380-1978,7754,2.01505E+16,Permitted,2 YEARS - 5 YEARS,58,No,Private,PAD2013,-73.810503,40.72809
NEW MILLENIUM DAY SCHOOL INC,NEW MILLENIUM DAY SCHOOL INC,172-07 JAMAICA AVENUE,QUEENS,11432,347-561-7169,6901,2.01503E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.787746,40.707942
NEW PRIDE DAY CARE CENTER,NEW PRIDE CHILD CARE SERVICES INC,1636 BROADWAY,BROOKLYN,11207,718-453-0204,7647,2.0141E+16,Permitted,2 YEARS - 5 YEARS,27,No,Private,PAD2013,-73.914049,40.684649
NEW WORLD EDUCATIONAL CENTER,NEW WORLD EDUCATIONAL CENTER,137-37 FARMERS BOULEVARD,QUEENS,11434,718-528-8751,4737,2.01411E+16,Permitted,2 YEARS - 5 YEARS,37,No,Private,PAD2013,-73.763663,40.673053
NEW WORLD EDUCATIONAL PROGRAM,BABOVE WORLDWIDE INSTITUTE INC,137-37 FARMERS BLVD,QUEENS,11434,718-658-3030,26217,2.0141E+16,Permitted,2 YEARS - 5 YEARS,73,No,ACS Contracted Preschools,PAD2013,-73.763663,40.673053
NEW YORK  KIDS CLUB,121 MONTAGUE STREET LLC,182-184 HENRY STREET,BROOKLYN,11201,718-228-0800,19557,2.01407E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.994453,40.695076
NEW YORK CENTER FOR CHILD DEVELOPMENT,NEW YORK CENTER FOR CHILD DEVELOPMENT INC,159  WEST 127TH STREET,MANHATTAN,10027,212-752-7564,54017,2.01601E+16,Permitted,2 YEARS - 5 YEARS,86,No,Private,PAD2013,-73.946608,40.810194
NEW YORK CENTER FOR INFANTS AND TODDLERS,NEW YORK CENTER FOR INFANTS AND TODDLERS INC,2336 ANDREWS AVENUE,BRONX,10468,718-561-5300,8243,2.01412E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,LION2013,-73.906495,40.86228
NEW YORK CENTER FOR INFANTS AND TODDLERS INC,NEW YORK CENTER FOR INFANTS AND TODDLERS INC,1787 MADISON AVENUE,MANHATTAN,10035,212-289-6100,8176,2.01406E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.943845,40.800861
NEW YORK CHILD LEARNING INSTITUTE,AABRNEW YORK CHILD LEARNING INSTITUTE,14-02 124 STREET,QUEENS,11356,718-445-0752,6130,2.0151E+16,Permitted,2 YEARS - 5 YEARS,7,No,Private,PAD2013,-73.844217,40.785211
NEW YORK CHILD RESOURCE CENTER INC,NEW YORK CHILD RESOURCE CENTER INC,348 EAST 146TH STREET,BRONX,10451,718-585-0600,7061,2.01412E+16,Permitted,2 YEARS - 5 YEARS,17,No,Private,PAD2013,-73.921186,40.814946
NEW YORK CHILD RESOURCE CENTER INC,NEW YORK CHILD RESOURCE CENTER INC,706 QUINCY STREET,BROOKLYN,11221,718-443-3440,30518,2.01501E+16,Permitted,2 YEARS - 5 YEARS,100,No,Private,PAD2013,-73.932095,40.688898
NEW YORK CREATIVE CHILDCARE,NEW YORK CREATIVE CHILDCARE INC,5015 6TH AVENUE,BROOKLYN,11220,718-686-0388,8300,2.01505E+16,Permitted,2 YEARS - 5 YEARS,54,No,Private,PAD2013,-74.008264,40.643279
NEW YORK LEAGUE FOR EARLY LEARNING CLEARVIEW SCHOOL,NEW YORK LEAGUE FOR EARLY LEARNING,124-06 14TH AVENUE,QUEENS,11356,718-352-0104,7995,2.01502E+16,Permitted,2 YEARS - 5 YEARS,100,Yes,Private,PAD2013,-73.843673,40.785091
NEW YORK UNITED DAY CARE,NEW YORK UNITED DAY CARE INC,349 KEAP STREET,BROOKLYN,11211,718-302-4400,29318,2.01412E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-73.954772,40.709242
NEXT 2 HOME CHILD CARE,NEXT TO HOME CHILD CARE INC,1159 FLATBUSH AVENUE,BROOKLYN,11226,347-221-0275,7760,2.01505E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.956841,40.642085
NICHOLAS CARDELL DAY CARE CENTER,NICHOLAS CARDELL DAY CARE CENTER INC,84 VERMILYEA AVENUE,MANHATTAN,10034,212-942-6757,3081,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.923254,40.866119
NIGHTINGALE DAY CARE CENTER,NIGHTINGALE DAY CARE CENTER INC,462 LENOX RD,BROOKLYN,11203,718-510-4428,20377,2.01408E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.943525,40.654308
NO BX NATIONAL COUNCIL OF NEGRO WOMEN CHILD DEV CENTER,NO BX NATIONAL COUNCIL OF NEGRO WOMEN INC,4035 WHITE PLAINS ROAD,BRONX,10466,718-231-7100,4669,2.01511E+16,Permitted,2 YEARS - 5 YEARS,180,No,ACS Contracted Preschools,PAD2013,-73.859874,40.88967
NOAHS ARK DAY CARE CENTER,NOAHS ARK DAY CARE CENTER,120 VERMILYEA AVENUE,MANHATTAN,10034,212-942-4775,7091,2.01505E+16,Permitted,2 YEARS - 5 YEARS,32,No,Private,PAD2013,-73.921741,40.866793
NOAHS ARK NU GENERATION DAYCARE INC,NOAHS ARK NU GENERATION DAYCARE INC,4716 AVENUE N,BROOKLYN,11234,718-253-5950,7338,2.01506E+16,Permitted,2 YEARS - 5 YEARS,22,No,Private,PAD2013,-73.929158,40.618619
NOAHS ARK PROGRESSIVE LEARNING CENTER II,NOAHS ARK PROGRESSIVE LEARNING CENTER INC,62-48 MT OLIVET CRESCENT,QUEENS,11379,347-335-0044,8195,2.01409E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.895778,40.713561
NOAHS ARK PROGRESSIVE LEARNING CENTER INC,NOAHS ARK PROGRESSIVE LEARNING CENTER INC,38-20 BELL BOULEVARD,QUEENS,11361,718-279-4251,6542,2.01412E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.772737,40.765773
NORTH SIDE SCHOOL,NORTH SIDE SCHOOL,84-60 PARSONS BLVD,QUEENS,11432,718-298-6161,51784,2.01509E+16,Permitted,2 YEARS - 5 YEARS,85,No,Private,PAD2013,-73.806878,40.712594
NORTHERN CONVENT AVENUE EARLY CHILDHOOD PROGRAM,MOREAU LMSW CHILDREN  FAMILY SERVICES PC,764 ST NICHOLAS AVENUE,MANHATTAN,10031,212-234-1036,22198,2.01409E+16,Permitted,2 YEARS - 5 YEARS,27,Yes,Private,PAD2013,-73.942894,40.826087
NORTHSIDE CENTER  FOR DEVELOPMENT -  HEAD START,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,302 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7875,2.01403E+16,Permitted,2 YEARS - 5 YEARS,63,Yes,Head Start Direct Fed Funding,PAD2013,-73.93969,40.793388
NORTHSIDE CENTER FOR CHILD DEVELOPMENT - ACS HEAD START,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,302-306 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7575,2.01403E+16,Permitted,2 YEARS - 5 YEARS,65,No,ACS Head Start,PAD2013,-73.93969,40.793388
NORTHSIDE CENTER FOR CHILD DEVELOPMENT - BRONX EARLY HEAD START,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,609 EAST 156TH STREET,BRONX,10455,347-926-5400,39977,2.01505E+16,Permitted,2 YEARS - 5 YEARS,11,No,Head Start Direct Fed Funding,PAD2013,-73.90985,40.819356
NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC- EARLY HEAD START,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,302-306 EAST 111TH STREET,MANHATTAN,10029,646-351-1300,7576,2.01504E+16,Permitted,0 YEARS - 2 YEARS,20,Yes,Head Start Direct Fed Funding,PAD2013,-73.93969,40.793388
NORTHSIDE CENTER FOR CHILD DEVELOPMENT-BRONX EARLY HEADSTART,NORTHSIDE CENTER FOR CHILD DEVELOPMENT INC,609 EAST 156TH STREET,BRONX,10455,347-926-5400,39857,2.01505E+16,Permitted,0 YEARS - 2 YEARS,20,No,Private,PAD2013,-73.90985,40.819356
NORTHSIDE SCHOOL,NORTH SIDE SCHOOL,16-50 UTOPIA PARKWAY,QUEENS,11357,718-229-5050,8041,2.01509E+16,Permitted,2 YEARS - 5 YEARS,108,No,Private,PAD2013,-73.79494,40.782999
NORTHSIDE THERAPEUTIC  E C C,NORTHSIDE THERAPEUTIC PRESCHOOL,1301 5 AVENUE,MANHATTAN,10029,212-426-3400,7876,2.01404E+16,Permitted,2 YEARS - 5 YEARS,68,Yes,Private,PAD2013,-73.948619,40.797166
NUESTROS NINOS C D SCHOOL,NUESTROS NINOS DAY CARE CENTER INC,384 SOUTH 4 STREET,BROOKLYN,11211,718-963-1555,4135,2.01508E+16,Permitted,2 YEARS - 5 YEARS,162,No,ACS Contracted Preschools,PAD2013,-73.952552,40.70788
NUESTROS NINOS CDS WILLIAMSBURG DAY CARE,NUESTROS NINOS DAY CARE CENTER INC,243 SOUTH 2ND STREET,BROOKLYN,11211,718-218-8275,7562,2.01512E+16,Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,PAD2013,-73.957746,40.711973
NUESTROS NINOS DAY CARE CENTER 111,NUESTROS NINOS DAY CARE CENTER INC,161 SOUTH 3 STREET,BROOKLYN,11211,718-388-5000,6808,2.01411E+16,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,PAD2013,-73.96117,40.712241
NURSERY NORTH INFANT  CHILD CARE CENTER  INFANT PROGRAM,NURSERY NORTH INFANT  CHILD DAY CARE INC,2094  FREDRICK DOUGLAS BLVD,MANHATTAN,10026,212-222-4404,7596,2.01506E+16,Permitted,0 YEARS - 2 YEARS,36,No,Private,PAD2013,-73.956197,40.802753
NURSERY NORTH INFANT  CHILD DAYCARE CENTER,NURSERY NORTH INFANT  CHILD DAY CARE INC,2094 FREDRICK DOUGLAS BLVD,MANHATTAN,10026,212-222-4404,7595,2.01405E+16,Permitted,2 YEARS - 5 YEARS,39,No,Private,PAD2013,-73.956197,40.802753
NURSERY NORTH TOO,NURSERY NORTH TOO INFANT DAYCARE CENTER INC,249 WEST 144TH STREET,MANHATTAN,10030,212-926-9700,8146,2.01404E+16,Permitted,0 YEARS - 2 YEARS,46,No,Private,PAD2013,-73.940982,40.821786
NURSERY NORTH TOO,NURSERY NORTH TOO INFANT DAYCARE CENTER INC,249 WEST 144TH STREET,MANHATTAN,10030,212-926-9700,8145,2.01404E+16,Permitted,2 YEARS - 5 YEARS,28,No,Private,PAD2013,-73.940982,40.821786
NURSERY SCHOOL AT HABONIM,CONGREGATION HABONIM,44 WEST 66 STREET,MANHATTAN,10023,212-787-5347,1146,2.01507E+16,Permitted,2 YEARS - 5 YEARS,63,No,Private,PAD2013,-73.980342,40.772832
NY CITY EXPLORERS,CITY EXPLORERS INC,110 SCHERMERHORN ST,BROOKLYN,11201,718-797-3707,8205,2.01407E+16,Permitted,2 YEARS - 5 YEARS,26,No,Private,PAD2013,-73.989328,40.68995
OAKDALE ACADEMY INFANT TODDLER PROGRAM,L  A CENTERS INC,366 OAKDALE STREET,STATEN ISLAND,10312,718-948-4220,7604,2.01505E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-74.162591,40.541169
OAKDALE ACADEMY PRESCHOOL,L  A CENTERS INC,366 OAKDALE STREET,STATEN ISLAND,10312,718-948-4220,4709,2.01409E+16,Permitted,2 YEARS - 5 YEARS,39,No,Private,PAD2013,-74.162591,40.541169
OAKWOOD HEIGHTS COMMUNITY CHURCH NURSERY SCHOOL,OAKWOOD HEIGHTS COMMUNITY CHURCH INC,345 GUYON AVE,STATEN ISLAND,10306,718-351-0984,4565,2.01505E+16,Permitted,2 YEARS - 5 YEARS,34,No,Private,PAD2013,-74.117991,40.559474
ODYSSEY HOUSE FAMILY CENTER,ODYSSEY  HOUSE INC,219 EAST 121 ST,MANHATTAN,10035,212-987-5193,7352,2.01507E+16,Permitted,0 YEARS - 2 YEARS,28,No,Private,PAD2013,-73.936577,40.800877
ODYSSEY HOUSE FAMILY CENTER,ODYSSEY HOUSEINC,219 EAST 121 ST,MANHATTAN,10035,212-987-5193,7350,2.01501E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.936577,40.800877
OHR OSHER AND YAFFA JEWISH CENTER,OHR OSHER AND YAFFA JEWISH CENTER,75-21 MAIN STREET,QUEENS,11367,718-850-2934,55299,2.01512E+16,Permitted,2 YEARS - 5 YEARS,54,No,Private,PAD2013,-73.819849,40.723629
OLD FIRST NURSERY SCHOOL,OLD FIRST NURSERY SCHOOL,729 CARROLL STREET,BROOKLYN,11215,347-460-6367,1648,2.0121E+16,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.976568,40.673541
OMEGA/PSI/PHI/FRAT/NY OMICRON2,OMEGA PSI PHI FRATERNITY NU OMICRON CHAPTER ECEC,123-10 143 STREET,QUEENS,11436,718-322-9671,5013,2.01509E+16,Permitted,2 YEARS - 5 YEARS,113,No,ACS Contracted Preschools,PAD2013,-73.796088,40.674221
ON OUR WAY LEARNING CENTER,ON OUR WAY LEARNING CENTER,264 BEACH 19 STREET,QUEENS,11691,718-868-2961,5764,2.01507E+16,Permitted,2 YEARS - 5 YEARS,128,No,Private,PAD2013,-73.752812,40.597196
ONCE UPON A TIME,ONCE UPON A CHILD DAY CARELLC,68-05 64TH PLACE,QUEENS,11385,347-529-6718,8196,2.01409E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.893364,40.70577
ONCE UPON ATIMEINC,ONCE UPON A TIME INC,87-61 111 STREET,QUEENS,11418,718-846-9182,6009,2.01502E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.836021,40.695314
ONE WORLD PROJECT,JOANNE DERWIN,1218 PROSPECT AVENUE,BROOKLYN,11218,718-407-6377,51658,2.01509E+16,Permitted,2 YEARS - 5 YEARS,46,No,Private,PAD2013,-73.976523,40.653224
OPEN DOOR CHILD CARE CENTER,OPEN DOOR ASSOCIATES,820 COLUMBUS AVENUE,MANHATTAN,10025,212-749-5572,1383,2.01401E+16,Expired-InRenewal,2 YEARS - 5 YEARS,85,No,ACS Contracted Preschools,PAD2013,-73.96618,40.796104
OPEN HOUSE NURSERY SCHOOL,OPEN HOUSE EARLY CHILDHOOD CENTER INC,318A WARREN STREET,BROOKLYN,11201,718-625-5252,7472,2.01509E+16,Permitted,2 YEARS - 5 YEARS,90,No,Private,PAD2013,-73.991962,40.685451
OTSAR EARLY CHILDHOOD CENTER,OTSAR EARLY CHILDHOOD CENTER,2324 WEST 13TH STREET,BROOKLYN,11223,718-946-1413,8029,2.01508E+16,Permitted,2 YEARS - 5 YEARS,115,No,Private,PAD2013,-73.983361,40.590602
OUR CHILDREN OUR FUTURE CHILD CARE CENTER INFANT/TODDLER,ANGELA PORTER/OUR CHILDREN OUR FUTURE CHILD CARE CENTER,306 MILLER AVENUE,BROOKLYN,11207,718-385-6745,13379,2.01403E+16,Expired-InRenewal,0 YEARS - 2 YEARS,13,No,Private,PAD2013,-73.891677,40.67341
OUR CHILDREN OUR FUTURE CHILD CARE CENTER PRESCHOOL,ANGELA PORTER/OUR CHILDREN OUR FUTURE CHILD CARE CENTER,306 MILLER AVENUE,BROOKLYN,11207,718-385-6745,13997,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.891677,40.67341
OUR CHILDRENS CENTER,AUXILLIARY ENTERPRISE BOARD OF NEW YORK CITY COLLEGE OF TECHNOLOGYINC,55 JOHNSON ST,BROOKLYN,11201,718-260-5192,4200,2.01503E+16,Permitted,2 YEARS - 5 YEARS,62,No,Private,PAD2013,-73.988333,40.695215
OUR CHILDRENS CENTER - PRESCHOOL,AUXILLARY ENTERPRISE BOARD OF NEW YORK CITY COLLEGE OF TECHNOLOGYINC,300 JAY STREET,BROOKLYN,11201,718-260-5192,5498,2.01406E+16,Permitted,2 YEARS - 5 YEARS,35,No,Private,PAD2013,-73.987721,40.695497
OUR CHILDREN-THE LEADERS OF TOMORROW,OUR CHILDREN-THE LEADERS OF TOMORROW INC,756  MYRTLE AVENUE,BROOKLYN,11206,718-643-8201,8069,2.01509E+16,Permitted,2 YEARS - 5 YEARS,85,No,ACS Contracted Preschools,PAD2013,-73.95196,40.694815
OUR KIDS PLACE COUNTRY DAY,OUR KIDS PLACE COUNTRY DAY,137-25 BROOKVILLE BLVD,QUEENS,11422,516-805-4202,54337,2.01511E+16,Permitted,2 YEARS - 5 YEARS,75,No,Private,PAD2013,-73.735987,40.669309
OUR LADY QUEEN OF MARTYRS  HEAD START/UPK,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF NY,71-91 ARDEN STREET,MANHATTAN,10040,646-796-1398,6997,2.01407E+16,Permitted,2 YEARS - 5 YEARS,79,No,ACS Head Start,PAD2013,-73.927972,40.863655
OUR LITTLE ANGELS CORP,OUR LITTLE ANGELS CORP,86-29 COMMONWEALTH BLVD,QUEENS,11426,718-347-7377,7358,2.01503E+16,Permitted,2 YEARS - 5 YEARS,29,No,Private,PAD2013,-73.719812,40.730455
OUR PLACE SCHOOL,OUR PLACE SCHOOL INC,329 NORWAY AVENUE,STATEN ISLAND,10305,718-987-9400,2489,2.01508E+16,Permitted,2 YEARS - 5 YEARS,90,No,Private,PAD2013,-74.076553,40.590761
OUR SAVIOUR LUTHERAN PRE-SCHOOL,OUR SAVIOUR LUTHERAN CHURCHPRESCHOOL,90-04 175 STREET,QUEENS,11432,718-739-7452,6179,2.01406E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-73.786941,40.709621
OUR SAVIOUR LUTHERAN PRESCHOOL,EVANGELICAL LUTHERAN CHURCH OF OUR SAVIOUR,64-33  WOODHAVEN BLVD,QUEENS,11374,718-897-4343,51978,2.01509E+16,Permitted,2 YEARS - 5 YEARS,55,No,Corporate,LION2013,-73.865644,40.720733
OUR SAVIOURS LUTHERAN PRE-SCHOOL,OUR SAVIOURS NORWEGIAN EVANGELICAL LUTHERAN CHURCH OF NEW YORK,414-420 80 STREET,BROOKLYN,11209,718-745-0020,5153,2.01504E+16,Permitted,2 YEARS - 5 YEARS,92,No,Private,PAD2013,-74.026281,40.626772
P R O M E S A MULTICULTURAL D C  I I,PUERTO RICAN ORGANIZATION TO MOTIVATEENLIGHTEN AND SERVICE ADDICTS,300 EAST 175TH STREET,BRONX,10457,347-649-3209,7380,2.01504E+16,Permitted,2 YEARS - 5 YEARS,110,No,ACS Contracted Preschools,PAD2013,-73.904478,40.84648
PAL/WOCE HEAD START,POLICE ATHLETIC LEAGUE INC,280 LIVONIA AVENUE,BROOKLYN,11212,718-345-5219,5038,2.01411E+16,Permitted,2 YEARS - 5 YEARS,235,No,ACS Head Start,PAD2013,-73.907394,40.662455
PACCOR PRESCHOOL,AUNTY JEANS PLACEINC,118-17 GUY R BREWER BOULEVARD,QUEENS,11434,718-525-9620,6781,2.01412E+16,Permitted,2 YEARS - 5 YEARS,103,No,Private,PAD2013,-73.782124,40.683297
PADRE KENNEDY EARLY CHILDHOOD  DEVELOPMENT CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,243 SOUTH 2ND STREET,BROOKLYN,11211,718-388-3434,25418,2.0141E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.957746,40.711973
PAERDEGAT DAY SCHOOL PRE-SCHOOL,FITMAR MANAGEMENT LLC,1500 PAERDEGAT AVENUE NORTH,BROOKLYN,11236,718-531-1111,5802,2.01503E+16,Permitted,2 YEARS - 5 YEARS,58,No,Private,PAD2013,-73.902475,40.626726
PAERDEGAT INFANT/TODDLER,FITMAR MANAGEMENT LLC,1500 PAERDEGAT AVENUE NORTH,BROOKLYN,11236,718-531-1111,7329,2.01503E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.902475,40.626726
PAL  A  M SCHWARTZ  EARLY LEARN CENTER,POLICE ATHLETIC LEAGUE INC,454 PENNSYLVANIA AVE,BROOKLYN,11207,718-342-4724,8068,2.01509E+16,Permitted,2 YEARS - 5 YEARS,114,No,ACS Head Start,PAD2013,-73.894656,40.66595
PAL CAREY GARDENS DAY CARE CENTER,POLICE ATHLETIC LEAGUE INC,2964 WEST 23 STREET,BROOKLYN,11224,718-372-4044,6102,2.01406E+16,Permitted,2 YEARS - 5 YEARS,66,No,ACS Contracted Preschools,PAD2013,-73.990361,40.574248
PAL WESTERN QUEENS EARLY LEARNING CENTER,POLICE ATHLETIC LEAGUE INC,10-26 41 AVE,QUEENS,11101,718-784-2092,6149,2.01406E+16,Permitted,2 YEARS - 5 YEARS,59,No,ACS Contracted Preschools,PAD2013,-73.945191,40.754818
PAMELA C TORRES DAY CARE CENTER,PAMELA C TORRES DAY CARE CENTER INC,161 ST ANNS AVENUE,BRONX,10454,718-585-2540,1688,2.01509E+16,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,PAD2013,-73.918605,40.805932
PARADISE DAY CARE CENTER,PARADISE DAY CARE CENTER,528 EAST 95 STREET,BROOKLYN,11212,718-385-0571,7502,2.0141E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.916123,40.654645
PARENT PLUS OF ST ALBANS,PARENT PLUS OF ST ALBANSINC,195-15 LINDEN BLVD,QUEENS,11412,718-977-8555,8200,2.0141E+16,Permitted,2 YEARS - 5 YEARS,24,No,Private,PAD2013,-73.756362,40.693514
PARK AVENUE CHRISTIAN CHURCH DAY SCHOOL,PARK AVENUE CHRISTIAN CHURCH,4 WEST 76TH STREET,MANHATTAN,10023,212-288-3247,52398,2.01509E+16,Permitted,2 YEARS - 5 YEARS,139,No,Private,PAD2013,-73.974589,40.778757
PARK AVENUE METHODIST CHURCH DAY SCHOOL,PARK AVENUE UNITED METHODIST CHURCH,106 EAST 86 STREET,MANHATTAN,10028,212-289-6997,1823,2.01508E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.956886,40.779745
PARK AVENUE SYNAGOGUE EARLY CHILDHOOD CENTER,PARK AVENUE SYNAGOGUE,50 EAST 87 STREET,MANHATTAN,10128,212-369-2600,2010,2.01501E+16,Permitted,2 YEARS - 5 YEARS,95,No,Private,PAD2013,-73.957956,40.781117
PARK PLACE DAY CARE CENTER,UNITED INTERFAITH ACTION COUNCIL OF BROOKLYN INC,963 PARK PLACE,BROOKLYN,11213,718-778-8558,4133,2.01512E+16,Permitted,2 YEARS - 5 YEARS,52,Yes,ACS Contracted Preschools,PAD2013,-73.945594,40.67346
PARK PLACE DAY CAREINC,PARK PLACE DC INC,738 NOSTRAND AVENUE,BROOKLYN,11216,347-627-3955,7850,2.01512E+16,Permitted,2 YEARS - 5 YEARS,47,No,Private,PAD2013,-73.950491,40.67329
PARK PLACE DAYCARE,PARK PLACE DAY CARE INC,822-828 PARK PLACE,BROOKLYN,11216,347-627-3955,21497,2.01408E+16,Permitted,0 YEARS - 2 YEARS,34,No,Private,PAD2013,-73.950491,40.67329
PARK SLOPE CHILD CARE COLLECTIVE,PARK SLOPE CHILD CARE COLLECTIVE INC,186 ST JOHNS PLACE,BROOKLYN,11217,718-399-0397,7058,2.01509E+16,Permitted,2 YEARS - 5 YEARS,38,No,Private,PAD2013,-73.974547,40.676373
PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER  INC INFANT/TODDLER,PARK SLOPE SCHOOLHOUSE CHILD CARE CENTERINC,558  5TH AVENUE,BROOKLYN,11215,718-768-4873,8301,2.01505E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.989734,40.665476
PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER INC,PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER INC P/S,558  5TH AVENUE,BROOKLYN,11215,718-768-4873,8312,2.01505E+16,Permitted,2 YEARS - 5 YEARS,36,No,Private,PAD2013,-73.989734,40.665476
PARK WEST MONTESSORI SCHOOL INC,PARK WEST MONTESSORI SCHOOL INC,435 CENTRAL PARK WEST,MANHATTAN,10025,212-678-6072,6447,2.01503E+16,Permitted,0 YEARS - 2 YEARS,25,No,Private,PAD2013,-73.961515,40.796552
PARK WEST MONTESSORI SCHOOLINC,PARK WEST MONTESSORI INC,435 CENTRAL PARK WEST,MANHATTAN,10025,212-678-6072,6220,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,145,No,Private,PAD2013,-73.961515,40.796552
