Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
DC23155,LAUGH & LEARN PLACE,LAUGH & LEARN PLACE,228-01 MERRICK BLVD.,QUEENS,11413,718-525-5318,30717,1/14/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.676833,-73.74181
DC12281 / DC2982,"LAURELTON DAY CARE, INC. / LAURELTON DAY CARE, INC P/S",LAURELTON DAY CARE INC TODDLER PROGRAM / LAURELTON CHILD CARE INC,141-19 224 STREET,QUEENS,11413,718-712-1860 / 718-712-1860,6625 / 6624,04/06/2015 / 03/15/2016,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,16 / 89,No / No,Private / Private,105,40.6692884,-73.7514008
DC2087,LAVELLE SCHOOL FOR THE BLIND,LAVELLE SCHOOL FOR THE BLIND,3830 PAULDING AVENUE,BRONX,10469,718-882-1212,7139,6/26/2015,Permitted,2 YEARS - 5 YEARS,94,No,Private,94,40.88156,-73.852614
DC18398,LE PETIT PARADIS,LE PETIT PARADIS,1656 THIRD  AVENUE,MANHATTAN,10128,212-410-0180,7902,8/1/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.783204,-73.951119
DC19001,LEAKEE AND WATTS HEAD START PROGRAM,"LEAKE AND WATTS SERVICES, INC.",2165 RANDALL AVENUE,BRONX,10473,718-904-1689,8147,5/7/2016,Permitted,2 YEARS - 5 YEARS,94,No,Head Start (Direct Fed. Funding),94,40.8189572,-73.849116
DC20647,"LEARNING LADDER CENTER,LLC","LEARNING LADDER CENTER, LLC",125-19 101 AVENUE,QUEENS,11419,718-480-6444,20497,8/8/2014,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.6916181,-73.8201773
DC21774,LEARNING LADDER DAY CARE CENTER,"ALL CARE PROVIDER SERVICES, INC.",100A ALDRICH STREET,BRONX,10475,718-618-0782,8310,7/15/2015,Permitted,2 YEARS - 5 YEARS,80,No,Private,80,40.87025,-73.8309657
DC21893,LEAVITT DAY CARE,"LEAVITT DAY CARE, INC.",34-51 LEAVITT STREET,QUEENS,11354,718-321-2717,8364,7/7/2015,Permitted,2 YEARS - 5 YEARS,41,No,Private,41,40.7656842,-73.8290066
DC1675,LEFFERTS GARDENS MONTESSORI SCHOOL #1,MOM'S CENTER FOR EARLY CHILDHOOD DEVELOPMENT INC. #1,559 ROGERS AVENUE,BROOKLYN,11225,718-773-0287,4893,7/13/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.658188,-73.952969
DC14250,LEFFERTS GARDENS MONTESSORI SCHOOL #2,"MOM'S CENTER FOR EARLY CHILDHOOD DEVELOPMENT,INC. #2",527 ROGERS AVENUE,BROOKLYN,11225,718-773-0287,5878,7/13/2014,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.659063,-73.95309
DC14357,LEGGETT MEMORIAL CHILD CARE CENTER,"UNION SETTLEMENT ASSOCIATION, INC.",237 EAST 104 STREET,MANHATTAN,10029,212-828-6051,1997,11/2/2015,Permitted,2 YEARS - 5 YEARS,90,Yes,ACS Contracted Preschools,90,40.7899562,-73.9442164
DC2406,LEMON TREE LEARNING CENTER,"LEMON TREE OF RICHMOND,INC.",341 ELVIN STREET,STATEN ISLAND,10314,718-698-9103,5477,9/29/2014,Permitted,2 YEARS - 5 YEARS,58,No,Private,58,40.6027731,-74.121405
DC3059,LENOX HILL NEIGHBORHOOD HOUSE EARLY CHILDHOOD CENTER,LENOX HILL NEIGHBORHOOD HOUSE,331 EAST 70 STREET,MANHATTAN,10021,212-744-5022,2056,5/8/2016,Permitted,2 YEARS - 5 YEARS,144,No,ACS Head Start,144,40.767081,-73.957754
DC2261,"LES ENFANTS MONTESSORI SCHOOL,INC.","LES ENFANTS MONTESSORI SCHOOL,INC.",29-21 NEWTOWN AVENUE,QUEENS,11102,718-626-9549,4715,3/10/2016,Permitted,2 YEARS - 5 YEARS,144,No,Private,144,40.7688116,-73.9213822
DC1294,LEXINGTON CHILDREN'S CENTER,LEXINGTON CHILDREN'S CENTER,115 EAST 98 STREET,MANHATTAN,10029,212-410-1060,2156,4/7/2015,Permitted,2 YEARS - 5 YEARS,53,Yes,ACS Contracted Preschools,53,40.7875426,-73.9508049
DC10735,LIBERTY DAY CARE SERVICE,"LIBERTY DAY CARE SERVICE,INC.",478 EAST 95 STREET,BROOKLYN,11212,718-498-4384,7093,2/8/2015,Permitted,2 YEARS - 5 YEARS,31,No,Private,31,40.655643,-73.917289
DC22799,"LIBERTY DAY CARE SERVICE, INC.","LIBERTY DAY CARE SERVICE, INC.",478 EAST 95TH STREET,BROOKLYN,11212,718-498-4384,28517,12/4/2014,Permitted,0 YEARS - 2 YEARS,25,No,Private,25,40.655643,-73.917289
DC3044,LIC YMCA EARLY CHILD CARE PROGRAM,YMCA OF GREATER NY,32-23 QUEENS BOULEVARD,QUEENS,11101,718-392-7932,7741,4/8/2015,Permitted,2 YEARS - 5 YEARS,53,No,Private,53,40.7449118,-73.932345
DC14239,LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRE-SCHOOLERS,"LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRE-SCHOOLERS, INC.",3051 EAST TREMONT AVENUE,BRONX,10461,718-828-8462,6088,8/25/2015,Permitted,2 YEARS - 5 YEARS,41,No,Private,41,40.839573,-73.836203
DC1153,LIFELINE CENTER FOR CHILD DEVELOPMENT,LIFELINE CENTER FOR CHILD DEVELOPMENT,80-09 WINCHESTER BOULEVARD,QUEENS,11427,718-740-4300,5518,4/25/2015,Permitted,2 YEARS - 5 YEARS,71,No,Private,71,40.738887,-73.7329029
DC14770,LIGHT AND BRIGHT EARLY LEARNING CENTER,LIGHT AND BRIGHT EARLY LEARNING CENTER,1185 EAST 223 STREET,BRONX,10466,718-231-5031,7640,9/20/2014,Permitted,2 YEARS - 5 YEARS,28,No,Private,28,40.8817502,-73.8470964
DC1449,LIGHTHOUSE INTERNATIONAL CHILD DEVELOPMENT CENTER,LIGHTHOUSE INTERNATIONAL,111 EAST 59 STREET,MANHATTAN,10022,212-821-9600,6122,4/29/2014,Expired-InRenewal,2 YEARS - 5 YEARS,97,No,Private,97,40.762954,-73.96894
DC1128,LIGHTHOUSE PRESCHOOL,LIGHTHOUSE PRESCHOOL,80-82 BOWERY,MANHATTAN,10013,212-219-8813,7039,9/27/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.7170841,-73.9959636
DC235,LIL INVENTORS,LITTLE SHEPHERDS COMMUNITY SERVIES INC,2260 ANDREWS AVENUE,BRONX,10468,718-295-2740,7510,2/20/2016,Permitted,2 YEARS - 5 YEARS,18,No,Private,18,40.86025,-73.907998
DC20556,LIL' ANGELS CHILDCARE,"LIL' ANGELS CHILDCARE, INC.",520 ELLSWORTH AVENUE,BRONX,10465,718-792-2273,8151,5/10/2014,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private,30,40.8253879,-73.8143879
DC14376,LIL' FOOTPRINTS,LIL' FOOT PRINTS LTD,7805 20 AVENUE,BROOKLYN,11214,718-234-5890,7587,3/27/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.608807,-73.993478
DC1296,"LILLIAN WALD DAY CARE CENTER OF THE EDUCATIONAL ALLIANCE, INC.",THE EDUCATIONAL ALLIANCE,34 AVENUE D,MANHATTAN,10009,212-780-5225,4059,7/2/2015,Permitted,2 YEARS - 5 YEARS,76,No,ACS Contracted Preschools,76,40.7212725,-73.9777437
DC21520 / DC21013,NEW YORK CENTER FOR INFANTS AND TODDLERS / LION OF JUDAH CHRISTIAN ACADEMY,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC. / LION OF JUDAH CHRISTIAN ACADEMY L L C",2336 ANDREWS AVENUE,BRONX,10468,718-561-5300 / 718-772-3238,8243 / 8181,12/06/2014 / 09/10/2014,Permitted / Permitted,2 YEARS - 5 YEARS / 2 YEARS - 5 YEARS,30 / 30,No / No,Private / Private,60,40.8619397,-73.9065543
DC22737 / DC22736,LITTLE APPLE PRESCHOOL / LITTLE  APPLE PRESCHOOL,LITTLE APPLE CORP/INFANT TODDLER / LITTLE APPLE CORP,213-54 35 AVENUE,QUEENS,11361,347-581-9467 / 347-581-9467,49077 / 49057,07/31/2015 / 07/31/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,22-Dec,No / No,Private / Private,34,40.7692064,-73.7726524
DC1835,LITTLE  STARS  SCHOOL,"CHRISTINE DEGENNARO/LITTLE STARS SCHOOL, INC.",4063 EDSON AVENUE,BRONX,10466,718-994-0604,5414,11/24/2015,Permitted,2 YEARS - 5 YEARS,104,No,Private,104,40.891485,-73.844361
DC77,LITTLE ANGEL  DAY CARE  CENTER #4,LITTLE ANGEL DAYCARE CENTER INC.,899 CLARKSON AVENUE,BROOKLYN,11203,718-774-2930,6626,9/8/2015,Permitted,2 YEARS - 5 YEARS,18,No,Private,18,40.6568144,-73.9280454
DC12236,"LITTLE ANGEL DAY CARE #3, INC.","LITTLE ANGEL DAYCARE CENTER #3, INC.",12 CROWN STREET,BROOKLYN,11225,718-469-0229,7010,1/9/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private,56,40.6673704,-73.96087
DC17699,LITTLE ANGEL DAY CARE CENTER #6,"LITTLE ANGEL DAY CARE CENTER VI, INC",272 TROY AVENUE,BROOKLYN,11213,718-774-7747,8054,8/4/2015,Permitted,2 YEARS - 5 YEARS,29,Yes,Private,29,40.6697338,-73.9311758
DC22073,LITTLE ANGEL'S PLACE #1,LITTLE ANGELS PLACE 1 CORP.,159 ELLERY STREET,BROOKLYN,11206,718-576-6264,16577,5/16/2014,Expired-InRenewal,2 YEARS - 5 YEARS,27,No,Private,27,40.698921,-73.946449
DC974,LITTLE ANGELS  HOLY SPIRIT HEAD START & UPK,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF N.Y.,1960 UNIVERSITY AVENUE,BRONX,10453,718-731-8439,5078,4/12/2015,Permitted,2 YEARS - 5 YEARS,37,No,Head Start (Direct Fed. Funding),37,40.8539165,-73.9116336
DC19408,LITTLE ANGELS DAY CARE,LITTLE ANGELS DAY CARE,1802 MATTHEWS AVE,BRONX,10462,917-708-9003,8329,10/13/2014,Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.8465032,-73.8616099
DC25357,LITTLE ANGELS DAY CARE CENTER,"LITTLE ANGELS DAY CARE CENTER, INC.",906-908 PROSPECT AVENUE,BRONX,10459,347-963-9788,55320,12/18/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.821173,-73.900651
DC24545,LITTLE BELL CHILDCARE CORP.,LITTLE BELL CHILDCARE CORP.,629 51ST STREET,BROOKLYN,11220,718-686-8808,31639,1/29/2015,Permitted,2 YEARS - 5 YEARS,88,No,Private,88,40.642919,-74.007749
DC21573,LITTLE BERRIES INC,LITTLE BERRIES INC.,8416 19 AVENUE,BROOKLYN,11214,929-333-9595,8322,6/20/2015,Permitted,2 YEARS - 5 YEARS,65,No,Private,65,40.606885,-73.999846
DC19178 / DC17585,LITTLE BIRDS DAY CARE CENTER / LITTLE BIRDS DAY CARE CENTER,"LITTLE BIRDS DAY CARE CENTER, LLC. / LITTLE BIRDS DAY CARE CENTER,LLC.",490 LINWOOD STREET,BROOKLYN,11208,718-647-8095 / 718-647-8095,7953 / 7926,11/19/2014 / 11/15/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,14 / 15,No / No,Private / Private,29,40.673402,-73.882712
DC23147,"LITTLE BRILLIANT MINDS, INC.","LITTLE BRILLIANT MINDS, INC.",5916  20TH AVENUE,BROOKLYN,11204,718-234-6463,51299,8/29/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private,28,40.619754,-73.982872
DC10702,LITTLE DREAMERS,N&B FRIENDSHIP INC.,4317 AVENUE D,BROOKLYN,11203,718-451-2566,7028,6/4/2014,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.641992,-73.935479
DC20339 / DC19370,"LITTLE ELMS CHILD CARE CENTER,P/S / LITTLE ELMS CHILD CARE CENTER,I/T","BRIGHT HORIZONS CHILDREN'S CENTER, INC / BRIGHT HORIZONS CHILDREN'S CENTER,INC",77-11 BROADWAY,QUEENS,11373,718-334-2264 / 718-334-2264,8090 / 8091,12/18/2015 / 12/18/2013,Permitted / Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,15 / 18,No / No,Private / Corporate,33,40.7438469,-73.8844021
DC16871,LITTLE EXPLORERS PRESCHOOL & DAY CARE,"LITTLE EXPLORERS,INC.",213-41 40 AVENUE,QUEENS,11361,347-502-7073,7940,10/25/2014,Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.764569,-73.770771
DC21525,LITTLE FLOWER DAY CARE,LITTLE FLOWER DAY CARE CORP.,251-16 HILLSIDE  AVENUE,QUEENS,11426,646-229-3380,59577,3/24/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7356195,-73.7162189
DC1354,LITTLE FLOWERS EARLY CHILDHOOD CENTER ANNEX,LITTLE FLOWERS EARLY CHILDHOOD CENTER INC.,234-14 MERRICK BOULEVARD,QUEENS,11422,718-712-1440,7082,1/10/2015,Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.6741735,-73.735581
DC2127,"LITTLE FLOWERS EARLY CHILDHOOD CENTER, INC","LITTLE FLOWERS EARLY CHILDHOOD CENTER, INC",234-10 MERRICK BOULEVARD,QUEENS,11422,718-712-1440,6195,7/14/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.6742109,-73.7356515
DC25290,LITTLE FRIENDS ACADEMY,"FUNCTIONAL LIFE ACHIEVEMENT, INC",149-34 35 AVENUE,QUEENS,11354,718-886-6502,42372,6/3/2015,Permitted,2 YEARS - 5 YEARS,140,No,Private,140,40.766213,-73.816075
DC25611,LITTLE FRIENDS GAN PRESCHOOL,LITTLE FRIENDS GAN LLC,1030 NEILSON STREET,QUEENS,11691,718-327-3287,53140,10/17/2015,Permitted,2 YEARS - 5 YEARS,49,No,Private,49,40.6039931,-73.7476643
DC12375,LITTLE FRIENDS HOUSE 111,G.R.Z.S. CORP,12-45 150 STREET,QUEENS,11357,718-746-7505,6878,3/18/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private,22,40.7895769,-73.8140777
DC1115 / DC14178,LITTLE FRIENDS HOUSE II INF/TOD / LITTLE FRIENDS HOUSE II,L & R DAY CARE CENTER INC. / L & R DAY CARE CENTER INC,75-41 164 STREET,QUEENS,11366,718-380-8800 / 718-380-8800,5762 / 5761,11/02/2015 / 10/27/2014,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,20 / 34,No / No,Private / Private,54,40.7261996,-73.8049076
DC2429,LITTLE FRIENDS HOUSE III,G.R.Z.S. CORP.,12-45 150 ST,QUEENS,11357,718-746-7505,6879,3/11/2015,Permitted,0 YEARS - 2 YEARS,10,No,Private,10,40.7895769,-73.8140777
DC2298,LITTLE FRIENDS SCHOOL OF ELMHURST,LITTLE FRIENDS SCHOOL ELMHURST,85-03 BRITTON AVENUE,QUEENS,11373,718-458-5415,6759,4/1/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.745438,-73.880891
DC2313,LITTLE FRIENDS SCHOOL/SUNNYSIDE INC.,LITTLE FRIENDS SCHOOL SUNNYSIDE INC.,43-42 47 STREET,QUEENS,11104,718-786-4644,4326,11/19/2015,Permitted,2 YEARS - 5 YEARS,101,No,Private,101,40.743547,-73.917912
DC21769 / DC21038,LITTLE HANDS AND FEET DAY CARE LLC / LITTLE HANDS AND FEET DAY CARE DAY CARE,"LITTLE HANDS AND FEET DAY CARE LLC / LITTLE HANDS AND FEET DAYCARE, LLC.",1270 BAY RIDGE PARKWAY,BROOKLYN,11228,718-680-5437 / 718-680-5437,8402 / 8355,10/24/2015 / 11/02/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,25 / 31,No / No,Private / Private,56,40.6209628,-74.0083623
DC11063,LITTLE L.A.M.B. PRE-SCHOOL,"LITTLE L.A.M.B. PRE-SCHOOL, INC.",2 GRIDLEY AVENUE,STATEN ISLAND,10303,718-448-7774,6114,5/27/2014,Expired-InRenewal,2 YEARS - 5 YEARS,120,No,Private,120,40.6315253,-74.1592631
DC2262,LITTLE MEADOWS EARLY CHILDHOOD CENTER,LITTLE MEADOWS EARLY CHILDHOOD CENTER,67-25 188 STREET,QUEENS,11365,718-454-6460,7200,1/22/2016,Permitted,2 YEARS - 5 YEARS,105,Yes,Private,105,40.7362979,-73.7844239
DC15215,LITTLE MIRACLES PRESCHOOL,"EDEN II SCHOOL FOR AUTISTIC CHILDREN, INC.",75 SKYLINE DRIVE,STATEN ISLAND,10304,718-727-8202,7702,1/4/2015,Permitted,2 YEARS - 5 YEARS,31,No,Private,31,40.6157263,-74.0788843
DC2640,LITTLE MISSIONARY'S DAY NURSERY,LITTLE MISSIONARY'S DAY NURSERY,93 ST MARK'S PLACE,MANHATTAN,10009,212-777-9774,4571,1/17/2015,Permitted,2 YEARS - 5 YEARS,39,No,Private,39,40.7275864,-73.984723
DC24638,LITTLE MUNCHKINS 42,LITTLE MUNCHKINS 42 INC.,1411 41ST STREET,BROOKLYN,11218,718-853-3160,38297,4/25/2015,Permitted,2 YEARS - 5 YEARS,21,No,Private,21,40.638131,-73.984722
DC22712,LITTLE MUNCHKINS 47,LITTLE MUNCHKINS 47 INC.,4712 12TH AVENUE,BROOKLYN,11219,718-437-7261,21739,8/29/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.63738,-73.993637
DC25653,LITTLE MUNCHKINS 56,"LITTLE MUNCHKINS 56, INC.",1460 56TH STREET,BROOKLYN,11219,718-437-7261,55817,1/7/2016,Permitted,0 YEARS - 2 YEARS,29,No,Private,29,40.6288697,-73.9925248
DC25695,LITTLE NEST COMMUNITY NURSERY,"LITTLE NEST COMMUNITY NURSERY, LLC",511 CHURCH AVENUE,BROOKLYN,11218,718-484-0033,55258,12/17/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private,28,40.6446947,-73.9752876
DC11386,LITTLE ONES - PRESCHOOL,LITTLE ONES - PRESCHOOL,4-74 48 AVENUE,QUEENS,11109,718-392-1254,7424,9/15/2015,Permitted,2 YEARS - 5 YEARS,45,No,Private,45,40.744812,-73.9575574
DC23017,"LITTLE ONES, LLC","LITTLE ONES, LLC",50-13 5 STREET,QUEENS,11101,718-392-4140,56577,2/4/2016,Permitted,2 YEARS - 5 YEARS,24,No,Private,24,40.7427063,-73.9565775
DC922,LITTLE PARADISE INC,LITTLE PARADISE INC,4714 CLARENDON ROAD,BROOKLYN,11203,718-629-3230,6736,3/22/2016,Permitted,2 YEARS - 5 YEARS,27,No,Private,27,40.644032,-73.931944
DC1796,LITTLE PEOPLE'S ACADEMY,JANET LAWRENCE,3217 CHURCH AVENUE,BROOKLYN,11226,718-287-6200,6382,6/27/2015,Permitted,2 YEARS - 5 YEARS,23,No,Private,23,40.6511319,-73.94701
DC2045,LITTLE PEOPLES DAY CARE,LITTLE PEOPLES DAY CARE INC.,1600 SEDGWICK AVENUE,BRONX,10453,718-731-7575,5644,11/10/2014,Permitted,2 YEARS - 5 YEARS,38,No,Private,38,40.8487708,-73.9233522
DC19468 / DC22180,LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC ( I/T ) / LITTLE PRINCETON NURSERY AND  DAY CARE CENTER LLC (PRESCHOOL),LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC / LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC,10023 SEAVIEW   AVENUE,BROOKLYN,11236,718-513-4416 / 718-513-4416,12558 / 12617,02/17/2016 / 02/21/2016,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,18 / 18,No / No,Private / Private,36,40.635914,-73.887016
DC20961,LITTLE PRODIGIES DAYCARE INC.,LITTLE PRODIGIES DAYCARE INC.,3462  EAST TREMONT AVENUE,BRONX,10465,718-239-4853,13038,2/29/2016,Permitted,2 YEARS - 5 YEARS,53,No,Private,53,40.8317397,-73.8271713
DC1010 / DC12228,LITTLE RED RIDING HOOD CORP.  P/S / LITTLE RED RIDING HOOD CORP.,LITTLE RED RIDING HOOD CORP. / LITTLE RED RIDING HOOD CORP. (I/T),237 LEFFERTS AVENUE,BROOKLYN,11225,718-953-0900 / 718-953-0900,7240 / 7241,01/30/2016 / 01/30/2016,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,51 / 24,No / No,Private / Private,75,40.6622195,-73.9533026
DC1167,LITTLE RED WAGON,"LITTLE RED WAGON, INC.",188-06 JAMAICA AVENUE,QUEENS,11423,718-468-6627,6956,2/1/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.7109393,-73.7704227
DC25984,LITTLE SCHOLARS DAY CARE CENTER,LITTLE SCHOLARS DAY CARE CENTER INC.,5721 6TH  AVENUE,BROOKLYN,11220,718-633-8828,56037,1/17/2016,Permitted,2 YEARS - 5 YEARS,86,No,Private,86,40.639251,-74.01239
DC21141,LITTLE SCHOLARS EARLY DEVELOPMENT CENTER,"LITTLE SCHOLARS EARLY DEVELOMENT CENTER, L L C",850 JENNINGS STREET,BRONX,10459,718-887-2928,8305,6/17/2015,Permitted,2 YEARS - 5 YEARS,53,No,Private,53,40.8322145,-73.8933567
DC25556,LITTLE SCHOLARS LEARNING CENTER,"M AND N CHILD CARE, INC.",50 QUENTIN ROAD,BROOKLYN,11223,718-373-7046,49897,8/9/2015,Permitted,0 YEARS - 2 YEARS,15,No,Private,15,40.605085,-73.98473
DC25557,LITTLE SCHOLARS LEARNING CENTER,"M AND N CHILD CARE, INC.",52 QUENTIN ROAD,BROOKLYN,11223,718-373-7046,49917,8/9/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.605092,-73.984658
DC17965,LITTLE SCHOLARS ON FARMERS,HAPPY PARENTS HAPPY KIDS INC.,117-25 FARMERS BLVD,QUEENS,11412,718-949-2390,8337,10/15/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,30,40.6908359,-73.7622302
DC3028,LITTLE STAR OF BROOME STREET DAY CARE CENTER,"CHINESE-AMERICAN PLANNING COUNCIL, INC.",151 BROOME STREET,MANHATTAN,10002,212-673-2680,4223,5/26/2015,Permitted,2 YEARS - 5 YEARS,75,Yes,ACS Contracted Preschools,75,40.7164565,-73.9849153
DC21405,LITTLE STAR PRESCHOOL,CONGREGATION OORAH,374  RIDGEWOOD AVENUE,STATEN ISLAND,10312,718-948-7827,8220,10/7/2014,Permitted,2 YEARS - 5 YEARS,48,No,Private,48,40.556889,-74.165678
DC16772,LITTLE STARS,'ABC' LITTLE STAR DAY CARE INC.,2345     85TH STREET,BROOKLYN,11214,718-265-0156,7729,3/9/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private,18,40.60064,-73.989593
DC11675,LITTLE STARS,'ABC' LITTLE STAR DC INC.,2345 85 STREET,BROOKLYN,11214,718-265-0156,7730,3/9/2015,Permitted,2 YEARS - 5 YEARS,23,No,Private,23,40.60064,-73.989593
DC1711,LITTLE STARS DAY CARE CENTER INC.,LITTLE STARS DAY CARE CENTER INC.,588 BROOKLYN AVENUE,BROOKLYN,11203,718-467-5800,5299,2/16/2016,Permitted,2 YEARS - 5 YEARS,60,No,Private,60,40.6598588,-73.9453862
DC22683,"LITTLE STARS THREE, INC.","LITTLE STARS THREE, INC.",1420 BURKE AVENUE,BRONX,10469,347-947-3171,18228,6/22/2016,Permitted,2 YEARS - 5 YEARS,64,No,Private,64,40.872222,-73.846054
DC1977,LITTLE STARS TOO,"LITTLE STARS TOO, INC.",1083 ALLERTON AVENUE,BRONX,10469,718-515-8800,7037,9/3/2014,Permitted,2 YEARS - 5 YEARS,69,No,Private,69,40.865712,-73.856455
DC950,"LITTLE SUN PEOPLE, INC.",LITTLE SUN PEOPLE INC.,1360 FULTON STREET,BROOKLYN,11216,718-789-7330,5955,1/18/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private,56,40.6801253,-73.9464942
DC22441,LITTLE SUNSHINE PRESCHOOL INC.,"LITTLE SUNSHINE, INC.",1815 85TH STREET,BROOKLYN,11214,347-921-1815,55497,12/23/2015,Permitted,2 YEARS - 5 YEARS,83,No,Private,83,40.607875,-74.001361
DC19849,LITTLE SWEET ANGELS PRESCHOOL,"SWEET ANGEL 88,INC.",146-27 BEECH AVE.,QUEENS,11355,718-888-1819,8282,3/3/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.758199,-73.8178329
DC3090,LITTLE TOTS RED WAGON,"LITTLE TOTS RED WAGON, INC.",204-28 ROCKAWAY POINT BOULEVARD,QUEENS,11697,718-945-1484,6998,6/8/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,54,-73.9251075,
DC3101,"LITTLE WONDERS, INC.","LITTLE WONDERS, INC.",88-66 MYRTLE AVENUE,QUEENS,11385,718-850-0400,7079,11/5/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,54,40.7026941,-73.8563397
DC1926,LITTLE WORLD OF LEARNING,"EARLY LEARNING, INC.",7211 13 AVENUE,BROOKLYN,11228,718-232-7177,6487,12/12/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.621549,-74.005696
DC17383,LOLLY'S LEARNING CENTER,"LOLLY'S EARLY CHILDHOOD CENTER,INC",5-44 47TH   AVENUE,QUEENS,11101,718-729-9071,8129,5/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,40,No,Private,40,40.7450036,-73.9539223
DC18281,LONG XING DAY CARE CENTER,"LONG XING DAY CARE CENTER, INC.",762 59 STREET,BROOKLYN,11220,718-238-8868,7895,7/21/2014,Permitted,2 YEARS - 5 YEARS,85,No,Private,85,40.636232,-74.009687
DC12239,"LONG XING DAY CARE CENTER, INC.","LONG XING DAY CARE CENTER, INC.",825 57 STREET,BROOKLYN,11220,718-853-8989,7364,3/15/2016,Permitted,2 YEARS - 5 YEARS,39,No,Private,39,40.636921,-74.006871
DC25436,"LOS NINOS SERVICES, INC.","LOS NINOS SERVICES, INC.",4024 AMBOY ROAD,STATEN ISLAND,10308,718-984-9022,40797,5/20/2015,Permitted,2 YEARS - 5 YEARS,32,No,Private,32,40.5495307,-74.1509798
DC339,LOUIS A. FICKLING CHILD DEVELOPMENT CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1240 WEBSTER AVENUE,BRONX,10456,718-538-7135,2051,11/1/2015,Permitted,2 YEARS - 5 YEARS,53,Yes,ACS Contracted Preschools,53,40.8326073,-73.9091575
DC2220,LOUIS GREEN & EVELYN DAVIS GREEN  CHILD CARE CENTER,IMAGINE EARLY LEARNING CENTER,60-62 EAST 97 STREET,MANHATTAN,10029,212-410-2077,7087,6/12/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private,56,40.787354,-73.952983
DC14260,LOUIS GREEN & EVELYN DAVIS GREEN CHILD CARE CENTER,IMAGINE EARLY LEARNING CENTER,60-62 EAST 97TH STREET,MANHATTAN,10029,212-410-2077,7054,12/28/2014,Permitted,0 YEARS - 2 YEARS,25,No,Private,25,40.787354,-73.952983
DC236,LOVE ME TENDER,LOVE ME TENDER SCHOOL FOR CHILD DEVELOPMENT INC.,2500 JOHNSON AVENUE,BRONX,10463,718-884-7252,5836,12/24/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private,36,40.876703,-73.917827
