Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lat,Lon
DC2045,LITTLE PEOPLES DAY CARE,LITTLE PEOPLES DAY CARE INC.,1600 SEDGWICK AVENUE,BRONX,10453,718-731-7575,5644,11/10/2014,Permitted,2 YEARS - 5 YEARS,38,No,Private,40.8487708,-73.9233522
DC22109,LITTLE PICKLES,ERL GROUP LLC,2169 CONEY ISLAND AVENUE,BROOKLYN,11223,718-676-1725,32577,02/14/2015,Permitted,0 YEARS - 2 YEARS,15,No,Private,40.60421100000001,-73.96127899999999
DC22180,LITTLE PRINCETON NURSERY AND  DAY CARE CENTER LLC (PRESCHOOL),LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC,10023 SEAVIEW   AVENUE,BROOKLYN,11236,718-513-4416,12617,02/21/2016,Permitted,2 YEARS - 5 YEARS,18,No,Private,40.635914,-73.887016
DC19468,LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC ( I/T ),LITTLE PRINCETON NURSERY AND DAY CARE CENTER LLC,10023 SEAVIEW   AVENUE,BROOKLYN,11236,718-513-4416,12558,02/17/2016,Permitted,0 YEARS - 2 YEARS,18,No,Private,40.635914,-73.887016
DC20961,LITTLE PRODIGIES DAYCARE INC.,LITTLE PRODIGIES DAYCARE INC.,3462  EAST TREMONT AVENUE,BRONX,10465,718-239-4853,13038,02/29/2016,Permitted,2 YEARS - 5 YEARS,53,No,Private,40.8317397,-73.8271713
DC12228,LITTLE RED RIDING HOOD CORP.,LITTLE RED RIDING HOOD CORP. (I/T),237 LEFFERTS AVENUE,BROOKLYN,11225,718-953-0900,7241,01/30/2016,Permitted,0 YEARS - 2 YEARS,24,No,Private,40.6622195,-73.9533026
DC1010,LITTLE RED RIDING HOOD CORP.  P/S,LITTLE RED RIDING HOOD CORP.,237 LEFFERTS AVENUE,BROOKLYN,11225,718-953-0900,7240,01/30/2016,Permitted,2 YEARS - 5 YEARS,51,No,Private,40.6622195,-73.9533026
DC1167,LITTLE RED WAGON,"LITTLE RED WAGON, INC.",188-06 JAMAICA AVENUE,QUEENS,11423,718-468-6627,6956,02/01/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,40.7109393,-73.7704227
DC25984,LITTLE SCHOLARS DAY CARE CENTER,LITTLE SCHOLARS DAY CARE CENTER INC.,5721 6TH  AVENUE,BROOKLYN,11220,718-633-8828,56037,01/17/2016,Permitted,2 YEARS - 5 YEARS,86,No,Private,40.639251,-74.01239
DC21141,LITTLE SCHOLARS EARLY DEVELOPMENT CENTER,"LITTLE SCHOLARS EARLY DEVELOMENT CENTER, L L C",850 JENNINGS STREET,BRONX,10459,718-887-2928,8305,06/17/2015,Permitted,2 YEARS - 5 YEARS,53,No,Private,40.8322145,-73.8933567
DC25556,LITTLE SCHOLARS LEARNING CENTER,"M AND N CHILD CARE, INC.",50 QUENTIN ROAD,BROOKLYN,11223,718-373-7046,49897,08/09/2015,Permitted,0 YEARS - 2 YEARS,15,No,Private,40.605085,-73.98473
DC25557,LITTLE SCHOLARS LEARNING CENTER,"M AND N CHILD CARE, INC.",52 QUENTIN ROAD,BROOKLYN,11223,718-373-7046,49917,08/09/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.605092,-73.984658
DC17965,LITTLE SCHOLARS ON FARMERS,HAPPY PARENTS HAPPY KIDS INC.,117-25 FARMERS BLVD,QUEENS,11412,718-949-2390,8337,10/15/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,40.6908359,-73.76223019999999
DC3028,LITTLE STAR OF BROOME STREET DAY CARE CENTER,"CHINESE-AMERICAN PLANNING COUNCIL, INC.",151 BROOME STREET,MANHATTAN,10002,212-673-2680,4223,05/26/2015,Permitted,2 YEARS - 5 YEARS,75,Yes,ACS Contracted Preschools,40.7164565,-73.98491530000001
DC21405,LITTLE STAR PRESCHOOL,CONGREGATION OORAH,374  RIDGEWOOD AVENUE,STATEN ISLAND,10312,718-948-7827,8220,10/07/2014,Permitted,2 YEARS - 5 YEARS,48,No,Private,40.556889,-74.165678
DC16772,LITTLE STARS,'ABC' LITTLE STAR DAY CARE INC.,2345     85TH STREET,BROOKLYN,11214,718-265-0156,7729,03/09/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private,40.60064,-73.989593
DC11675,LITTLE STARS,'ABC' LITTLE STAR DC INC.,2345 85 STREET,BROOKLYN,11214,718-265-0156,7730,03/09/2015,Permitted,2 YEARS - 5 YEARS,23,No,Private,40.60064,-73.989593
DC1711,LITTLE STARS DAY CARE CENTER INC.,LITTLE STARS DAY CARE CENTER INC.,588 BROOKLYN AVENUE,BROOKLYN,11203,718-467-5800,5299,02/16/2016,Permitted,2 YEARS - 5 YEARS,60,No,Private,40.65985879999999,-73.9453862
DC22683,"LITTLE STARS THREE, INC.","LITTLE STARS THREE, INC.",1420 BURKE AVENUE,BRONX,10469,347-947-3171,18228,06/22/2016,Permitted,2 YEARS - 5 YEARS,64,No,Private,40.872222,-73.846054
DC1977,LITTLE STARS TOO,"LITTLE STARS TOO, INC.",1083 ALLERTON AVENUE,BRONX,10469,718-515-8800,7037,09/03/2014,Permitted,2 YEARS - 5 YEARS,69,No,Private,40.86571199999999,-73.856455
DC950,"LITTLE SUN PEOPLE, INC.",LITTLE SUN PEOPLE INC.,1360 FULTON STREET,BROOKLYN,11216,718-789-7330,5955,01/18/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private,40.6801253,-73.9464942
DC22441,LITTLE SUNSHINE PRESCHOOL INC.,"LITTLE SUNSHINE, INC.",1815 85TH STREET,BROOKLYN,11214,347-921-1815,55497,12/23/2015,Permitted,2 YEARS - 5 YEARS,83,No,Private,40.607875,-74.001361
DC19849,LITTLE SWEET ANGELS PRESCHOOL,"SWEET ANGEL 88,INC.",146-27 BEECH AVE.,QUEENS,11355,718-888-1819,8282,03/03/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private,40.758199,-73.8178329
DC3090,LITTLE TOTS RED WAGON,"LITTLE TOTS RED WAGON, INC.",204-28 ROCKAWAY POINT BOULEVARD,QUEENS,11697,718-945-1484,6998,06/08/2014,Expired-InRenewal,2 YEARS - 5 YEARS,54,No,Private,40.5595147,-73.9251075
DC3101,"LITTLE WONDERS, INC.","LITTLE WONDERS, INC.",88-66 MYRTLE AVENUE,QUEENS,11385,718-850-0400,7079,11/05/2014,Permitted,2 YEARS - 5 YEARS,54,No,Private,40.7026941,-73.85633969999999
DC1926,LITTLE WORLD OF LEARNING,"EARLY LEARNING, INC.",7211 13 AVENUE,BROOKLYN,11228,718-232-7177,6487,12/12/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,40.621549,-74.005696
DC17383,LOLLY'S LEARNING CENTER,"LOLLY'S EARLY CHILDHOOD CENTER,INC",5-44 47TH   AVENUE,QUEENS,11101,718-729-9071,8129,05/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,40,No,Private,40.7450036,-73.9539223
DC18281,LONG XING DAY CARE CENTER,"LONG XING DAY CARE CENTER, INC.",762 59 STREET,BROOKLYN,11220,718-238-8868,7895,07/21/2014,Permitted,2 YEARS - 5 YEARS,85,No,Private,40.636232,-74.009687
DC12239,"LONG XING DAY CARE CENTER, INC.","LONG XING DAY CARE CENTER, INC.",825 57 STREET,BROOKLYN,11220,718-853-8989,7364,03/15/2016,Permitted,2 YEARS - 5 YEARS,39,No,Private,40.63692100000001,-74.00687099999999
DC25436,"LOS NINOS SERVICES, INC.","LOS NINOS SERVICES, INC.",4024 AMBOY ROAD,STATEN ISLAND,10308,718-984-9022,40797,05/20/2015,Permitted,2 YEARS - 5 YEARS,32,No,Private,40.5495307,-74.1509798
DC339,LOUIS A. FICKLING CHILD DEVELOPMENT CENTER,"CLAREMONT NEIGHBORHOOD CENTER, INC.",1240 WEBSTER AVENUE,BRONX,10456,718-538-7135,2051,11/01/2015,Permitted,2 YEARS - 5 YEARS,53,Yes,ACS Contracted Preschools,40.8326073,-73.90915749999999
DC2220,LOUIS GREEN & EVELYN DAVIS GREEN  CHILD CARE CENTER,IMAGINE EARLY LEARNING CENTER,60-62 EAST 97 STREET,MANHATTAN,10029,212-410-2077,7087,06/12/2015,Permitted,2 YEARS - 5 YEARS,56,No,Private,40.787354,-73.952983
DC14260,LOUIS GREEN & EVELYN DAVIS GREEN CHILD CARE CENTER,IMAGINE EARLY LEARNING CENTER,60-62 EAST 97TH STREET,MANHATTAN,10029,212-410-2077,7054,12/28/2014,Permitted,0 YEARS - 2 YEARS,25,No,Private,40.787354,-73.952983
DC236,LOVE ME TENDER,LOVE ME TENDER SCHOOL FOR CHILD DEVELOPMENT INC.,2500 JOHNSON AVENUE,BRONX,10463,718-884-7252,5836,12/24/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private,40.876703,-73.917827
DC21819,"LOVE, PEACE, & JOY CHILD CARE II INC. INFANT/TODDLER","LOVE, PEACE, & JOY CHILD CARE II INC.",111-12 FARMERS BLVD.,QUEENS,11412,718-264-0555,8289,04/27/2015,Permitted,0 YEARS - 2 YEARS,14,No,Private,40.701447,-73.76557
DC21817,"LOVE, PEACE, AND JOY CHILD CARE II, INC.","LOVE, PEACE, AND JOY CHILD CARE II, INC.",111-10 FARMERS BLVD.,QUEENS,11412,718-264-0555,8343,05/09/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private,40.701529,-73.76558
DC21820,"LOVE, PEACE,AND JOY CHILD CARE II INC. PRESCHOOL","LOVE, PEACE,AND JOY CHILD CARE II INC.",111-12 FARMERS BLVD,QUEENS,11412,718-264-0555,8291,05/16/2015,Permitted,2 YEARS - 5 YEARS,32,No,Private,40.701447,-73.76557
DC22697,LOWER EAST SIDE MONTESSORI,"ASKS INDUSTRIES, INC.",99 SUFFOLK STREET,MANHATTAN,10002,212-982-4444,15297,04/24/2016,Permitted,0 YEARS - 2 YEARS,28,No,Private,40.7185131,-73.98647869999999
DC22991,LOWER EAST SIDE MONTESSORI,"ASKS INDUSTRIES, INC.",99 SUFFOLK STREET,MANHATTAN,10002,212-982-4444,16977,05/22/2016,Permitted,2 YEARS - 5 YEARS,18,No,Private,40.7185131,-73.98647869999999
DC20469,LOYALTY DAYCARE L L C,LOYALTY DAYCARE L L C,4226 3RD AVENUE,BRONX,10457,718-294-0134,14397,04/04/2016,Permitted,0 YEARS - 2 YEARS,58,Yes,Private,40.847389,-73.895471
DC20618,LOYALTY DAYCARE LLC,LOYALTY DAYCARE LLC,4226 THIRD AVENUE,BRONX,10457,718-294-0134,14418,04/04/2016,Permitted,2 YEARS - 5 YEARS,57,Yes,Private,40.847389,-73.895471
DC1297,LUCILLE ROSE DAY CARE CENTER,"ATLED, INC.",148 BEACH 59 STREET,QUEENS,11692,718-634-0331,5570,05/11/2015,Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools,40.5906476,-73.7887398
DC19523,LURIA ACADEMY OF BROOKLYN,"LURIA OF BROOKLYN,INC.",238 ST. MARKS AVENUE,BROOKLYN,11238,718-398-3290,8356,07/27/2015,Permitted,2 YEARS - 5 YEARS,22,No,Private,40.6783418,-73.9681032
DC2263,M S K C C CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",475 MAIN STREET,MANHATTAN,10044,212-224-0129,7236,08/31/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,40.7600366,-73.95177799999999
DC17041,M. KALIX AND NATALIE LINDOR NURSERY INC. I/T,MAGALIE EARLY INTERVENTION DEVELOPMENTAL CENTER INC I/T,951 EAST 84TH STREET,BROOKLYN,11236,718-209-1347,8101,12/21/2015,Permitted,0 YEARS - 2 YEARS,44,No,Private,40.636564,-73.909044
DC1998,M.S. SUNSHINE DAY CARE CENTER,M.S. SUNSHINE INC.,3096 BRIGHTON 6TH STREET,BROOKLYN,11235,718-648-8786,6364,12/06/2014,Permitted,2 YEARS - 5 YEARS,49,No,Private,40.576885,-73.96158299999999
DC20414,M.S.SUNSHINE INC. ( TODDLERS),MS SUNSHINE INC.,3096 BRIGHTON 6TH STREET,BROOKLYN,11235,718-648-8786,8117,12/21/2015,Permitted,0 YEARS - 2 YEARS,6,No,Private,40.576885,-73.96158299999999
DC1550,MACADEMY,"Q KINGDOM MINISTRIES, INCORPORATED",1313 UNION STREET,BROOKLYN,11225,718-221-5566,6689,12/15/2014,Permitted,2 YEARS - 5 YEARS,38,No,Private,40.669056,-73.948633
DC2152,MACEDONIA CHILD DEVELOPMENT CENTER,"GREATER FLUSHING COMMUNITY COUNCIL,INC.",37-22 UNION STREET,QUEENS,11354,718-939-6060,3015,05/07/2016,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,40.7618468,-73.82725549999999
DC24587,MACHNA SHALVA I,"B'ABOVE WORLDWIDE INSTITUTE, INC.",1362 49TH STREET,BROOKLYN,11219,718-436-2212,30318,01/07/2015,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,40.63408270000001,-73.99058389999999
DC23250,MACHNA SHALVA II,"B'ABOVE WORLDWIDE INSTITUTE, INC.",1363 50TH STREET,BROOKLYN,11219,718-438-0060,30319,01/07/2015,Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,40.63362900000001,-73.990819
DC1713,MACHZIK BRACHA LEARNING CENTER,MACHZIK BRACHA,1177 48 STREET,BROOKLYN,11219,718-972-7310,5723,05/25/2015,Permitted,2 YEARS - 5 YEARS,100,No,Private,40.6371579,-73.9941104
DC16894,MADISON  PLAYGROUP,"MADISON PLAYGROUP,LTD.",230 EAST 60TH ST,MANHATTAN,10022,212-879-9161,8105,11/16/2015,Permitted,2 YEARS - 5 YEARS,15,No,Private,40.7614278,-73.9650489
DC22420,MAGIC KINGDOM,MAGIC KINGDOM LLC.,5215 CHURCH AVENUE,BROOKLYN,11203,718-495-5333,14118,03/28/2014,Expired-InRenewal,2 YEARS - 5 YEARS,18,No,Private,40.65249499999999,-73.927938
DC14921,MAGIC KINGDOM OF SHEEPSHEAD BAY,MAGIC KINGDOM OF SHEEPSHEAD BAY LLC,2484 EAST 18TH STREET,BROOKLYN,11235,718-648-1988,7790,08/28/2015,Permitted,2 YEARS - 5 YEARS,41,No,Private,40.59052200000001,-73.9521479
DC18887,MAGIC YEARS INFANT/TODDLER PROGRAM,MAGIC YEARS DAYCARE CENTER CORP,90-20 55 AVENUE,QUEENS,11373,718-271-1850,7962,10/25/2014,Permitted,0 YEARS - 2 YEARS,18,No,Private,40.7321468,-73.8807185
DC11719,MAGIC YEARS PRE-SCHOOL,MAGIC YEARS DAYCARE CENTER CORP,90-20 55 AVENUE,QUEENS,11373,718-271-1850,7941,10/25/2014,Permitted,2 YEARS - 5 YEARS,87,No,Private,40.7321468,-73.8807185
DC10518,MAGICAL YEARS EARLY CHILDHOOD CENTER,"SUNSET BAY COMMUNITY SERVICES,INC.",230 60 STREET,BROOKLYN,11220,718-439-0450,6083,03/11/2015,Permitted,0 YEARS - 2 YEARS,38,No,ACS Contracted Preschools,40.6429586,-74.0221663
DC17496,MAGNA'S DAY CARE CENTER,MAGNA'S DAY CARE CENTER,1662 CARROLL STREET,BROOKLYN,11213,718-493-8467,7882,04/14/2014,Expired-InRenewal,2 YEARS - 5 YEARS,20,No,Private,40.665884,-73.9320709
DC18982,MAKING A DIFFERENCE CENTER,MAKING A DIFFERENCE DAYCARE INC.,670 ROCKAWAY PARKWAY,BROOKLYN,11236,718-484-8110,8013,05/01/2015,Permitted,2 YEARS - 5 YEARS,44,No,Private,40.6526349,-73.91116199999999
DC24693,MALCOLM X DAY CARE,EPISCOPAL SOCIAL SERVICES,111-12 NORTHERN BLVD,QUEENS,11368,718-651-7880,26197,10/24/2014,Permitted,2 YEARS - 5 YEARS,157,No,ACS Contracted Preschools,40.757751,-73.857951
DC17860,MANGO'S PLACE DAY CARE CENTER,MANGO'S PLACE DAY CARE CORP.,506 WASHINGTON AVENUE,BROOKLYN,11238,718-857-4250,7888,06/24/2014,Permitted,2 YEARS - 5 YEARS,60,No,Private,40.6837974,-73.96513569999999
DC11000,"MANHATTAN CHILDREN'S PROGRAM, U C P OF N Y C",UNITED CEREBRAL PALSY OF N Y C INC.,122 EAST 23 STREET,MANHATTAN,10010,212-677-7400,7349,01/09/2015,Permitted,2 YEARS - 5 YEARS,114,No,Private,40.73943,-73.985404
DC24947,MANHATTAN DAY SCHOOL,"YESHIVA OHAR TORAH COMMUNITY SCHOOL, INC.",310 WEST 75TH STREET,MANHATTAN,10023,212-376-6800,29539,12/18/2014,Permitted,2 YEARS - 5 YEARS,30,No,Private,40.7820083,-73.9841862
DC20709,MANHATTAN DEVELOPMENT ACADEMY,MANHATTAN PENTACOSTAL CHURCH,541 WEST 125TH STREET,MANHATTAN,10027,212-222-6860,8279,04/15/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private,40.8147811,-73.9570731
DC1179,"MANHATTAN KID'S CLUB II, INC.","THE MANHATTAN KIDS CLUB II, INC.",629 EAST 14 STREET,MANHATTAN,10009,212-533-1977,5344,12/06/2015,Permitted,0 YEARS - 2 YEARS,46,Yes,Private,40.7291613,-73.976652
DC1117,MANHATTAN NURSERY SCHOOL,"MIDTOWN CARE,INC.",38 WEST 32 STREET,MANHATTAN,10001,212-631-0543,6417,05/27/2015,Permitted,2 YEARS - 5 YEARS,83,Yes,Private,40.7477717,-73.98746790000001
DC14193,MANHATTAN NURSERY SCHOOL,MIDTOWN CARE INC.,38 WEST 32ND STREET,MANHATTAN,10001,212-631-0543,6720,02/06/2016,Permitted,0 YEARS - 2 YEARS,9,Yes,Private,40.7477717,-73.98746790000001
DC189,MARBLE HILL NURSERY SCHOOL,MARBLE HILL NURSERY SCHOOL,5470 BROADWAY,BRONX,10463,718-562-7055,1613,09/12/2014,Permitted,2 YEARS - 5 YEARS,60,No,Private,40.8762773,-73.9066706
DC14284,MARC ACADEMY AND FAMILY CENTER,"MARC ACADEMY AND FAMILY CENTER,INC.",2111 JEROME AVENUE,BRONX,10453,718-562-3410,6764,03/10/2016,Permitted,2 YEARS - 5 YEARS,70,No,ACS Contracted Preschools,40.854989,-73.906697
DC14171,MARCKTELL MANAGEMENT ( JFKIDS PORT),MARCTELL MANAGEMENT,BLDG #350 JFK AIRPORT,QUEENS,11430,718-553-5437,7175,10/17/2015,Permitted,2 YEARS - 5 YEARS,80,No,Private,40.6435529,-73.7821139
DC343,MARCY CHILDREN'S CENTER,"EPISCOPAL SOCIAL SERVICES OF NEW YORK, INC.",494 MARCY AVENUE,BROOKLYN,11206,718-243-2776,5264,12/19/2014,Permitted,2 YEARS - 5 YEARS,53,No,ACS Contracted Preschools,40.6980269,-73.9497622
DC344,MARIE DURDIN CHILD CARE CENTER,"COLONY SOUTH BROOKLYN HOUSES, INC.",2700 LINDEN BOULEVARD,BROOKLYN,11208,718-647-4730,1699,04/08/2016,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,40.668292,-73.864436
DC22158,MAROOS CHILD CARE CENTER,MAROOS  INC,45-02 82ND STREET,QUEENS,11373,718-396-7479,50857,08/20/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.741448,-73.883206
DC1300,"MARTIN L. KING, JR. MEMORIAL DAY CARE CTR","FLUSHING DAY CARE CENTER,INC.",36-06 PRINCE STREET,QUEENS,11354,718-886-3165,4079,04/21/2016,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,40.762049,-73.83335799999999
DC10577,"MARY BOBB DAY CARE,INC. #3","MARY BOBB DAY CARE,INC.",1289 NOSTRAND AVENUE,BROOKLYN,11226,718-693-9121,6933,09/20/2015,Permitted,2 YEARS - 5 YEARS,52,No,Private,40.6556136,-73.9498866
DC11744,MARY BOBB LEARNING ACADEMY,"MARY BOBB DAY CARE,INC.",1187 NOSTRAND AVENUE,BROOKLYN,11225,718-604-4400,7594,11/19/2014,Permitted,2 YEARS - 5 YEARS,177,No,Private,40.65831,-73.94981
DC23008,MARY MCLEOD BETHUNE CHILD DEVELOPMENT CENTER INC.,MARY MCLEOD BETHUNE CHILD DEVELOPMENT CENTER INC.,360 PULASKI STREET,BROOKLYN,11206,718-455-5137,27661,11/20/2014,Permitted,2 YEARS - 5 YEARS,56,No,Private,40.6938346,-73.93635789999999
DC1301,MARY WALTON CHILDREN'S CENTER,"BETHANY DAY NURSERY, INC.",224 WEST 152 STREET,MANHATTAN,10039,212-283-4242,1637,01/23/2016,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,40.8264259,-73.9370301
DC25751,MARYEL INTERNATIONAL PRESCHOOL,"MARYEL INTERNATIONAL PRESCHOOL, INC.",28 EAST 35TH STREET,MANHATTAN,10016,347-667-9109,50917,08/21/2015,Permitted,2 YEARS - 5 YEARS,52,No,Private,40.74798150000001,-73.9818507
DC3000,MASPETH TOWN HALL PRE-SCHOOL,MASPETH TOWN HALL INC.,53-37 72 STREET,QUEENS,11378,718-335-6049,5144,04/15/2015,Permitted,2 YEARS - 5 YEARS,20,No,Private,40.7302131,-73.89235459999999
DC21075,MEDGAR EVERS HEAD START,COMMUNITY PARENTS INC.,60 EAST 93RD STREET,BROOKLYN,11212,718-221-2531,8188,07/01/2014,Permitted,2 YEARS - 5 YEARS,105,No,ACS Head Start,40.6626835,-73.9272486
DC2597,MEI  WAH  PRE-SCHOOL,CHINESE METHODIST CENTER CORP.,69 MADISON STREET,MANHATTAN,10002,212-349-2703,4583,09/22/2014,Permitted,2 YEARS - 5 YEARS,36,No,Private,40.712212,-73.9968327
DC14592,MELISSA'S CHILDREN OF TOMORROW,MELISSA'S CHILDREN OF TOMORROW INC.,117-11  JAMAICA    AVE,QUEENS,11418,718-846-2060,7753,05/16/2015,Permitted,2 YEARS - 5 YEARS,27,No,Private,40.69965,-73.8322431
DC24661,MERCAZ GAN,"B'ABOVE WORLDWIDE INSTITUTE, INC.",2221 AVENUE R,BROOKLYN,11229,718-513-1931,28258,11/29/2014,Permitted,2 YEARS - 5 YEARS,60,No,ACS Contracted Preschools,40.6066086,-73.9502708
DC14136,"MERKAZ-THE CENTER, INC.","MERKAZ-THE CENTER, INC.",1739 OCEAN AVENUE,BROOKLYN,11230,718-252-2122,25297,10/16/2014,Permitted,2 YEARS - 5 YEARS,75,No,Private,40.6195646,-73.95521889999999
DC1169,MERRICAT'S CASTLE SCHOOL,ABC MERRICAT'S CASTLE SCHOOL,316 EAST 88 STREET,MANHATTAN,10128,212-534-3656,4186,09/10/2013,Expired-InRenewal,2 YEARS - 5 YEARS,55,No,Private,40.7784272,-73.9496587
DC1302,METRO NORTH DAY CARE CENTER,"UNION SETTLEMENT ASSOCIATION, INC.",304 EAST 102 STREET,MANHATTAN,10029,212-828-6087,3040,09/19/2015,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,40.7878161,-73.9437652
DC18974,MI NUEVO MUNDO,MI NUEVO MUNDO CORP,104-19 39 AVENUE,QUEENS,11368,718-476-7919,7937,10/01/2014,Permitted,2 YEARS - 5 YEARS,32,No,Private,40.7508994,-73.8613338
DC23235,MI NUEVO MUNDO I,"MI NUEVO MUNDO, INC.",51-02 31 AVENUE,QUEENS,11377,718-626-1686,21338,08/22/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private,40.7568142,-73.9076923
DC18979,MI NUEVO MUNDO III.,MI NUEVO MUNDO CORP,104-21 39 AVENUE,QUEENS,11368,718-476-7919,7398,10/01/2014,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.7511147,-73.86144879999999
DC20599,MI NUEVO MUNDO IV PRESCHOOL,MI NUEVO MUNDO CORP.,100-03 39 AVENUE,QUEENS,11368,718-476-3535,8198,09/13/2014,Permitted,2 YEARS - 5 YEARS,36,No,Private,40.75022,-73.86559799999999
DC11227,MI NUEVO MUNDO LL,MI NUEVO MUNDO CORP,31-05 51 STREET,QUEENS,11377,718-626-7394,7031,08/04/2014,Permitted,2 YEARS - 5 YEARS,126,No,Private,40.7567549,-73.9079047
DC20601,MI NUEVO MUNDO V P/S,MI NUEVO MUNDO CORP,100-05 39 AVENUE,QUEENS,11368,718-626-7394,11117,01/17/2016,Permitted,2 YEARS - 5 YEARS,26,No,Private,40.750245,-73.86551399999999
DC24597,MID BRONX C C R P EARLY CHILDHOOD CENTER,"MID BRONX C C R P EARLY CHILDHOOD CENTER, INC.",1020-1022 SUMMIT AVENUE,BRONX,10452,347-498-1097,25857,10/22/2014,Permitted,2 YEARS - 5 YEARS,68,No,ACS Contracted Preschools,40.833802,-73.9295829
DC24598,MID BRONX C C R P EARLY CHILDHOOD CENTER,"MID BRONX C C R P EARLY CHILDHOOD CENTER, INC.",1360 OGDEN AVENUE,BRONX,10452,917-962-9384,26318,10/25/2014,Permitted,2 YEARS - 5 YEARS,50,No,ACS Contracted Preschools,40.841556,-73.9244159
DC23087,MID BRONX CCRP EARLY CHILDHOOD CENTER,"MID BRONX CCRP EARLY CHILDHOOD CENTER, INC.",100-120 EAST MOUNT EDEN AVENUE,BRONX,10452,718-583-9664,26277,10/25/2014,Permitted,2 YEARS - 5 YEARS,220,No,ACS Contracted Preschools,40.8432256,-73.91246459999999
DC316,MID-BRONX C C R P HEAD START,"MID-BRONX C C R P EARLY CHILDHOOD CENTER, INC.",1125 GRAND CONCOURSE,BRONX,10452,718-590-7014,6058,08/10/2015,Permitted,2 YEARS - 5 YEARS,261,No,ACS Contracted Preschools,40.832748,-73.9202476
DC2756,MIDDLETON'S EARLY LEARNING CENTER,MIDDLETON'S EARLY LEARNING CENTER,226-02 MERRICK BOULEVARD,QUEENS,11413,718-949-9890,7271,07/07/2014,Permitted,2 YEARS - 5 YEARS,94,No,Private,40.676925,-73.74380099999999
DC1715,MIDWOOD MONTESSORI,MIDWOOD MONTESSORI INC.,2825 BEDFORD AVENUE,BROOKLYN,11210,718-253-3242,4915,07/18/2015,Permitted,2 YEARS - 5 YEARS,69,No,Private,40.633897,-73.952753
DC14469,MILESTONE SCHOOL FOR CHILD DEVELOPMENT,"MILESTONE SCHOOL FOR CHILD DEVELOPMENT, INC.",15 HANOVER PLACE,BROOKLYN,11201,347-916-0333,6528,09/20/2015,Permitted,2 YEARS - 5 YEARS,138,Yes,Private,40.6887435,-73.9822854
DC22143,MILLER EVANGELICAL CHRISTIAN LEARNING ACADEMY,MILLER EVANGELICAL CHRISTIAN UNION CHURCH OF THE CHURCHES OF CHRIST IN THE CHRISTIAN UNION,1110 PRESIDENT STREET,BROOKLYN,11225,718-363-7160,52297,09/19/2015,Permitted,2 YEARS - 5 YEARS,37,No,Private,40.667981,-73.954015
DC21737,MINI MIRACLES CORP,"MINI MIRACLES, CORP.",1708 FLATBUSH AVENUE,BROOKLYN,11210,718-676-5377,8597,11/18/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private,40.628574,-73.943664
DC11943,MINI WORLD PRESCHOOL,DEBRA ERCOLE,7516 AMBOY ROAD,STATEN ISLAND,10307,718-948-9535,6793,01/19/2016,Permitted,2 YEARS - 5 YEARS,29,No,Private,40.50897399999999,-74.246252
DC17551,MINIVENTURES OF N Y,"MINIVENTURES OF N Y, INC.",433 EAST 148TH STREET,BRONX,10455,917-645-5214,7833,02/23/2016,Permitted,0 YEARS - 2 YEARS,20,No,Private,40.81486599999999,-73.9165213
DC15655,MINIVENTURES OF NEW YORK,"MINIVENTURES OF NEW YORK, INC.",433 EAST 148TH STREET,BRONX,10455,917-645-5214,7697,01/10/2015,Permitted,2 YEARS - 5 YEARS,84,No,Private,40.81486599999999,-73.9165213
